"","","MAJOR ECONOMIC POLICY MEASURES : 2021"
"Date","Item","Revision"
"","","SCL 
on 
the 
importation 
of 
potatoes  was"
"","","decreased to Rs. 20 per kg from Rs. 50 per kg,"
"","","while  SCL  on  the  importation  of  b’onions  was"
"31.12.2021","Potatoes and B’onions",""
"","","decreased to Rs. 10 per kg from Rs. 40 per kg"
"","","for a period of six months (Extraordinary Gazette"
"","","Notification No. 2260/72)."
"","","Imposition of SCL was extended for a period of"
"11.01.2022","Rice and Sugar","six  months  (Extraordinary  Gazette  Notification"
"","","No. 2262/15)."
"","","SCL was decreased to Rs. 10 per kg from Rs. 25"
"","","per  kg  for  a  period  of  six  months  (Extraordinary"
"","","Gazette Notification No. 2269/48)."
"","","The  balance  amount  after  collecting  Rs.  1  per"
"","Maize","kg  from  the  applicable  SCL  of  Rs.  10  per  kg"
"","","on  the  importation  of  maize  for  production  of"
"","","‘Thriposha’, by Sri Lanka Thriposha Limited was"
"03.03.2022","","waived off for a period of six months (Extraordinary"
"","","Gazette Notification No. 2269/48)."
"","","SCL of Rs. 10 per kg was imposed for a period"
"","Grain Sorghum (other)","of six months (Extraordinary Gazette Notification"
"","","No. 2269/48)."
"","","Imposition  of  SCL  was  extended  for  a  period"
"","Mackerel,  Black  Gram,  Cowpeas  and",""
"","","of  one  year  (Extraordinary  Gazette  Notification"
"","Kurakkan",""
"","","No. 2269/56)."
"","Yoghurt,  Butter,  Dairy  Spreads,  Grated",""
"","","SCL 
was 
increased 
for 
a 
period 
of 
six"
"","or  Powdered  Cheese,  Dates  (fresh  and",""
"09.03.2022","","months 
(Extraordinary  Gazette 
Notification"
"","dried),  Oranges  (fresh),  Grapes  (fresh",""
"","","No. 2270/19)."
"","and dried) and Apples",""
