"CENTRAL BANK OF SRI LANKA | ANNUAL REPORT 2021","",""
"04 May 2021","-","Circular No. 03 of 2021 was issued on additional measures to mitigate emerging"
"","","Money Laundering/ Terrorist Financing risks during the third wave of the COVID-19"
"","","pandemic."
"20 July 2021","","-  Guideline No. 2 of 2021 was issued for Financial Institutions on CCTV operations for"
"","","AML/CFT purposes."
"04 October 2021","-","Circular No. 04 of 2021 was issued to licensed banks on deposits made under the"
"","","Finance Act, No. 18 of 2021."
"10 January 2022","-","Circular  No.  01  of  2022  was  issued  to  amend  the  Circular  No.  02  of  2021  on"
"","","Guidelines for Financial Institutions on CCTV operations for AML/CFT purposes."
"","Foreign Exchange Management and International Operations",""
"01 January 2021","","-  Operating  instructions  issued  to  licensed  banks  on  “Incentive  Scheme  on  Inward"
"","","Worker Remittances” were amended: licensed banks were instructed to expand the"
