"Per cent per annum","","","","","","","","","","","","","","","","",""
"Interest Rate
End 2021","","","","","","","","","","","","","","","End 2022","","Change"
"","","","","","","","","","","","","","","","","","in % pts"
"Key Policy Interest Rates
5.00
Standing Deposit Facility Rate (SDFR)
6.00
Standing Lending Facility Rate (SLFR)
5.95
Average Weighted Call Money Rate (AWCMR)
Treasury bills
8.16
91-day
8.33
182-day
8.24
364-day
Treasury bonds
9.16 (b)
2-year
9.70 (b)
3-year
8.55 (b)
4-year
11.14 (b)
5-year
8.86 (b)
10-year
Secondary Market
Treasury bills
7.77
91-day
8.07
182-day
8.22
364-day
Treasury bonds
8.58
2-year
9.55
3-year
10.38
4-year
10.66
5-year
11.71
10-year
Interest Rates on Deposits
Interest Rates on Lending 
Interest Rates on Foreign Currency Deposits (l)
Corporate Debt Market","Yield Rates on Government Securities
Primary Market (a)","","","","","","","","","","","","","","14.50
9.50
15.50
9.50
15.50
9.55","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","32.64
24.48
32.20
23.87
29.27
21.03
33.01 (c)
23.85
31.36 (c)
21.66
-
-
31.78 (c)
20.64
30.86 (c)
22.00
30.75
22.98
29.50
21.43
28.39
20.17
28.19
19.61
28.32
18.77
27.60
17.22
26.78
16.12
26.18
14.47","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","Licensed Commercial Banks (d)","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","0.05-6.35
Savings deposits","","","","","","","","","","","","0.25-6.00
-","",""
"","","","0.15-15.00
1 Year Fixed Deposits (e)","","","","","","","","","","","","4.50-30.00
-","",""
"","","AWDR (f)","","4.94","","","","","","","","","","","","14.06
9.12",""
"","","AWFDR (f)","","","","5.94","","","","","","","","","23.07
16.62
23.73
17.06","18.49
12.55",""
"","","AWNDR (f)","","","","6.45","","","","","","","","","","",""
"","","6.67
AWNFDR (f)","","","","","","","","","","","","","","",""
"","","Other Financial Institutions (g)","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","National Savings Bank","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","Savings Deposits
1 Year Fixed Deposits","","","","3.50","","","","","","","3.00
-0.50
12.00
6.50","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","5.50","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","Licensed Finance Companies (h)","","","","","","","","","","","","","","",""
"","","Licensed Banks (j)
10.49
AWSR
10.04
AWNSR","","Savings Deposits","","","","3.46-4.69(i)","","","","","","","4.63-8.03
-
20.48-27.15
-","",""
"","","","","","","","","","","","","","","","","",""
"","","","","1 Year Fixed Deposits","","","","","","","","","","","","",""
"","","","","","","","","9.02-10.13","","","","","","","","",""
"","","","","","","","","","","","","","","","20.73
10.24
26.91
16.87","",""
"","","Licensed Commercial Banks (d)","","","","","","","","","","","","","28.19
19.86","",""
"","","AWPR (Monthly)","","","","","","","8.33","","","","","","","",""
"","","AWLR","","9.87","","","","","","","","","","","18.70
8.83
26.20
16.72","",""
"","","9.48
AWNLR","","","","","","","","","","","","","","",""
"","","Licensed Specialised Banks","","","","","","","","","","","","","","",""
"","","National Savings Bank","","","","","","","","","","","","","","",""
"","","","","","","","","7.50-11.50","","","","","","","28.00-32.00
-","",""
"","","7.50-12.50
State Mortgage and Investment Bank (k)
Licensed Finance Companies (h)
12.77-28.33
Finance Leasing
11.08-27.00
Hire Purchase
15.29-16.77(i)
Loans against Immovable Properties 
0.03-4.60
Savings Deposits - USD
0.03-3.00
Savings Deposits - GBP
0.02-7.00
Time Deposits - USD
0.02-5.75
Time Deposits - GBP
8.00-12.00
Debentures
6.00-12.00
Commercial Papers","","","","","","","","","","","","","18.00-27.25
-
21.53-35.37
-
16.94-38.28
-
26.80-28.43
-
0.10-7.77
-
0.20-4.83
-
0.02-11.50
-
0.02-7.00
-
15.42-28.00
-
11.00-36.00
-","",""
"(a)  Weighted average yield rates at the latest 
(b)  Last primary auction during 2021:
 
 
(c)   Last primary auction during 2022:
 
(d)  Based on the rates quoted by LCBs   
(e)  Maximum rate is a special rate offered by certain LCBs. 
(f)   Since July 2018, AWDR and AWFDR were calculated by replacing senior citizens’ special","(g)  Based on the rates quoted by other selected Financial Institutions
(h)  Interest rate ranges are based on the average maximum and average minimum rates quoted 
(i)   Revised  
(j)   Based on the rates quoted by LCBs and LSBs 
(k)  Lending for housing purposes only 
(l)   Interest rate ranges are based on the maximum and minimum rates quoted by LCBs and","Sources: Respective Financial Institutions               
available auction.                          
Colombo Stock Exchange
Central Bank of Sri Lanka
  2 yr-11 Nov; 3 yr-13 Dec; 4 yr-30 Aug; 
  5 yr-12 Oct; 10 yr-29 Jul
  2 yr-13 Dec; 3 yr-29 Dec; 5 yr-28 Oct; 10 yr-11 Nov","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","deposit rate of 15% with relevant market interest rates to exclude the impact of special rates.","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","Same method was applied to calculate AWNDR and AWNFDR since June 2018.","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","by LFCs which are applicable for deposits mobilised and loans granted during the respective","","","","","","","","","","","","","","",""
"","","months. Data for 2022 are provisional.","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","National Savings Bank","","","","","","","","","","","","","","",""
