"","","","Treasury Bills","","","","","","Treasury Bonds (d)","","","","","","","Outright","Repo","","","Outright","","","","Treasury Bills","","","","Treasury Bonds","","",""
"","End of Period","","","","","","","","","","","","","","","","","","","","Repo Transactions","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Transactions","Transactions","","Transactions","","","","","","","","","","","",""
"","","","","","","","","","","","","","","Above","","","","Reverse","","","","Reverse","≤","≤","≤","","","","","",""
"","","91-","182-","364-","2-","3-","4-","5-","6-","7-","8-","9-","10-","","Pur-","","Repur-","","Pur-","","Repur-","","","","","≤ 2-","≤ 3-","≤ 4-","≤ 5-","≤ 10-","≤ 15-"
"","","","","","","","","","","","","","","10","","Sold","","Repur-","","Sold","","Repur-","91-","182-","364-","","","","","",""
"","","day","day","day","year","year","year","year","year","year","year","year","year","","chased","","chased","","chased","","chased","","","","","year","year","year","year","year","year"
"","","","","","","","","","","","","","","years","","","","chased","","","","chased","day","day","day","","","","","",""
"2018 (e)","","10.01","9.99","11.20","-","11.88","-","11.69","-","10.32","12.23","12.16","10.20","12.23","319,689","534,508","1,843,858","69,669","511,038","628,865","8,089,681","2,135,095","9.66","9.96","10.91","11.16","11.41","11.51","11.55","11.83","-"
"2019 (e)","","7.51","8.02","8.45","9.79","9.65","-","9.87","-","-","10.24","10.00","10.23","10.68","596,981","523,950","1,256,292","47,200","758,764","811,200","7,548,481","1,354,945","7.55","7.95","8.47","8.71","9.24","9.74","9.94","10.21","-"
"2020 (e)","","4.69","4.80","5.05","5.65","5.99","6.32","6.79","6.57","7.01","7.07","-","9.99","7.84","1,187,715","953,199","1,463,083","36,921","963,857","883,013","4,495,818","1,280,397","4.64","4.73","4.98","5.54","5.98","6.40","6.64","7.56","-"
"2021 (e)","","8.16","8.33","8.24","9.16","9.70","8.55","11.14","10.90","11.27","11.63","11.61","8.86","12.06","1,757,526","1,586,471","1,107,286","61,727","850,484","635,690","3,223,797","888,275","7.56","8.00","8.18","8.60","9.60","10.38","10.70","11.79","-"
"2022 (e)","","32.64","32.20","29.27","33.01","31.36","-","31.78","20.19","30.85","-","29.52","30.86","13.14","3,326,208","3,035,239","2,592,382","103,147","958,707","970,069","19,042,208","192,141","26.34","26.51","27.11","22.05","23.67","22.74","23.10","26.28","-"
"2021 (f)","January","4.69","4.75","4.98","-","-","6.34","6.72","7.16","7.39","-","-","-","-","133,658","123,402","89,698","2,455","48,107","58,162","252,157","128,671","4.64","4.73","4.94","5.29","5.73","6.24","6.51","7.47","-"
"","February","4.90","4.99","5.09","-","6.25","6.70","7.07","-","7.57","-","-","-","-","78,382","111,412","85,959","773","47,205","49,528","215,737","120,247","4.77","4.85","5.06","5.54","6.11","6.65","6.94","7.82","-"
"","March","5.05","5.10","5.11","6.19","6.30","-","7.05","7.44","7.58","-","-","-","-","130,187","132,244","95,574","1,032","107,349","72,771","295,954","116,680","4.96","5.02","5.12","5.70","6.21","6.57","6.89","8.03","-"
"","April","5.11","5.14","5.18","6.50","-","-","7.25","-","7.70","-","-","-","8.44","85,689","80,489","63,590","1,959","29,676","22,250","144,172","18,706","5.05","5.09","5.15","5.85","6.43","6.77","7.13","8.04","-"
"","May","5.13","5.14","5.18","-","-","7.04","-","-","7.97","-","-","-","-","115,838","107,538","55,525","1,346","50,850","40,865","198,402","52,207","5.06","5.11","5.17","5.84","6.42","6.84","7.31","8.10","-"
"","June","5.18","5.19","5.23","6.35","-","7.30","7.31","-","7.99","-","-","-","-","125,612","113,989","80,702","2,622","81,581","32,391","210,676","59,053","5.10","5.13","5.19","5.86","6.46","6.92","7.31","8.20","-"
"","July","5.22","5.23","5.25","6.36","6.87","7.47","-","-","8.17","-","-","8.86","-","142,206","142,388","62,367","2,035","65,346","49,296","152,752","69,243","5.14","5.16","5.22","5.91","6.52","7.05","7.38","8.26","-"
"","August","5.87","5.90","5.93","6.75","-","8.55","-","-","-","-","-","-","-","106,772","79,816","62,631","9,720","123,005","58,231","306,177","75,481","5.60","5.65","5.74","6.46","7.52","8.01","8.29","9.14","-"
"","September","6.70","6.99","7.01","8.12","8.10","-","-","-","-","-","10.23","-","-","113,755","99,562","90,797","9,601","55,417","35,355","246,950","132,184","6.31","6.34","6.46","7.36","8.20","8.91","9.33","10.15","-"
"","October","8.43","8.16","8.18","9.36","9.94","-","11.14","-","11.61","-","-","-","11.23","172,449","142,155","80,544","16,049","64,478","52,342","220,711","73,046","8.00","8.06","8.33","8.89","9.61","10.25","10.81","11.43","-"
"","November","7.53","8.02","8.16","9.16","9.67","-","-","-","-","11.63","11.91","-","-","241,166","189,753","105,608","3,868","54,915","55,534","315,521","23,353","7.57","7.91","8.25","8.57","9.31","5.08","10.56","11.61","-"
"","December","8.16","8.33","8.24","-","9.70","-","-","10.90","11.27","-","11.61","-","12.06","311,812","263,723","234,291","10,267","122,555","108,965","664,588","19,404","7.56","8.00","8.18","8.60","9.60","10.38","10.70","11.79","-"
"2022 (f)","January","8.63","8.55","8.55","-","11.49","-","-","11.70","-","-","-","12.01","12.45","246,462","213,634","228,703","11,992","61,410","66,235","387,039","33,918","8.29","8.42","8.58","9.16","10.40","10.98","11.26","11.93","-"
