"","","","","","","2022 (c)","",""
"Sector","2019","2020","2021","","","","",""
"","","","","1st Quarter","2nd Quarter","3rd Quarter","4th Quarter","Annual"
"Agriculture","2,072","2,170","2,213","2,098","2,125","2,152","2,258","2,159"
"Industry","2,258","2,153","2,109","2,343","2,267","2,077","1,946","2,158"
"Mining and Quarrying","61","57","55","71","60","62","43","59"
"Manufacturing","1,504","1,398","1,362","1,512","1,481","1,331","1,312","1,409"
"Construction, Electricity, Gas, Steam and Air Conditioning Supply,","","","","","","","",""
"","693","698","693","759","727","685","591","690"
"Water Supply, Sewerage, Waste Management and Remediation Activities","","","","","","","",""
"Services","3,850","3,677","3,791","3,948","3,785","3,781","3,810","3,831"
"Wholesale and Retail Trade, Repair of Motor Vehicles and Motor Cycles","1,134","1,095","1,154","1,182","1,163","1,158","1,069","1,143"
"Transport and Storage","514","524","482","546","464","477","458","486"
"Accomodation and Food Services Activities","232","217","214","258","212","224","248","236"
"Information and Communication","64","58","73","61","64","82","78","71"
"Financial and Insurance Activities","188","183","182","173","174","168","215","182"
"Professional, Scientific and Technical Activities","90","86","81","86","83","94","87","87"
"Administrative and Support Service Activities","205","165","136","157","134","143","152","146"
"Public Administration and Defence; Compulsory Social Security","436","447","490","467","449","438","474","457"
"Education","426","403","423","480","447","471","449","462"
"Human Health and Social Work Activities","169","156","175","171","193","149","165","169"
"Other (d)","390","342","381","369","402","378","415","391"
"Total Employment","8,181","7,999","8,114","8,389","8,177","8,010","8,015","8,148"
"Percentage of Labour Force","95.2","94.5","94.9","95.7","95.4","95.0","95.2","95.3"
"(a)  Household population aged 15 years and above","","","","","","","Source: Department of Census and Statistics",""
