"15 - 54  Years","11,374","11,680","11,773","11,881","11,992","12,128","12,263","12,392","12,469","12,535","12,671","12,684"
"55  Years and Over","2,481","3,597","3,624","3,658","3,689","3,732","3,770","3,808","3,830","3,850","3,889","3,894"
"Growth of Mid-Year Population (%)","1.2","1.0","0.8","0.9","0.9","1.1","1.1","1.1","0.6","0.5","1.1","0.1"
"Crude Birth Rate, per 1,000","19.1","17.6","17.8","16.8","16.0","15.5","15.2","15.1","14.6","13.8","12.9","12.4"
"Crude Death Rate, per 1,000","6.0","6.0","6.2","6.2","6.3","6.2","6.5","6.4","6.6","6.0","7.4","8.1"
"Rate of Natural Increase, per 1,000","13.1","11.6","11.6","10.7","9.7","9.6","8.7","8.7","8.0","7.3","5.5","5.0"
"Net Migration Rate, per 1,000","-0.9","-2.5","-2.3","-2.0","0.7","2.1","2.3","0.8","-2.3","-4.3","4.0","-9.7"
"Infant Mortality Rate, per 1,000 Live Births","12.6","8.3","8.3","7.6","8.5","n.a.","n.a.","n.a.","7.4","n.a.","n.a.","n,a,"
"Density of Population, Persons per Sq.Km.","300","326","328","331","334","338","342","346","348","350","353","354"
"(a)  Revised","","","","","","","","","","Sources: Registrar General’s Department","",""
