"","","","","","Sri Lanka Rupees per unit of Foreign Currency","",""
"","Country","Currency","2018","2019","2020","2021","2022"
"1.","Australia","Dollar","128.8661","127.2528","143.6648","145.3546","245.6076"
"2.  Bangladesh","","Taka","2.1857","2.1395","2.2021","2.3382","3.5202"
"3.","Canada","Dollar","134.0792","139.2098","146.3517","157.2338","267.9482"
"4.","People's  Republic of China","Yuan","26.5683","26.0127","28.5858","31.4362","52.1878"
"5.","Denmark","Kroner","27.9894","27.2576","30.8309","30.5042","52.0357"
"6.","European Union","Euro","208.9928","203.6662","229.4219","226.8610","386.9300"
"7.","Hong Kong","Dollar","23.3369","23.3259","24.0458","25.7024","46.5720"
"8.","India","Rupee","2.6132","2.5467","2.5467","2.6935","4.3861"
"9.","Indonesia","Rupiah","0.0126","0.0131","0.0133","0.0140","0.0232"
"10.","Japan","Yen","1.6547","1.6717","1.8081","1.7415","2.7385"
"11.","Kenya","Schilling","1.7934","1.7913","1.7063","1.7714","2.9425"
"12.","Korea","Won","0.1644","0.1569","0.1719","0.1686","0.2876"
"13.","Kuwait","Dinar","601.3686","599.1358","612.8825","662.5473","1,186.1301"
"14. Malaysia","","Ringgit","44.0839","44.3822","46.3241","48.0254","82.2912"
"15.","New Zealand","Dollar","122.6435","122.2942","134.6799","136.7860","229.4129"
"16.","Norway","Kroner","21.0008","20.6236","21.8632","22.7039","36.7071"
"17.","Pakistan","Rupee","1.3063","1.1728","1.1614","1.1245","1.6017"
"18.","Philippines","Peso","3.4796","3.5846","3.8819","3.9332","6.5158"
"19.","Saudi Arabia","Riyal","48.7054","48.4189","49.7016","53.3864","96.5782"
"20.","Singapore","Dollar","133.8092","134.8484","141.0634","148.3212","270.0506"
"21.","South Africa","Rand","12.6648","12.8661","12.7436","12.5882","21.3824"
"22.","Sweden","Kroner","20.3690","19.4511","22.7487","22.1511","34.6994"
"23.","Switzerland","Franc","185.6460","187.6966","211.6231","219.2330","393.2741"
"24.","Taiwan","Dollar","5.9796","6.0565","6.6314","7.2249","11.8173"
"25.","Thailand","Baht","5.6179","6.0900","6.2344","6.0172","10.5082"
"26.","United Arab Emirates","Dirham","49.7529","49.4491","50.7489","54.5688","98.8700"
"27.","United Kingdom","Pound sterling","231.8639","238.4582","254.3540","270.5957","437.3478"
"28.","United States of America","Dollar","182.7499","181.6340","186.4082","200.4338","363.1100"
"","","","","","","","Source: Central Bank of Sri Lanka"
