"","Ownership of Central Government Debt (as at end year)","","","",""
"","","","","","Rs. million"
"Owner","2018","2019 (a)","2020 (a)","2021 (a)","2022 (a)(b)(c)"
"1.  Domestic Debt (d)(e)(f)","6,071,001","6,830,260","9,065,068","11,097,223","15,033,876"
"1.1 Banking Sector (Excluding Licensed Specialised Banks)","2,171,879","2,737,223","4,542,155","5,247,919","8,525,718"
"Central Bank","244,129","310,909","876,818","1,565,494","2,833,607"
"Commercial Banks (g)","1,927,750","2,426,313","3,665,337","3,682,425","5,692,111(h)"
"1.2 Non Bank Sector (g)(i)","3,466,671","3,825,703","4,210,099","4,822,098","6,164,063"
"Licensed Specialised Banks","410,401","537,175","707,538","807,352","821,593"
"Licensed Finance Companies","27,633","24,807","12,821","20,401","58,297"
"Corporations (j)","102,684","90,438","60,592","86,324","393,536"
"Insurance companies","191,127","198,018","215,737","267,738","373,766"
"Superannuation Funds (k)","2,501,306","2,751,295","2,998,034","3,378,200","3,953,808"
"Government Institutes, Funds and State Owned Enterprises (l)","152,527","155,808","132,340","170,757","240,282"
"Local Individual and others (m)","80,690","68,162","83,038","91,326","322,782"
"1.3 Repurchase Transaction allocations (n)","432,451","267,334","312,814","1,027,207","344,096(o)"
"2.  Foreign Debt (p)(q)(r)","5,959,547","6,201,283","6,052,179","6,516,958","12,458,155"
"Total","12,030,548","13,031,543","15,117,247","17,614,181","27,492,031"
"","","","","Sources:  Ministry of Finance, Economic",""
"","(a)  As per the guidelines of compiling government debt statistics in the Manual of Government Finance Statistics published by the IMF in 2014, non resident holdings","","","",""
