"","","","","","Demand Deposits","","","Time and Savings Deposits","Total Deposits","Borrowings","",""
"","","Paid up","","","","","","","","","",""
"","","Capital,","","","","","","","","","",""
"","End of Period","","Interbank","","","","","","","","",""
"","","Reserve","","","","","","","","","","Other"
"","","","","","Government","","Government","","Time","Domestic","",""
"","","","","","","Non","","Non","","","",""
"","","Funds and","","","","","","","","","","Liabilities"
"","","","","","of","Residents","of","Residents","Demand
and
Total","Interbank","Foreign",""
"","","","","","","Residents","","Residents","","","",""
"","","Undistributed","","","","","","","","","",""
"","","","","","Sri Lanka","","Sri Lanka","","Savings","(c)","",""
"","","Profits","Domestic","Foreign","","","","","","","",""
"2018","","1,002,594","635","21,861","45,295","357,680  36,075","75,433","5,596,536 
760,696","461,547 
6,432,666 
6,894,213","268,771","173,813","706,274"
"2019","","1,126,850","495","16,544","43,876","371,203  10,287","71,846","6,047,243 
782,939","442,407 
6,902,028 
7,344,434","294,479","187,305","788,030"
"2020","","1,258,773","2,028","19,736","50,645","536,110  15,498","69,628","7,318,638 
961,001","624,017 
8,349,268 
8,973,284","455,177","197,972","840,232"
"2021","","1,452,953","2,060","22,339","47,706","675,440  24,170","122,397","8,179,010  1,163,757","771,716 
9,465,164  10,236,880","550,927","159,540","927,129"
"2022","","1,785,317","2,189","16,820","60,762","711,544  57,659","128,037","9,043,455  2,038,383","848,973  11,209,876  12,058,849","362,071","272,432","1,405,676"
"2021","January","1,292,501","1,796","14,385","29,753","537,158  13,777","82,480","7,416,885  1,001,774","596,870 
8,501,138 
9,098,008","464,984","198,634","863,190"
"","February","1,298,563","3,356","14,447","30,900","540,844  14,801","83,609","7,506,254  1,038,688","604,348 
8,628,551 
9,232,899","478,455","193,997","862,900"
"","March","1,294,492","2,806","13,887","31,024","559,932  16,060","85,478","7,627,770  1,054,961","623,709 
8,768,209 
9,391,918","477,153","189,651","888,007"
"","April","1,313,023","2,726","14,627","28,102","559,985  16,492","85,664","7,700,445  1,097,986","621,932 
8,884,094 
9,506,026","485,949","177,590","853,233"
"","May","1,331,345","2,725","13,762","28,137","554,488  14,187","80,334","7,770,221  1,105,943","613,299 
8,956,499 
9,569,798","491,903","184,546","870,171"
"","June","1,343,851","2,623","16,406","30,315","581,431  14,573","90,177","7,842,890  1,141,063","645,348 
9,074,130 
9,719,477","506,947","182,608","899,021"
"","July","1,365,024","2,744","20,785","31,554","594,005  17,147","91,391","7,952,622  1,151,272","666,236 
9,195,284 
9,861,520","535,780","181,459","877,220"
"","August","1,383,227","2,875","21,456","29,494","604,972  19,181","93,646","8,057,204  1,215,156","677,978 
9,366,006  10,043,984","544,177","182,147","902,465"
"","September","1,404,783","2,572","23,357","32,177","556,705  23,349","98,128","8,130,239  1,152,602","638,160 
9,380,969  10,019,129","496,948","184,197","917,859"
"","October","1,411,993","2,588","23,065","37,700","618,401  18,266","102,082","8,163,279  1,167,704","700,020 
9,433,065  10,133,085","520,017","176,946","931,949"
"","November","1,430,140","2,957","22,941","36,913","620,080  19,112","105,732","8,155,538  1,159,325","702,003 
9,420,595  10,122,598","542,306","171,434","953,610"
"","December","1,452,953","2,060","22,339","47,706","675,440  24,170","122,397","8,179,010  1,163,757","771,716 
9,465,164  10,236,880","550,927","159,540","927,129"
"2022","January","1,562,364","2,242","33,706","39,747","729,719  22,137","124,746","8,150,616  1,175,873","827,551 
9,451,235  10,278,786","519,081","181,681","960,061"
"","February","1,526,571","2,124","22,106","35,605","724,631  20,998","123,303","8,228,723  1,186,461","805,464 
9,538,487  10,343,950","456,267","216,989","1,030,751"
"","March","1,529,164","1,686","25,127","31,527","772,061  34,548","129,234","8,483,778  1,727,637","864,950  10,340,650  11,205,599","485,329","359,187","1,169,278"
"","April","1,604,069","2,365","27,703","31,560","760,374  34,819","124,150","8,558,293  2,019,621","856,821  10,702,064  11,558,885","393,295","469,131","1,177,881"
"","May","1,618,187","2,454","28,058","31,642","785,190  26,592","126,255","8,513,581  2,045,047","873,937  10,684,884  11,558,820","383,467","387,136","1,279,871"
"","June","1,629,216","2,422","27,239","31,857","747,980  29,269","126,976","8,598,152  2,043,613","838,767  10,768,740  11,607,507","381,892","387,201","1,288,746"
"","July","1,640,679","1,611","23,989","32,805","743,150  29,460","120,204","8,688,682  2,006,367","831,016  10,815,253  11,646,269","350,397","401,430","1,306,318"
"","August","1,693,480","1,424","23,861","30,363","773,078  31,981","124,280","8,751,824  1,998,080","860,707  10,874,184  11,734,891","345,218","360,416","1,202,209"
"","September","1,722,157","1,617","23,921","51,517","786,456  36,011","129,346","8,822,849  1,991,829","899,521  10,944,023  11,843,544","334,242","391,078","1,307,272"
"","October","1,736,095","1,582","18,613","28,323","765,853  36,897","124,883","8,881,696  2,013,360","851,268  11,019,938  11,871,206","335,346","354,282","1,439,192"
"","November","1,766,508","1,925","19,109","61,438","744,211  42,676","145,172","8,958,985  2,035,285","869,359  11,139,441  12,008,800","332,437","336,005","1,397,134"
"","December","1,785,317","2,189","16,820","60,762","711,544  57,659","128,037","9,043,455  2,038,383","848,973  11,209,876  12,058,849","362,071","272,432","1,405,676"
"","(c) Includes the Central Bank","","","","","","","","","","Source: Central Bank of Sri Lanka",""
