"","Gross National Income by Industrial Origin at Current Market Prices (a)","","","",""
"","","","","","Rs. million"
"Economic Activity","2018","2019","2020 (b)","2021(b)(c)","2022 (c)"
"Agriculture, Forestry and Fishing","1,165,529","1,154,540","1,291,023","1,554,911","2,112,745"
"1. Growing of Cereals (Except Rice)","17,748","18,186","35,108","47,528","59,869"
"2. Growing of Rice","136,184","132,031","179,453","184,588","267,729"
"3. Growing of Vegetables","121,355","118,117","147,502","171,581","256,315"
"4. Growing of Sugar Cane, Tobacco and Other Non-perennial Crops","3,648","3,930","5,263","5,134","9,384"
"5. Growing of Fruits","107,686","118,920","126,588","113,464","148,416"
"6. Growing of Oleaginous Fruits (Coconut, King Coconut, Oil Palm)","118,776","90,050","117,443","169,782","182,686"
"7. Growing of Tea (Green Leaves)","112,801","103,060","111,739","121,213","203,024"
"8. Growing of Other Beverage Crops (Coffee, Cocoa etc.)","3,285","2,121","3,808","4,535","4,162"
"9. Growing of Spices, Aromatic, Drug and Pharmaceutical Crops","90,503","87,816","98,436","190,289","211,187"
"10. Growing of Rubber","30,606","24,914","29,363","49,241","62,491"
"11. Growing of Other Perennial Crops","28,312","35,404","41,000","42,222","63,676"
"12. Animal Production","126,760","132,978","138,275","170,355","249,676"
"13. Plant Propagation","765","868","779","1,070","1,195"
"14. Agricultural Supporting Activities","24,385","26,139","26,849","37,369","44,181"
"15. Forestry and Logging","55,956","55,415","56,811","58,533","74,032"
"16. Marine Fishing and Marine Aquaculture","158,847","176,421","140,588","154,681","231,430"
"17. Fresh Water Fishing and Fresh Water Aquaculture","27,913","28,170","32,018","33,327","43,291"
"Industries","4,614,303","4,644,574","4,417,850","5,275,605","7,308,952"
"18. Mining and Quarrying","368,863","366,638","317,949","355,214","451,139"
"19. Manufacture of Food, Beverages and Tobacco Products","905,427","905,062","951,961","1,097,498","1,705,041"
"20. Manufacture of Textiles, Wearing Apparel and Leather Related Products","667,765","740,054","697,055","953,158","1,518,255"
"21. Manufacture of Wood and of Products of Wood and Cork, except Furniture","31,087","30,340","28,253","28,785","38,087"
"22. Manufacture of  Paper Products, Printing and Reproduction of Media Products","65,001","79,846","76,555","84,358","119,671"
"23. Manufacture of Coke and Refined Petroleum Products","44,880","78,430","61,084","62,754","44,390"
"24. Manufacture of Chemical  Products and Basic Pharmaceutical  Products","75,419","116,243","115,622","149,555","247,223"
"25. Manufacture of Rubber and Plastic Products","100,841","112,302","105,789","146,604","174,031"
"26. Manufacture of Other Non-metallic Mineral Products","130,289","168,971","158,007","200,824","290,128"
"27. Manufacture of Basic Metals and Fabricated Metal Products","76,655","87,436","84,430","113,642","143,466"
"28. Manufacture of Machinery and Equipment","64,671","78,271","87,190","109,379","150,446"
"29. Manufacture of Furniture","59,118","74,223","75,188","81,599","93,178"
"30. Other Manufacturing, and Repair and Installation of Machinery and Equipment","86,670","100,163","107,009","135,927","207,700"
"31. Electricity, Gas, Steam and Air Conditioning Supply","125,176","99,421","127,609","143,272","149,772"
"32. Water Collection, Treatment and Supply","17,177","15,818","15,472","13,925","19,396"
"33. Sewerage, Waste Treatment and Disposal Activities","27,323","29,078","27,886","26,900","34,350"
"34. Construction","1,767,942","1,562,278","1,380,791","1,572,211","1,922,678"
"Services","8,234,366","8,869,710","9,048,602","9,791,997","13,549,054"
"35. Wholesale and Retail Trade","1,814,188","1,941,394","2,081,177","2,254,632","3,338,997"
"36. Transportation of Goods and Passengers including Warehousing","1,550,420","1,662,077","1,551,372","1,623,556","2,548,683"
"37. Postal and Courier Activities","17,198","18,558","19,746","21,385","23,346"
"38. Accommodation, Food and Beverage Service Activities","252,646","246,728","149,678","164,560","350,958"
"39. Programming and Broadcasting Activities and Audio Video Productions","38,463","38,972","38,477","40,417","41,281"
"40. Telecommunication","87,669","97,850","108,286","124,833","96,523"
"41. IT Programming Consultancy and Related Activities","181,146","212,369","239,218","309,878","427,644"
"42. Financial Service Activities and Auxiliary Financial Services","558,310","599,130","722,084","880,471","1,497,227"
"43. Insurance, Reinsurance and Pension Funding","116,842","141,381","168,027","211,646","140,486"
"44. Real Estate Activities, including Ownership of Dwelling","663,136","737,948","741,750","800,835","993,423"
"45. Professional Services","322,269","365,255","352,460","382,833","431,125"
"46. Public Administration and Defence, Compulsory Social Security","876,071","835,910","903,348","948,050","1,024,812"
"47. Education","294,344","358,734","381,342","390,175","455,195"
"48. Human Health Activities, Residential Care and Social Work Activities","275,980","335,800","381,273","432,013","467,715"
"49. Other Personal Service Activities","1,185,685","1,277,604","1,210,362","1,206,712","1,711,640"
"Equals Gross Value Added (GVA) at Basic Price","14,014,197","14,668,824","14,757,475","16,622,513","22,970,752"
"Taxes less Subsidies on Products","1,337,736","1,242,152","914,060","977,678","1,176,974"
"Equals Gross Domestic Product (GDP) at  Market Price","15,351,933","15,910,976","15,671,535","17,600,191","24,147,726"
"Net Primary Income from Rest of the World (d)","-389,601","-441,394","-423,063","-395,539","-621,353"
"Gross National Income at Market Price","14,962,333","15,469,582","15,248,473","17,204,651","23,526,373"
"(a) Based on the GDP estimates under the new base year 2015 (replacing base year 2010). Data from","","","","Source: Department of Census and Statistics",""
