"","Category","December","December","December","December","December"
"","","","","","(a)","(b)"
"1. Capital Adequacy","","","","","",""
"","1.1 Core Capital to Risk Weighted Assets (CCR) (c)","9.8","11.1","14.5","15.5","20.6"
"","1.2 Capital Base to Risk Weighted Assets (RWCAR) (d)","11.1","12.5","15.7","17.0","22.0"
"","1.3 Capital Funds to Total Assets (Net)","12.7","14.2","17.7","19.2","21.9"
"","1.4 Capital Funds to Deposits","25.3","26.9","33.2","36.5","40.8"
"1.5","Borrowings to Equity (Times)","2.5","2.0","1.3","1.1","0.9"
"2. Asset Quality","","","","","",""
"","2.1 Gross Non Performing Advances to Total Advances","7.7","10.6","13.9","11.0","17.5"
"","2.2 Net Non Performing Advances to Total Advances (e)","2.4","3.4","4.2","2.7","12.3"
"2.3","Impairment made against Total Advances (f)","4.4","6.0","8.2","7.3","7.7"
"2.4","Impairment Coverage Ratio (Stage 03 Impairment to","","","","",""
"","Stage 03 Advances) (g)","57.0","56.6","58.9","66.8","29.6"
"3. Liquidity","","","","","",""
"3.1","Regulatory Liquid Assets to Total Assets","7.5","8.6","9.2","9.7","10.7"
"3.2","Regulatory Liquid Assets to Deposits and Borrowings","9.6","11.3","13.0","14.1","15.6"
"4. Earnings (h)","","","","","",""
"4.1","Return on Assets (i)","2.7","2.2","1.7","5.4","3.7"
"4.2","Return on Equity (j)","12.1","7.5","6.1","20.2","12.6"
"4.3","Interest Income to Interest Expenses","182.0","182.4","194.7","253.5","173.6"
"","4.4 Net Interest Margin (NIM) (k)","7.4","7.7","7.3","8.6","6.7"
"4.5","Efficiency Ratio (l)","67.2","74.1","74.7","51.3","57.7"
"4.6 Cost to Income Ratio","","85.8","89.0","89.8","69.0","79.6"
"5. Assets/Funding Structure (as a % of Total Net Assets)","","","","","",""
"5.1","Equity","12.8","14.2","17.7","20.4","22.6"
"5.2","Total Deposits and Borrowings","82.5","81.1","76.8","74.6","73.7"
"5.3","Loans and Advances","79.4","77.0","74.2","76.8","74.4"
"5.4","Investments","8.0","9.5","11.6","11.5","12.5"
