"","","","","","","","","Rs. million","","","","","","","US$ million"
"","Consumer Goods","","","","Intermediate Goods","","","","","Investment Goods","","","","",""
"Period","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Unclassified","Total","Total"
"","","Non-Food","","","Textiles and","","","","Machinery","","","","","",""
"","Food and","","Crude","Refined","","Wheat and","","","","Transport","Building","","","",""
"","","","","","","","","","","","","","Imports","Imports","Imports"
"","","Consumer","","","Textile","","Fertiliser","Other","and","","","Other","","",""
"","Beverages","","Oil","Petroleum","","Maize","","","","Equipment","Materials","","","",""
"","","Goods","","","Articles","","","","Equipment","","","","","",""
"2018","259,659","546,949","160,024","475,521","465,334","60,637","42,682","823,262","404,175","108,057","247,730","979","11,634","3,606,644","22,233"
"2019","255,125","452,468","173,547","483,462","520,335","61,887","39,570","754,197","445,332","106,528","269,733","1,360","1,484","3,565,028","19,937"
"2020","288,477","342,575","107,665","321,818","432,484","71,366","48,227","699,509","402,967","64,835","191,816","593","2,583","2,974,915","16,055"
"2021","330,670","434,309","123,865","564,681","610,217","83,326","31,414","1,034,405","558,819","79,412","248,519","1,163","3,418","4,104,218","20,637"
"2022 (a)","502,195","370,061","157,408","1,294,311","968,598","97,065","96,506","1,320,161","605,441","39,173","282,596","879","2,941","5,737,333","18,291"
"2020      1st    Quarter","77,898","98,387","35,575","118,469","113,377","14,712","4,719","177,645","104,335","21,191","53,690","160","1,300","821,457","4,503"
"2nd   Quarter","68,319","86,080","10,628","40,845","83,768","14,398","15,349","141,460","78,769","21,455","37,904","116","639","599,729","3,172"
"3rd    Quarter","66,997","78,413","37,020","82,169","111,134","24,720","5,933","185,247","109,595","9,275","49,943","166","315","760,928","4,108"
"4th    Quarter","75,263","79,695","24,442","80,335","124,205","17,536","22,225","195,158","110,268","12,914","50,279","152","329","792,801","4,273"
"2021      1st    Quarter","97,956","95,570","24,366","146,429","137,709","18,205","6,820","246,892","132,974","15,707","55,044","95","472","978,240","5,041"
"2nd   Quarter","81,518","100,472","37,697","117,154","147,443","18,135","12,368","255,727","135,582","19,263","63,272","237","483","989,351","4,974"
"3rd    Quarter","69,636","126,669","39,937","114,002","151,589","21,439","1,387","241,948","137,123","23,501","60,009","527","620","988,389","4,923"
"4th    Quarter","81,559","111,597","21,866","187,096","173,476","25,546","10,839","289,838","153,140","20,941","70,193","304","1,844","1,148,238","5,700"
