"","Category","2018","2019","2020","2021 (a) 2022 (b)",""
"1.  Capital Adequacy (%)","","","","","",""
"1.1","Capital Adequacy Ratio (CAR) (Regulatory Capital to Risk Weitghed  Assets)","17.1","16.2","16.8","19.5","17.7"
"1.2","Core Capital Ratio (Tier 1) (Core Capital to Risk Weighted Assets)","15.0","12.9","13.7","16.5","14.2"
"1.3","Core Capital to Total Assets","5.0","4.2","4.5","3.8","4.3"
"1.4","Stage 3 Loans Including Undrawn Amounts (net of Stage 3 Impairment) to Total Capital Funds","","","52.3","50.8","50.3"
"1.5","Borrowings to Capital Funds","214.7","162.6","101.6","93.6","106.4"
"1.6","Capital to Assets Ratio","6.3","5.6","5.6","6.4","5.6"
"1.7","Leverage Ratio","","6.2","6.6","6.4","7.1"
"2.  Assets Quality (%)","","","","","",""
"2.1","Stage 3 Loans to Total Loans Ratio (Including Undrawn Amounts and Net of Stage 3 Impairment)","","","6.5","9.2","9.0"
"2.2","Stage 3 Loans to Total Loans Ratio (Excluding Undrawn Amounts)","","","","","7.9"
"2.3","Total Impairment on Loans Made against Loans and Receivables (excluding undrawn amounts)","","","2.0","3.4","4.0"
"2.4","Stage 3 Impairment Coverage (Including Undrawn Amounts)","","","25.2","25.2","31.4"
"2.5","Total Impairment Coverage (Including Undrawn Amounts)","","","3.1","3.6","4.3"
"2.6","Total Impairment on Loans Made against Total Assets","","","1.0","1.5","1.9"
"2.7","Total Loans and Receivables to Total Assets","50.1","48.1","48.2","45.1","46.6"
"2.8","Total Investments to Total Assets","38.1","39.7","45.7","47.8","46.8"
"2.9","Total Income to Total Assets","11.8","11.3","9.9","8.9","11.5"
"2.10 Net Interest Income to Total Assets","","3.2","3.3","3.1","3.8","2.8"
"2.11 Non Interest Income to Total Assets","","0.5","0.3","0.4","0.2","0.2"
"3.  Earnings and Profitability (%)","","","","","",""
"3.1","Return on Equity (ROE) - After Tax","7.7","6.8","16.6","22.5","2.3"
"3.2","Return on Assets (ROA) - Before Tax","0.8","0.8","1.3","1.6","0.3"
"3.3","Return on Assets (ROA) - After Tax","0.5","0.4","0.9","1.2","0.1"
"3.4","Interest Income to Total Income","96.1","97.1","96.3","97.2","98.6"
"3.5","Net Interest Income to Total Income","27.1","29.0","31.7","43.0","24.0"
"3.6","Non Interest Income to Total Income","3.9","2.9","3.7","2.8","1.4"
"3.7","Non Interest Expenses (Operating Expenses) to Total Income","18.9","17.5","17.3","19.8","16.7"
"3.8","Personal Expenses to Non Interest Expenses","60.9","62.9","64.0","69.4","67.1"
"3.9","Personal Expenses to Total Income","11.5","11.0","11.1","13.7","11.2"
"3.10 Impairment to Total Income","","","","2.2","3.9","3.9"
"3.11 Efficiency Ratio","","63.8","60.1","52.1","43.2","65.4"
"","3.12 Interest Margin (Net interest income to Average Assets)","3.2","3.4","3.4","4.0","2.8"
"4.  Liquidity (%)","","","","","",""
"4.1","Total Liquid Assets to Total Assets","35.1","41.5","49.6","43.6","30.9"
"4.2","Statutory Liquid Assets Ratio - Domestic Banking Unit (DBU)","47.7","53.1","60.4","52.8","38.3"
"4.3","Statutory Liquid Assets Ratio - Off-shore Banking Unit (OBU)","-","-","-","-","-"
"4.4","Rupee Liquidity Coverage Ratio","239.3","272.3","300.4","235.3","196.3"
"4.5","All Currency Liquidity Coverage Ratio","308.4","272.3","298.6","235.3","194.5"
"4.6","Liquid Assets to Deposits","46.0","51.2","58.6","50.9","36.0"
"4.7","Current & Savings Deposits to Total Deposits","24.1","22.6","23.5","24.0","18.9"
"4.8","Liquid Assets to Short Term Outflows","","","","","37.3"
"4.9","Deposit to Total Loans & Receivables","152.2","168.1","193.8","190.5","184.3"
"4.10 Net Stable Funding Ratio","","","157.8","158.6","151.2","167.3"
"5.  Assets / Funding Structure","","","","","",""
"5.1","Deposits (% of Total Assets)","76.3","80.9","84.6","85.7","85.9"
"5.2","Borrowings (% of Total Assets)","13.5","9.0","5.7","6.1","6.0"
"5.3","Capital Funds (% of Total Assets)","6.3","5.6","5.6","5.8","5.6"
"5.4","Other (% of Total Assets)","3.9","4.5","4.1","2.4","2.5"
"5.5","Credit to Deposits","65.7","59.5","51.6","52.6","54.2"
"5.6","Credit to Deposits and Borrowings","55.8","53.5","48.3","49.1","50.7"
"5.7","Credit to Deposits, Borrowings and Capital","52.1","50.4","45.5","46.2","47.8"
"6.  Financial Infrastructure","","","","","",""
"6.1","No. of Branches (excluding Student Savings Units)","699","700","704","705","706"
"6.2","No. of ATMs","372","409","437","466","474"
"(a) Revised","","","","Source: Central Bank of Sri Lanka","",""
