"2nd  Quarter","3,624","2,268","501","513","373","4,221","187","11,820","6,341","2,963","23","6","5,920","1,016","51","21","7,117"
"3rd    Quarter","6,167","3,002","388","909","250","3,941","217","10,672","2,444","3,000","15","7","6,183","902","70","24","5,590"
"4th    Quarter","5,168","2,463","903","769","254","3,822","171","9,629","8,146","152","12","6","2,497","1,133","49","9","5,679"
"2021         January","2,034","1,489","687","125","154","1,132","48","2,784","810","…","17","1","155","279","22","5","2,845"
"February","1,304","1,338","1,192","137","109","1,267","53","2,837","729","…","7","3","589","315","12","3","2,828"
"March","1,409","2,029","1,240","123","213","3,044","119","3,779","1,020","2","19","2","1,197","558","20","6","3,516"
"April","749","1,241","630","124","74","1,088","72","3,233","390","…","7","1","937","193","5","1","2,067"
"May","993","667","498","237","111","1,837","41","3,739","994","-","3","1","869","117","23","2","2,406"
"June","1,500","1,417","610","260","148","2,451","64","3,914","499","…","2","2","495","135","15","6","3,000"
"July","2,188","1,374","413","474","145","2,945","72","4,139","2,987","475","9","2","953","336","27","5","3,417"
"August","1,640","1,579","347","346","109","2,378","53","3,684","848","780","15","6","1,745","130","16","1","1,635"
"September","1,851","1,159","243","211","89","1,113","30","3,489","913","261","21","2","1,019","402","28","…","2,199"
"October","2,275","1,494","208","229","90","1,425","70","4,342","3,862","171","22","3","1,161","332","10","…","3,770"
"November","1,720","2,417","259","198","159","1,694","127","4,017","2,049","741","28","4","794","665","42","1","1,775"
"December","1,534","2,370","158","187","101","1,167","74","3,469","522","306","10","4","575","370","20","…","1,758"
"2022 (a)    January","1,580","1,489","135","157","86","1,545","110","3,029","347","285","5","2","726","242","11","1","2,905"
"February","1,043","1,419","183","53","124","999","84","2,785","2,068","437","6","3","621","212","18","…","3,286"
"March","936","1,164","228","203","104","1,307","71","3,591","1,889","651","6","4","1,031","402","26","13","3,053"
"April","1,092","661","225","94","158","1,200","33","3,944","1,526","873","5","2","1,769","163","15","3","2,392"
"May","1,043","639","131","156","98","1,307","53","3,526","2,910","1,045","4","2","2,469","210","16","8","1,959"
"June","1,489","968","145","262","118","1,715","102","4,351","1,905","1,045","15","2","1,682","643","20","10","2,767"
"July","1,813","705","141","235","92","1,068","66","3,757","409","1,311","5","2","1,615","246","14","4","2,401"
"August","2,139","1,157","142","317","59","1,624","76","3,503","460","1,346","4","2","2,363","380","17","9","1,655"
"September","2,216","1,140","106","357","98","1,249","75","3,412","1,574","342","6","3","2,206","277","39","11","1,534"
"October","1,944","993","59","363","112","1,441","84","3,435","2,272","114","3","3","1,540","387","7","2","1,179"
"November","1,582","691","167","274","64","1,280","29","3,011","2,833","…","3","1","955","358","15","5","1,662"
"December","1,643","779","677","132","78","1,101","57","3,183","3,041","38","6","2","2","388","27","2","2,838"
"(a) Provisional","","","","","","","","","","","","","","","","","(Contd.)"
