"Period","Desiccated
Coconut","Coconut Oil","","Total Million 
Nuts (b)","Desiccated
Coconut","Coconut Oil","","Non Kernel
Products","","","Desiccated
Coconut","Coconut Oil","","Desiccated
Coconut","Coconut Oil","","Desiccated
Coconut","Coconut Oil","","Philippine 
Copra (US$/","Sri Lanka 
Desiccated  
Coconut 
(US$/kg)"
"2018","26,630","16,613","Copra
629","355","11,473","12,548","Copra
242","26,202","Total
50,465","Total
311","430.84","755.32","Copra
 383.98","2.64","4.66","Copra
 2.31","378.22","364.59","Copra
 215.48","kg) (d)
 0.61","2.59"
"2019","67,819","16,400","3,915","768","16,976","10,875","928","30,073","58,852","330","250.31","663.14","236.98","1.40","3.71","1.32","251.03","310.09","158.19","0.47","1.55"
"2020","43,043","19,764","1,082","574","15,342","14,582","296","33,753","63,974","345","356.43","737.83","274.06","1.92","3.98","1.50","447.56","447.93","230.00","0.64","2.45"
"2021","48,490","18,785","828","613","22,715","17,064","271","44,625","84,674","425","468.44","908.38","326.74","2.35","4.56","1.63","537.25","601.13","-","1.02","n.a."
"2022 (e)","55,138","19,677","2,080","687","32,824","24,370","925","70,391","128,509","400","595.30","1,238.49","444.48","1.86","3.82","1.28","538.75","672.73","-","1.02","n.a."
"2020      1st    Quarter","11,794","3,208","902","140","3,503","2,199","230","6,919","12,852","70","297.01","685.33","255.30","1.63","3.76","1.40","389.19","393.04","230.00","0.54","2.28"
"2nd   Quarter","8,198","4,208","53","113","3,112","2,997","17","8,230","14,357","76","379.65","712.39","318.94","2.02","3.79","1.67","415.17","496.73","-","0.54","2.17"
"3rd   Quarter","13,426","7,134","66","187","4,988","5,273","25","10,189","20,474","110","371.48","739.09","384.17","2.00","3.99","2.07","439.26","450.23","-","0.62","2.31"
"4th    Quarter","9,624","5,214","61","135","3,739","4,114","24","8,415","16,291","88","388.45","788.94","393.51","2.09","4.26","2.13","535.81","467.99","-","0.87","3.03"
"2021  
   1st    Quarter","10,553","3,835","23","130","4,422","3,555","13","10,732","18,721","96","418.98","927.06","549.86","2.15","4.76","2.82","567.83","511.80","-","0.91","n.a."
"2nd   Quarter","9,857","4,402","42","129","5,095","3,983","18","10,802","19,898","100","516.84","904.76","428.54","2.60","4.54","2.16","552.54","694.67","-","1.02","n.a."
"3rd   Quarter","13,980","4,929","637","174","6,457","4,627","200","12,101","23,385","116","461.91","938.57","314.15","2.30","4.68","1.56","513.14","598.51","-","0.96","n.a."
"4th    Quarter","14,100","5,618","126","179","6,741","4,899","40","10,990","22,670","113","478.10","871.98","316.12","2.37","4.33","1.57","515.50","599.56","-","1.19","n.a."
"2022 (e)  1st    Quarter","13,287","4,167","189","159","6,014","3,940","59","13,091","23,104","105","452.62","945.52","310.91","2.05","4.25","1.41","508.12","682.08","-","1.40","n.a."
"2nd   Quarter","13,068","6,236","346","177","9,499","8,453","158","20,470","38,581","111","726.90","1,355.68","457.33","2.10","3.90","1.30","600.91","730.57","-","1.12","n.a."
"3rd   Quarter","13,359","5,104","640","170","8,927","6,762","291","19,499","35,479","98","668.24","1,324.94","454.42","1.85","3.67","1.26","520.08","648.78","-","0.81","n.a."
"4th    Quarter","15,424","4,171","905","182","8,384","5,215","417","17,330","31,345","86","543.56","1,250.22","460.36","1.50","3.44","1.27","525.88","629.47","-","0.73","n.a."
