"","","","","","","","","","","","","","Premium","Differential",""
"","","(US$ million)","","","","","(US$ million)","","","","Total Volume","","","",""
"Period","","","","","","","","","","","","(as % of spot) (a)","","(as % of spot)",""
"","","","","","","","","","","","(US$ million)","","","",""
"","","","","","Below 1","","","","Over 3","","","1 Month","3 Months","1 Month","3 Months"
"","Spot","Tom","Cash","Total","","1 Month","2 Months","3 Months","","Total","","","","",""
"","","","","","Month","","","","Months","","","(%)","(%)","(%)","(%)"
"2018","5,336.5","2,106.0","3,327.8","10,770.3","1,806.7","1,917.9","614.4","572.7","1,720.1","6,631.8","17,402.1","6.1","5.8","6.2","6.2"
"2019","5,773.8","2,341.9","3,527.1","11,642.9","2,066.1","2,751.7","404.2","603.7","1,908.1","7,733.7","19,376.6","4.8","4.8","5.0","6.1"
"2020","5,725.5","1,994.9","2,724.3","10,444.6","2,553.4","2,389.2","905.5","823.7","1,291.8","7,963.6","18,408.3","1.3","1.4","4.5","5.1"
"2021","2,184.7","1,529.5","2,137.7","5,851.9","2,849.3","1,899.4","518.4","466.9","574.3","6,308.2","12,160.1","-3.4","-5.3","4.6","5.7"
"2022 (b)","806.2","628.9","4,043.6","5,478.7","2,776.3","790.2","335.2","143.3","46.0","4,091.0","9,569.8","0.1","-5.9","6.2","21.3"
"2020        1st    Quarter","1,463.0","543.9","821.0","2,827.9","683.2","531.0","170.0","298.8","277.5","1,960.4","4,788.4","2.9","3.0","5.0","5.8"
"2nd  Quarter","1,218.8","419.2","439.5","2,077.4","612.6","657.0","179.1","112.3","387.3","1,948.1","4,025.6","2.3","2.2","5.1","6.0"
"3rd   Quarter","1,885.9","504.0","949.9","3,339.8","464.7","604.9","269.4","175.5","300.9","1,815.3","5,155.2","0.3","0.6","4.0","4.4"
"4th   Quarter","1,157.7","527.8","513.9","2,199.4","793.0","596.5","287.0","237.1","326.2","2,239.8","4,439.2","-0.2","0.0","3.9","4.4"
"2021        1st    Quarter","587.8","473.5","448.8","1,510.0","962.3","808.0","198.4","54.2","169.4","2,192.2","3,702.2","2.7","-2.9","4.0","4.6"
"2nd  Quarter","744.3","391.4","450.9","1,586.6","714.3","652.8","158.5","84.0","136.4","1,745.9","3,332.5","-7.9","-6.2","4.1","5.0"
"3rd   Quarter","437.1","250.7","515.9","1,203.8","431.3","220.9","116.5","115.5","157.0","1,041.2","2,245.0","4.2","-3.5","4.8","5.5"
"4th   Quarter","415.5","413.9","722.0","1,551.5","741.4","217.8","45.0","213.3","111.5","1,328.9","2,880.3","-12.4","-8.6","5.2","7.5"
