"Item","2013","2014","2015","2016","2017","2018","2019","2020","2021 (a)","2022 (b)"
"Total Placements","293,218","300,703","263,443","242,816","211,992","211,211","203,087","53,711","122,264","311,056"
"By Source","","","","","","","","","",""
"Licensed Agents","180,463","176,829","116,749","87,982","68,319","66,703","69,278","18,065","41,805","123,420"
"(%)","61.6","58.8","44.3","36.2","32.2","31.6","34.1","33.6","34.2","39.7"
"Other","112,755","123,874","146,694","154,834","143,673","144,508","133,809","35,646","80,459","187,636"
"(%)","38.5","41.2","55.7","63.8","67.8","68.4","65.9","66.4","65.8","60.3"
"By Gender","","","","","","","","","",""
"Males","175,185","190,217","172,788","160,306","139,268","129,712","122,257","32,500","81,110","186,965"
"(%)","59.7","63.3","65.6","66.0","65.7","61.4","60.2","60.5","66.3","60.1"
"Females","118,033","110,486","90,655","82,510","72,724","81,499","80,830","21,211","41,154","124,091"
"(%)","40.3","36.7","34.4","34.0","34.3","38.6","39.8","39.5","33.7","39.9"
"By Manpower Category","","","","","","","","","",""
"Housemaids","96,900","88,628","73,226","65,015","55,884","64,757","61,489","15,322","29,315","74,007"
"(%)","33.0","29.5","27.8","26.8","26.4","30.7","30.3","28.5","24.0","23.8"
"Skilled Labour","73,707","73,162","81,682","76,545","68,980","67,013","62,711","16,664","40,174","92,836"
"(%)","25.1","24.3","31.0","31.5","32.5","31.7","30.9","31.0","32.9","29.8"
"Unskilled Labour","70,977","79,519","77,985","71,656","61,054","51,703","51,188","13,987","31,676","105,509"
"(%)","24.2","26.4","29.6","29.5","28.8","24.5","25.2","26.0","25.9","33.9"
"Other","51,634","59,394","30,550","29,600","26,074","27,738","27,699","7,738","21,099","38,704"
"(%)","17.6","19.8","11.6","12.2","12.3","13.1","13.6","14.4","17.2","12.4"
"Licensed Employment Agencies","835","1,034","1,034","1,135","763","763","881","778","1,011","947"
"(Year End)","","","","","","","","","",""
"Number of Training Centres","","","","","","","","","",""
"By SLBFE","23","25","25","22","19","19","18","17","18","18"
"By Private Agents","13","13","13","0","3","3","3","1","2","2"
"(a) Revised","","","","","","","","","Source: Sri Lanka Bureau of Foreign Employment",""
