"","Index of Industrial Production (IIP) (a)","","","",""
"","","","","","2015 = 100"
"Category","2018","2019","2020","2021 (b)","2022 (c)"
"1.
Manufacture of Food Products","106.1","105.6","109.1","109.3","93.1"
"2.
Manufacture of Beverages","99.8","103.4","96.5","106.0","127.5"
"3.
Manufacture of Tobacco Products","92.7","81.0","72.1","77.9","83.2"
"4.
Manufacture of Textiles","110.2","108.3","102.2","128.7","101.5"
"5.
Manufacture of Wearing Apparel","115.1","117.2","81.2","95.4","100.5"
"6.
Manufacture of Leather and Related Products","117.0","116.7","77.6","78.6","87.4"
"7.
Manufacture of Wood and Products of Wood and Cork, except","98.6","101.9","71.8","82.5","81.0"
"Furniture; Articles of Straw and Plaiting Materials","","","","",""
"8.
Manufacture of Paper and Paper Products","86.8","96.7","81.8","86.5","49.0"
"9.
Printing and Reproduction of Recorded Media","106.5","102.9","112.6","117.9","112.1"
"10. Manufacture of Coke and Refined Petroleum Products","97.5","106.8","97.2","71.1","30.0"
"11. Manufacture of Chemicals and Chemical Products","92.7","102.2","94.2","89.8","98.6"
"12. Manufacture of Basic Pharmaceutical Products and","","","","",""
"","100.1","98.2","104.7","117.9","102.5"
"Pharmaceutical Preparations","","","","",""
"13. Manufacture of Rubber and Plastic Products","112.0","106.4","75.8","102.9","92.7"
"14. Manufacture of Other Non-metallic Mineral Products","108.9","117.8","111.7","137.4","113.5"
"15. Manufacture of Basic Metals","128.3","124.2","110.7","133.6","88.1"
"16. Manufacture of Fabricated Metal Products (except","","","","",""
"","125.4","110.7","100.9","124.6","72.0"
"Machinery Equipment)","","","","",""
"17. Manufacture of Electrical Equipment","81.8","86.9","67.5","81.4","65.1"
"18. Manufacture of Machinery and Equipment (n.e.c.)","102.0","99.3","102.9","122.0","139.1"
"19. Manufacture of Furniture","90.6","90.3","77.0","77.5","63.3"
"20. Other Manufacturing","95.1","66.0","65.7","69.6","69.6"
"Index of Industrial Production","106.7","108.1","97.1","104.2","91.6"
"n.e.c. - not elsewhere classified","","","","Source: Department of Census and Statistics",""
