"","Sector","","","","","","","","","",""
"","","2021","2022 (b)","2021","2022 (b)","2021","2022 (b)","2021","2022 (b)","2021","2022 (b)"
"1. Agriculture Sector","","","","","","","","","","",""
"Tea","","","","","","","","","","",""
"","Male","1,477","2,000","1,535","1,831","-","-","-","-","1,419","1,809"
"","Female","1,076","1,613","1,082","1,513","-","-","-","-","1,030","1,369"
"Rubber","","","","","","","","","","",""
"","Male","1,591","1,884","-","-","-","-","-","-","1,459","1,885"
"","Female","1,346","1,592","-","-","-","-","-","-","1,167","1,478"
"Coconut (c)","","","","","","","","","","",""
"","Male","1,601","2,109","1,765","2,322","1,621","2,195","1,427","2,314","1,627","2,190"
"Paddy","","","","","","","","","","",""
"","Male","1,579","2,023","1,725","2,221","1,653","2,294","1,737","2,393","1,617","2,127"
"","Female","1,243","1,652","968","2,319","1,108","1,537","1,496","2,201","1,175","1,688"
"2. Construction Sector (c)","","","","","","","","","","",""
"Carpentry","","","","","","","","","","",""
"","Master Carpenter - Male","2,721","3,138","2,609","3,145","2,223","2,800","2,504","3,051","2,511","3,037"
"","Skilled and Unskilled Helper - Male","1,633","2,002","1,580","1,953","1,528","2,044","1,643","2,029","1,598","2,013"
"Masonry","","","","","","","","","","",""
"","Master Mason - Male","2,677","3,094","2,657","3,191","2,222","2,830","2,534","3,130","2,511","3,085"
"","Skilled and Unskilled Helper - Male","1,588","2,020","1,666","2,024","1,581","2,084","1,654","2,035","1,623","2,030"
"(a)  Daily wages are without provision of food.","","","","","","","","","","Source: Central Bank of Sri Lanka",""
