"","","","Absorption","Supply","Net Absorption"
"","","Period","","",""
"","","","(1)","(2)","(1)-(2)"
"2018","","","556.96","1,676.63","-1,119.67"
"2019","","","593.90","206.90","387.00"
"2020","","","685.40","402.90","282.50"
"2021","","","505.76","1,252.99","-747.23"
"2022","","","2,147.65","2,715.58","-567.93"
"2020","1st    Quarter","","159.00","237.30","-78.30"
"","2nd   Quarter","","130.50","107.35","23.15"
"","3rd   Quarter","","339.50","29.25","310.25"
"","4th   Quarter","","56.40","29.00","27.40"
"2021","1st     Quarter","","98.73","72.25","26.48"
"","2nd   Quarter","","110.09","10.00","100.09"
"","3rd   Quarter","","123.02","260.31","-137.29"
"","4th   Quarter","","173.92","910.43","-736.51"
"2022","1st     Quarter","","535.90","800.71","-264.82"
"","2nd   Quarter","","294.56","622.73","-328.17"
"","3rd   Quarter","","572.41","649.14","-76.73"
"","4th   Quarter","","744.79","643.00","101.79"
"2021","January","","0.00","72.25","-72.25"
"","February","","23.42","0.00","23.42"
"","March","","75.31","0.00","75.31"
"","April","","62.81","0.00","62.81"
"","May","","13.57","10.00","3.57"
"","June","","33.71","0.00","33.71"
"","July","","37.65","0.00","37.65"
"","August","","49.38","225.50","-176.12"
"","September","","35.99","34.81","1.18"
"","October","","41.05","113.37","-72.33"
"","November","","61.71","372.35","-310.64"
"","December","","71.16","424.71","-353.55"
"2022","January","","176.81","407.76","-230.96"
"","February","","162.34","185.34","-22.99"
"","March","","196.75","207.62","-10.87"
"","April","","149.96","244.90","-94.94"
"","May","","76.60","155.10","-78.50"
"","June","","68.00","222.73","-154.73"
"","July","","117.65","276.58","-158.93"
"","August","","215.61","200.59","15.02"
"","September","","239.15","171.97","67.18"
"","October","","251.28","259.67","-8.40"
"","November","","219.09","212.69","6.40"
"","December","","274.42","170.64","103.78"
"","","","","","Source: Central Bank of Sri Lanka"
