"Domestic","1,561,363","1,213,698","1,169,522","1,594,328","2,510,281"
"Foreign","527,188","808,809","771,851","786,271","487,364"
"","As a percentage of GDP (c)","","","",""
"Total Debt Service Payments","13.6","12.7","12.4","13.5","12.4"
"Total Domestic Debt Service Payments","10.2","7.6","7.5","9.1","10.4"
"Total Foreign Debt Service Payments","3.4","5.1","4.9","4.5","2.0"
"Total Interest Payments","5.6","5.7","6.3","6.0","6.5"
"Total Amortisation Payments","8.1","7.0","6.1","7.6","5.9"
"(a) Provisional","","","","Sources: Ministry of Finance, Economic",""
"(b) According to the Ministry of Finance, the fiscal sector statistics of 2019 have been restated as announced","","","","Stabilisation and National Policies",""
"in the Budget Speech for 2020","","","","Central Bank of Sri Lanka",""
