"","Maha","Yala","Total","Maha","Yala","Total","Maha","Yala","Total"
"Item","2019/2020","2020","2020","2020/2021","2021","2021","2021/2022","2022","2022"
"","","","","(a)","(a)","(a)","(b)","(b)","(b)"
"System 'B'","21,063","20,773","41,836","23,532","21,543","45,075","21,956","19,589","41,544"
"Paddy","20,585","19,931","40,516","21,317","20,529","41,846","20,613","19,088","39,701"
"other field Crops","478","842","1,320","2,215","1,014","3,229","1,343","501","1,843"
"System 'C'","24,912","23,181","48,093","24,558","23,839","48,397","25,488","23,202","48,690"
"Paddy","22,598","22,043","44,641","21,710","22,090","43,800","22,852","21,943","44,795"
"other field Crops","2,314","1,138","3,452","2,849","1,749","4,597","2,636","1,259","3,895"
"System 'D'","1,725","993","2,718","1,825","1,283","3,108","1,700","1,232","2,931"
"Paddy","1,520","742","2,262","1,438","1,058","2,496","1,457","947","2,404"
"other field Crops","205","251","456","387","225","612","243","285","527"
"System 'G'","4,761","5,578","10,339","6,203","6,558","12,761","6,301","5,787","12,088"
"Paddy","4,537","4,634","9,171","5,847","5,470","11,318","5,752","4,893","10,645"
"other field Crops","224","945","1,169","356","1,088","1,444","549","894","1,443"
"System 'H'","23,226","17,399","40,625","24,055","23,351","47,406","21,596","19,881","41,477"
"Paddy","22,382","10,616","32,998","21,777","16,918","38,695","19,246","12,918","32,164"
"other field Crops","844","6,783","7,628","2,278","6,433","8,711","2,350","6,963","9,313"
"Huruluwewa","8,478","8,064","16,542","9,740","9,520","19,260","9,752","7,496","17,248"
"Paddy","8,269","4,667","12,936","8,600","7,538","16,138","8,986","5,658","14,644"
"other field Crops","209","3,397","3,606","1,140","1,982","3,122","766","1,838","2,604"
"System 'L'","3,362","713","4,075","3,904","1,758","5,662","3,964","2,070","6,034"
"Paddy","2,885","225","3,110","2,966","980","3,946","3,135","1,212","4,347"
"other field Crops","477","488","965","938","778","1,716","830","858","1,688"
"Udawalawe","12,857","13,383","26,240","13,296","13,934","27,230","14,976","14,676","29,652"
"Paddy","10,943","10,756","21,699","11,396","11,509","22,904","12,240","12,477","24,717"
"other field Crops","1,914","2,628","4,541","1,901","2,425","4,326","2,736","2,199","4,935"
"Rambakan oya","1,187","1,064","2,251","1,968","1,388","3,355","4,754","3,998","8,752"
"Paddy","1,059","750","1,809","976","887","1,863","1,061","1,512","2,573"
"other field Crops","128","314","442","992","501","1,492","3,693","2,486","6,179"
"System ‘E’","-","132","132","173","208","381","1,373","993","2,366"
"Paddy","-","-","-","-","-","-","885","20","905"
"other field Crops","-","132","132","173","208","381","488","973","1,461"
"Total","101,571","91,281","192,852","109,253","103,382","212,635","111,861","98,922","210,782"
"Paddy","94,778","74,363","169,141","96,027","86,979","183,006","96,227","80,668","176,895"
"Other Field Crops","6,793","16,918","23,711","13,227","16,403","29,629","15,634","18,254","33,888"
"(a) Revised","","","","","","","","Source: Mahaweli Authority of Sri Lanka",""
