"","Period (a)","All Activities","Agriculture","Manufacturing","Utility (b)"
"2019","","105.5","108.7","104.9","101.5"
"2020","","111.6","126.8","109.0","104.1"
"2021","","123.7","133.8","122.9","101.9"
"2022","","215.2","215.2","219.4","129.8"
"2020","1st   Quarter","110.5","121.8","106.7","102.8"
"","2nd  Quarter","111.5","126.5","109.0","104.6"
"","3rd   Quarter","111.4","128.3","109.5","104.4"
"","4th   Quarter","112.9","130.5","110.9","104.6"
"2021","1st   Quarter","118.5","132.6","116.8","99.5"
"","2nd  Quarter","123.7","131.0","122.4","102.9"
"","3rd   Quarter","122.5","125.7","123.0","102.6"
"","4th   Quarter","130.2","145.7","129.4","102.5"
"2022 (c)","1st   Quarter","147.7","168.1","147.0","103.4"
"","2nd  Quarter","213.1","207.3","219.3","103.0"
"","3rd   Quarter","248.5","240.4","255.0","137.7"
"","4th   Quarter","251.7","245.0","256.4","174.9"
"2021","January","116.0","134.0","113.9","100.1"
"","February","118.0","133.0","117.3","97.7"
"","March","121.3","130.8","119.2","100.6"
"","April","124.0","131.6","122.6","103.1"
"","May","123.1","130.0","122.1","103.3"
"","June","123.9","131.4","122.6","102.2"
"","July","121.7","125.2","122.1","102.8"
"","August","122.3","125.4","122.8","102.6"
"","September","123.4","126.5","124.0","102.6"
"","October","126.8","131.0","127.4","102.5"
"","November","130.7","144.4","130.2","101.8"
"","December","133.1","161.7","130.6","103.2"
"2022 (c)","January","137.4","164.1","135.3","103.3"
"","February","142.6","167.6","141.0","104.3"
"","March","163.0","172.5","164.6","102.6"
"","April","189.8","178.2","195.8","100.2"
"","May","216.5","203.0","223.9","104.4"
"","June","232.9","240.6","238.2","104.3"
"","July","243.8","229.7","252.6","104.6"
"","August","250.9","245.8","257.3","134.0"
"","September","250.8","245.8","255.2","174.6"
"","October","252.7","248.7","257.0","176.5"
"","November","251.1","247.8","255.3","174.1"
"","December","251.4","238.6","257.0","174.2"
"","(a) Annual and quarterly figures are averages of monthly figures.","","","","Source: Department of Census and Statistics"
