"Category","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022 (c)"
"By Age Group","","","","","","","","","","","",""
"10 - 14 Years","...","...","...","...","...","...","...","...","...","...","...","..."
"15 - 19 Years","16.2","14.7","16.2","15.2","15.0","13.8","13.3","11.7","12.0","11.2","8.8","7.7"
"20 - 24 Years","54.4","54.5","55.0","52.7","55.5","55.6","57.4","53.2","54.9","51.5","47.6","48.0"
"25 - 29 Years","66.1","64.4","64.7","63.8","65.4","65.8","67.6","66.3","68.1","66.4","66.8","67.0"
"30 - 39 Years","67.4","65.7","67.9","68.0","67.4","67.6","68.1","66.0","67.6","66.8","67.3","67.1"
"40 Years & above","53.1","52.7","54.1","53.4","54.0","54.4","54.6","52.8","52.6","51.0","50.8","51.0"
"By Gender","","","","","","","","","","","",""
"Male","74.0","74.9","74.9","74.6","74.7","75.1","74.5","73.0","73.0","71.9","71.0","70.5"
"Female","34.3","32.9","35.4","34.6","35.9","35.9","36.6","33.6","34.5","32.0","31.8","32.1"
"By Sector","","","","","","","","","","","",""
"Urban","47.8","48.3","47.7","48.7","48.6","49.8","50.5","49.7","50.2","47.0","46.9","47.2"
"Rural","53.8","53.4","54.9","54.1","54.8","54.6","54.8","52.3","52.7","51.3","50.5","50.3"
"All","52.9","52.5","53.7","53.2","53.8","53.8","54.1","51.8","52.3","50.6","49.9","49.8"
"Labour Force, ‘000","7,926","7,798","8,034","8,049","8,214","8,311","8,567","8,388","8,592","8,467","8,553","8,547"
"(a)  In July 2016, the Department of Census and Statistics published a re-weighted and revised labour force","","","","","","","","","Source: Department of Census and Statistics","","",""
