"","","","","","","","","","","","","","","","","","","","","","","","Per cent per annum","",""
"","","Central Bank of","","","","","","","","","","","","","","Commercial Banks’ Rates on Advances","","","","","","","","",""
"","","","","","","Commercial Banks’ Deposit Rates","","","","","","","","","","","","","","","","","","",""
"","","Sri Lanka","","","","","","","","","","","","","Loans and Overdrafts","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","Over-","","Interbank Call",""
"End","","Standing","","","","","","","","","","","","","","","Bills","","","","","","","",""
"","Bank","","Standing","","Fixed Deposits","","","","","","","","Secured by","","","","","","","","","","","Money",""
"","","","","","","","","","","","","","","","","","","","","","","night","","",""
"of","Rate","Deposit","Lending","","","Savings","","","","","","","","","","","Purchased","","","","","","","",""
"","","","","","","","","","","","","","","","","Unsecured","","","AWPR (h)","AWLR (i)","AWNLR (j)","SLI-","","Market Rate",""
"","(b)","Facility","Facility","","","Deposits","AWDR (d)","AWFDR (e)","AWNDR (f)","AWNFDR (g)","Stock in","","Immovable","","","","and","","","","","","","",""
"Period","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","3-month","6-month
1-year
2-year","","","","","","","","","","Others","","","","","","","BOR","","",""
"","","Rate","Rate","","","","","","","","Trade","","Property","","","","Discounted","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","(k)","","","Average"
"","","","","","","","","","","","","","","","","","","","","","","","Max. Min.","",""
"","","(c)","(c)","","Max. Min. Max. Min. Max. Min. Max. Min. Max. Min.","","","","","","Max.","Min.","","Max. Min. Max. Min. Max. Min. Max.","","","","Min.","","","","","","","Weighted"
"2018","15.00","8.00","9.00","13.80 4.00","14.00 4.50 15.00 4.53 13.50 5.40","8.50 0.50","8.81","10.85","10.94","11.27","28.00","7.93","28.00","4.00","28.00 1.00","29.00 3.50","27.00","6.00","11.94","14.40","14.54","9.00","9.00","8.90","8.95"
"2019","15.00","7.00","8.00","11.75 2.50","12.00 3.05 15.00 3.55 12.63 5.30","7.50 0.20","8.20","10.05","8.89","9.17","28.00","4.47","28.00","4.00","28.00 1.00","28.00 6.75","24.00","6.00","10.00","13.59","12.80","7.51","7.55","7.40","7.45"
"2020","8.50","4.50","5.50","8.33 0.15","11.30 0.20 15.00 0.25 12.50 3.00","7.00 0.10","5.80","7.14","4.93","5.08","28.00","3.95","28.00","4.00","28.00 1.00","28.00 4.00","17.42","2.90","5.74","10.29","8.38","","4.55","4.53","4.55"
"2021","9.00","5.00","6.00","8.25 0.08","8.00 0.01 15.00 0.15 10.83 0.15","6.35 0.05","4.94","5.94","6.45","6.67","28.00","4.00","28.00","3.02","28.00 1.00","28.00 3.03","18.00","3.14","8.33","9.87","9.48","","6.00","5.88","5.95"
"2022","30.22","14.50","15.50","30.00 4.00","28.50 4.25 30.00 4.50 26.50 4.50","6.00 0.25","14.06","18.49","23.07","23.73","42.48","5.66","39.00","2.81","36.68 1.05","39.41 6.00","35.56","8.00","28.19","18.70","26.20","","15.50 15.50","","15.50"
"2021 January","8.50","4.50","5.50","8.33 0.15","11.30 0.20 15.00 0.25 12.25 3.00","7.00 0.10","5.58","6.88","5.19","5.30","28.00","4.00","28.00","4.00","28.00 1.00","28.00 2.01","17.42","2.89","5.82","10.17","8.37","","4.55","4.54","4.55"
"February","8.50","4.50","5.50","8.33 0.15","8.83 0.20 15.00 0.25 12.25 3.00","7.00 0.10","5.36","6.53","4.96","5.09","28.00","4.00","28.00","4.00","28.00 1.00","28.00 4.00","17.42","2.87","5.72","10.08","8.26","","4.55","4.54","4.55"
"March","8.50","4.50","5.50","8.00 0.15","8.83 0.20 15.00 0.25 12.25 3.00","7.00 0.10","5.20","6.29","4.86","4.99","28.00","4.00","28.00","4.00","28.00 1.00","28.00 4.00","17.42","3.74","5.67","9.91","8.28","","4.65","4.60","4.62"
"April","8.50","4.50","5.50","8.00 0.15","8.83 0.20 15.00 0.25 12.04 3.45","7.00 0.10","5.07","6.09","4.77","4.92","28.00","3.87","28.00","3.04","28.00 1.00","28.00 4.00","17.50","2.87","5.65","9.73","7.95","","4.70","4.60","4.64"
"May","8.50","4.50","5.50","8.00 0.15","8.83 0.20 15.00 0.25 12.00 3.45","7.00 0.10","4.97","5.94","4.77","4.90","28.00","1.00","28.00","3.04","28.00 1.00","28.00 4.00","17.50","4.95","5.69","9.64","7.74","","4.75","4.60","4.66"
"June","8.50","4.50","5.50","8.00 0.15","7.00 0.20 15.00 0.25 10.83 3.45","7.00 0.10","4.87","5.82","4.98","5.10","28.00","1.00","28.00","3.04","28.00 1.00","28.00 4.00","17.50","4.70","5.67","9.50","7.47","","4.95","4.80","4.93"
"July","8.50","4.50","5.50","8.00 0.15","7.00 0.20 15.00 0.25 10.83 3.45","6.00 0.10","4.77","5.67","4.99","5.15","28.00","1.00","28.00","2.84","28.00 1.90","28.00 4.00","17.50","4.00","5.70","9.45","8.09","","5.20","5.00","5.10"
"August","9.00","5.00","6.00","8.00 0.15","7.00 0.20 15.00 0.25 10.83 3.45","6.00 0.10","4.75","5.62","5.19","5.35","28.00","1.00","28.00","3.04","28.00 1.00","28.00 4.00","18.00","5.20","5.85","9.38","8.04","","5.85","5.75","5.79"
"September","9.00","5.00","6.00","8.00 0.15","7.00 0.20 15.00 0.25 10.83 3.45","6.25 0.10","4.75","5.64","5.53","5.69","28.00","1.00","28.00","3.02","28.00 1.00","28.00 4.00","18.00","3.89","6.39","9.37","8.14","","5.95","5.90","5.94"
"October","9.00","5.00","6.00","8.00 0.08","8.00 0.10 15.00 0.15 10.83 0.15","6.25 0.05","4.79","5.70","5.96","6.19","28.00","1.00","28.00","3.02","28.00 1.00","28.00 4.00","18.00","3.15","7.18","9.49","8.78","","6.00","5.80","5.93"
