"","","","Current Market Prices (Rs.mn)","","","Constant (2010) Prices (Rs.mn)",""
"","Item","","","","","",""
"","","2018 (b)","2019 (b)(c)","2020 (c)","2018 (b)","2019 (b)(c)","2020(c)"
"A.  Domestic Demand","","","","","","",""
"Consumption","","11,086,732","11,902,168","12,146,234","7,453,373","7,739,402","7,556,276"
"(% Change)","","10.0","7.4","2.1","3.2","3.8","-2.4"
"Gross Domestic Capital Formation","","4,266,053","4,030,195","3,778,482","3,487,278","3,122,105","2,806,894"
"(% Change)","","1.3","-5.5","-6.2","3.6","-10.5","-10.1"
"Total Domestic Demand","","15,352,785","15,932,363   15,924,716","","10,940,651   10,861,507","","10,363,170"
"(% Change)","","7.4","3.8","0.0","3.3","-0.7","-4.6"
"B. External Demand","","","","","","",""
"Export of Goods and Services","","3,292,414","3,472,337","2,483,056","1,722,275","1,845,686","1,668,855"
"(% Change)","","13.2","5.5","-28.5","0.5","7.2","-9.6"
"Import of Goods and Services","","4,354,292","4,391,746","3,434,777","2,997,547","2,823,843","2,501,420"
"(% Change)","","12.4","0.9","-21.8","1.8","-5.8","-11.4"
"Net External Demand","","-1,061,878","-919,410","-951,721","-1,275,272","-978,157","-832,565"
"(% Change)","","-10.3","13.4","-3.5","-3.5","23.3","14.9"
"C. Total Demand","","14,290,907","15,012,953","14,972,995","9,665,379","9,883,350","9,530,606"
"(% Change)","","7.2","5.1","-0.3","3.3","2.3","-3.6"
"(a) Based on the GDP estimates (base year 2010)","","","","","","Sources: Department of Census and Statistics",""
