"","","","","","","","","","","","(No.)"
"","","2019","2020","","2019 (a)","","","2020 (b)","","",""
"","","","","","","","","","","2019 (a)","2020 (b)"
"","","(a)","(b)","Foreign","Local","Total","Foreign","Local","Total","",""
"","BOI  (Under Act No. 4 of 1978)","","","","","","","","","",""
"","Projects Approved","160","155","4,586,993","145,675","4,732,667","283,800","122,527","406.327","32,654","14,221"
"","Under Section 17 (c)","150","154","4,583,193","145,444","4,728,638","282,427","122,527","404,954","32,348","14,101"
"","Under Section 16","10","1","3,800","230","4,030","1,373","-","1,373","306","120"
"","Projects Contracted Under Section 17 (c)","107","122","4,518,594","118,278","4,636,872","131,342","165,858","297,201","24,485","15,856"
"","Realised Investment Under Section 17 (d)(e)","2,004","1,979","2,223,472","1,608,440","3,831,912","2,224,159","1,738,639","3,962,798","521,428","n.a"
"2","Projects in Commercial Operations (d)","2,610","2,651","549,087","851,050","1,400,137","606,527","975,024","1,581,551","425,154","441,936"
"","Under Section 17 (c)","2,061","2,116","523,067","842,023","1,365,090","580,734","966,286","1,547,021","395,760","413,280"
"","","","","","","","","","","",""
"","Under Section 16","549","535","26,020","9,027","35,048","25,793","8,738","34,530","29,394","28,656"
"","Ministry of Industries","","","","","","","","","",""
"","Companies Registered (d)","2,876","3,020","-","-","207,996","-","-","208,934","n.a.","n.a."
"","(a) Revised","","","","","","","","","",""
