"","","7","","","","",""
"","(GNi) and Gdp per capita","","","","","",""
"","","5","","","","",""
"","reflecting 
the  adverse 
impacts 
related 
to","3","","","","",""
"","the  cOVid-19  pandemic,  the  Gdp  at  constant","Per cent
1","","","","",""
"","market  prices 
(constant  prices)  contracted  by","-1","","","","",""
"","3.6 per cent, recording rs. 9,530.6 billion in 2020,","","","","","",""
"","","-3","","","","",""
"2","compared  to  the  growth  of  2.3  per  cent  in  2019.","","","","","",""
"","","-5","","","","",""
"","","","","","","",""
"","Meanwhile,  GDP  at  current  market  prices  (current","-7","","","","",""
"","","","","","","",""
"","prices)  was  estimated  at  Rs.  14,973.0  billion  (US","","2016","2017","2018","2019","2020"
"","","","Agriculture","Industry","Services","GDP",""
"","dollar  80.7  billion) 
in  2020,  which 
is  a  decline  of","","(a) Based on the GDP estimates (base year 2010)","","","Source: Department of Census and Statistics",""
"","0.3  per  cent  compared  to  2019,  where  it  stood  at","","","","","",""
"","","","GNi,  which  is  derived  by  adjusting  Gdp  for","","","",""
"","Rs. 15,013.0 billion (US dollar 84.0 billion). Accordingly,","","","","","",""
"","","","net  primary  income  from  the  rest  of  the  world,","","","",""
"","the GDP implicit deflator increased to 3.4 per cent in","","","","","",""
"","","","recorded  a  marginal  contraction  of  0.1  per  cent","","","",""
"","2020, from 2.7 per cent recorded in 2019.","","","","","",""
