"Table 2.10","","","","",""
"","Composition of Private Consumption Expenditure at Current Market Prices (a)","","","",""
"","","As a Percevetage of Total PCE (%)","","","Growth (%)"
"Category","","","","",""
"","2018 (b)","2019 (b)(c)","2020 (c)","2019 (b)(c)","2020 (c)"
"1.   Food and Non-alcoholic Beverages","29.2","28.0","30.9","2.6","11.5"
"2.   Alcoholic Beverages, Tobacco and Narcotics","3.5","3.6","3.4","9.9","- 4.0"
"3.   Clothing and Footwear","4.1","4.2","3.6","10.1","- 13.2"
"4.   Housing, Water, Electricity, Gas and Other Fuels","10.3","10.2","10.4","6.4","3.5"
"5.   Furnishings, Household Equipment and Routine Household Maintenance","1.1","1.0","1.0","2.8","- 2.1"
"6.   Health","2.7","2.8","2.9","14.0","2.1"
"7.   Transport","23.8","24.2","20.2","9.3","- 15.9"
"8.   Communication","0.9","0.7","0.8","- 11.3","2.5"
"9.   Recreation and Culture","1.7","1.7","1.8","4.9","5.3"
"10. Education","1.2","1.2","1.4","9.8","9.8"
"11. Restaurants and Hotels","4.2","4.0","2.6","0.1","- 34.2"
"12. Miscellaneous Goods and Services","21.8","21.6","21.5","6.4","0.5"
"13. Direct Purchases Abroad by Residents","2.9","2.9","1.4","9.0","- 52.3"
"14. Less: Direct Purchases in Domestic Market by Non-residents","7.3","6.2","1.7","- 9.4","- 72.5"
"Total Private Consumption Expenditure","100.0","100.0","100.0","7.3","1.0"
"(a) Based on the GDP estimates (base year 2010)","","","","Source: Department of Census and Statistics",""
"(b) Revised","","","","",""
"(c) Provisional","","","","",""
