"","CENTRAL BANK OF SRI LANKA | ANNUAL REPORT 2021","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Table 3.2","","",""
"","declined by 37.0 per cent to 2,634 GWh while coal","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Electricity Sector Performance","","",""
"","power generation contracted by 4.1 per cent to 5,519","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Growth Rate (%)",""
"","GWh  during  the  period  under  review.  Meanwhile,","","","","","","","","","","","Item","","2020 (a)   2021 (b)","",""
"","","","","","","","","","","","","","","","2020 (a) 2021 (b)",""
"power","","generation","","","through","","","Non-Conventional","","","","Installed Capacity (MW)","4,265","4,187","1.2","-1.8"
"","","","","","","","","","","","","Hydro (c)","1,383","1,383","-1.1","-"
"","Renewable  Energy  (NCRE)  sources  registered  a","","","","","","","","","","","Fuel Oil (d)","1,268","1,087","-1.1","-14.3"
"","","","","","","","","","","","","Coal","900","900","-","-"
"","significant  growth  of  56.6  per  cent  to  2,922  GWh,","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","NCRE (e)","715","817","12.4","14.3"
"","","","","","","","","","","","","","","","",""
"","largely  driven  by","","","the  addition  of  new  renewable","","","","","","","","Units Generated (GWh)","15,714","16,716","-1.3","6.4"
"","","","","","","","","","","","","Hydro (c)","3,911","5,640","3.4","44.2"
"","","","","","","","","","","","","","","","",""
"","energy plants to the national grid, particularly the 100","","","","","","","","","","","Fuel Oil (d)","4,182","2,634","-16.6","-37.0"
"","","","","","","","","","","","","Coal","5,754","5,519","7.3","-4.1"
"","MW  Mannar  wind  plant.  Accordingly,  the  shares  of","","","","","","","","","","","NCRE (e)","1,866","2,922","5.9","56.6"
"","","","","","","","","","","","","Total Sales by CEB  (GWh)","14,286","15,214","-2.2","6.5"
"","fuel oil, coal, and NCRE power generation in the total","","","","","","","","","","","Domestic and Religious","5,172","5,320","6.3","2.9"
