"","Public Sector Employment","","","Unemployment Rate (Per cent)","",""
"","","","","8.5","",""
"","Percentage Change","","","","",""
"","","","","","7.9",""
"Sector","2021 (a)
2022 (b)","7.6","","","",""
"","","","","7.4","",""
"","2022/ 2021 (b)","","","7.1","",""
"","","","7.0","","",""
"","","","","6.5","","6.5"
"Government","1,181,422
1,181,766
0.0","","","","",""
"","","","","5.5","",""
"State Owned Enterprises","219,838
212,117
-3.5","","","","",""
"","","","","","5.1",""
"","","4.7","","4.8","","4.7"
"","","","","4.4","",""
"Total Public Sector","1,401,260
1,393,883
-0.5","","4.4","4.2","",""
"(a)  Revised","Source: Department of Management","","","","",""
"(b)  Provisional","Services, Ministry of Finance,","","","4.0","",""
"","","","","","3.7","3.7"
"","Economic Stabilization and","","","3.3","",""
"","","3.0","","3.0","",""
"","National Policies","","2.9","2.9","",""
