"","Gross Domestic Product by Industrial Origin at Constant (2015) Prices (a)(b)","","","","","","","",""
"","","Growth","","","Contribution to Growth","","","As a Percentage of GDP",""
"Economic Activity","","(%)","","","(%)","","","(%)",""
"","2021 (c)","","2022","2021 (c)","","2022","2021 (c)","","2022"
"Agriculture, Forestry and Fishing","0.9","","- 4.6","0.1","","- 0.3","7.3","","7.5"
"Growing of cereals (except rice)","2.8","","- 21.6","0.00","","- 0.04","0.2","","0.1"
"Growing of rice","- 11.8","","- 13.0","- 0.11","","- 0.11","0.8","","0.8"
"Growing of vegetables","- 1.7","","- 8.4","- 0.02","","- 0.07","0.8","","0.8"
"Growing of sugar cane, tobacco and other non-perennial crops","- 7.3","","1.8","- 0.00","","0.00","0.0","","0.0"
"Growing of fruits","- 10.8","","0.5","- 0.07","","0.00","0.6","","0.6"
"Growing of oleaginous fruits (coconut, king coconut, oil palm)","11.2","","8.6","0.08","","0.07","0.8","","0.9"
"Growing of tea (green leaves)","8.5","","- 15.9","0.05","","- 0.09","0.6","","0.5"
"Growing of other beverage crops (coffee, cocoa etc.)","- 16.2","","- 9.1","- 0.00","","- 0.00","0.0","","0.0"
"Growing of spices, aromatic, drug and pharmaceutical crops","4.5","","3.3","0.03","","0.02","0.8","","0.8"
"Growing of rubber","6.2","","- 6.7","0.01","","- 0.01","0.2","","0.2"
"Growing of other perennial crops","- 9.5","","2.0","- 0.02","","0.00","0.2","","0.2"
"Animal production","8.2","","- 12.9","0.06","","- 0.09","0.7","","0.7"
"Plant propagation","30.8","","8.3","0.00","","0.00","0.0","","0.0"
"Agricultural supporting activities","14.2","","14.7","0.03","","0.03","0.2","","0.3"
"Forestry and logging","4.4","","16.1","0.01","","0.05","0.3","","0.4"
"Fishing","1.5","","- 10.5","0.02","","- 0.11","1.1","","1.0"
"Industries","5.7","","- 16.0","1.7","","- 4.8","30.2","","27.5"
"Mining and quarrying","1.4","","- 31.0","0.03","","- 0.68","2.2","","1.7"
"Manufacturing","7.4","","- 12.6","1.23","","- 2.18","17.2","","16.3"
"Electricity, gas, steam and air conditioning supply","4.9","","- 5.9","0.07","","- 0.09","1.4","","1.5"
"Water collection, treatment and supply","- 17.8","","0.6","- 0.02","","0.00","0.1","","0.1"
"Sewerage, waste treatment and disposal activities","- 3.3","","3.9","- 0.01","","0.01","0.2","","0.2"
"Construction","4.4","","- 20.9","0.39","","- 1.88","9.0","","7.7"
"Services","3.5","","- 2.0","2.0","","- 1.1","56.9","","60.5"
"Wholesale and retail trade, transportation and storage, and","","","","","","","","",""
"","1.3","","2.6","0.31","","0.62","24.2","","26.9"
"accommodation and food service activities","","","","","","","","",""
"Information and communication","18.0","","- 1.4","0.51","","- 0.05","3.2","","3.5"
"Financial, insurance and real estate activities including ownership of","","","","","","","","",""
"","7.5","","- 15.4","0.76","","- 1.63","10.5","","9.7"
"dwellings","","","","","","","","",""
"Professional services and other personal service activities","1.8","","- 0.6","0.18","","- 0.06","9.9","","10.7"
"Public administration, defence, education, human health and social work","","","","","","","","",""
"activities","2.2","","- 0.3","0.20","","- 0.03","9.0","","9.7"
"Equals Gross Value Added (GVA) at Basic Price","4.0","","- 6.7","3.7","","- 6.3","94.4","","95.5"
"Taxes less subsidies on products","- 3.6","","- 27.1","- 0.2","","- 1.5","5.6","","4.5"
"Equals Gross Domestic Product (GDP) at  Market Price","3.5","","- 7.8","3.5","","- 7.8","100.0","","100.0"
"Net primary income from rest of the world","12.6","","- 3.5","","","","","",""
"Gross National Income at Market Price","4.0","","- 8.1","","","","","",""
"(a) Based on the GDP estimates (base year 2015)","","","","","","Source : Department of Census and Statistics","","",""
