"","","","Figure 1.6","",""
"domestic 
foreign  exchange  market 
to 
facilitate","","","","",""
"","","Exchange Rate and Central Bank Intervention","","",""
"the  importation  of  essential  goods.  As  a  result,","","","in the Domestic Foreign Exchange Market","",""
"the GOR declined to US dollars 3.1 billion by end","","","","",""
"","400","","","","320"
"","300","","","",""
"2021, compared to US dollars 5.7 billion recorded","200","","","","300"
"","","","","","280"
"","100","","","",""
"","","","","",""
"as of end 2020.  Accordingly,  the overall balance","0","","","","260"
"","US$ million","","","","240"
"","-100","","","","Rs./US$"
"","","","","",""
"of the BOP recorded a significant deficit of around","-200","","","","220"
"","","","","","200"
"","-300","","","",""
"","","","","",""
"US  dollars  4.0  billion 
in  2021.  Meanwhile, 
the","-400","","","","180"
"","-500","","","","160"
"","","","","",""
"total  external  debt  of 
the  Government,  based","-600","Jan-18","Mar-18
May-18
Jul-18
Sep-18
Nov-18
Jan-19
Mar-19
May-19
Jul-19
Sep-19
Nov-19
Jan-20
Mar-20
May-20
Jul-20
Sep-20
Nov-20
Jan-21
Mar-21
May-21
Jul-21
Sep-21
Nov-21
Jan-22","Mar-22","140"
