"","","","","","","","","Foreign Investment","","","","","Total Investment","",""
"","","","Number of Projects","","","","","","","","","","","",""
"","","","","","","","","(Rs. million)","","","","","(Rs. million)","",""
"Category","","","","","","","","","","","","","","",""
"","2017","2018","2019","2020","2021","2017","2018","2019","2020","2021","2017","2018","2019","2020","2021"
"","","","","(b)","(c)","","","","(b)","(c)","","","","(b)","(c)"
"Food, Beverages and Tobacco Products","125","130","125","132","119","62,260","65,217","65,582","70,994","72,436","113,210","133,081","141,002","161,698","168,064"
"Textile, Wearing Apparel and Leather Products","280","272","363","338","330","92,894","125,172","144,889","156,300","176,713","175,981","237,608","305,536","328,636","356,986"
"Wood and Wood Products","23","20","19","18","18","10,370","14,656","16,710","18,920","20,835","12,300","19,777","18,842","22,069","23,989"
"Paper Products, Publishing and Printing","27","24","24","23","22","11,311","14,025","11,385","12,818","13,040","15,174","17,771","15,233","16,640","17,101"
"Chemical, Petroleum, Coal,","127","117","113","113","109","105,132","124,436","147,948","170,683","182,725","134,671","185,444","215,322","249,723","280,036"
"Rubber and Plastic Products","","","","","","","","","","","","","","",""
"Non-metallic Mineral Products","63","61","60","59","59","28,036","30,336","29,849","31,600","32,521","75,756","104,136","124,937","167,430","234,331"
"Fabricated Metal Products, Machinery and","","","","","","","","","","","","","","",""
"","79","77","78","77","77","30,037","31,275","33,409","34,148","35,460","48,842","54,115","68,916","71,062","73,373"
"Transport Equipment","","","","","","","","","","","","","","",""
"Manufactured Products (n.e.s.)","155","160","160","157","153","38,056","44,754","49,019","44,897","49,465","55,693","65,562","70,595","66,398","75,158"
"Services","1,029","1,093","1,062","1,026","988","1,223,708","1,623,498","1,724,682","1,564,795","1,675,796","1,939,786","2,553,573","2,871,529","2,833,778","3,051,357"
"Total","1,908  1,954","","2,004","1,943","1,875","1,601,805","2,073,370","2,223,472","2,105,156 2,258,989","","2,571,413","3,371,066","3,831,912","","3,917,434 4,280,395"
