"","Production of Tea, Rubber, Coconut and Other Export Agriculture Crops","","","","","","","","","",""
"Crop","Unit","2012","2013","2014","2015","2016","2017","2018","2019","","2020 (a) 2021 (b)"
"1.  Tea (c)","","","","","","","","","","",""
"Low Grown","kg mn","202.1","208.2","210.0","202.4","183.6","197.4","191.8","189.9","169.9","183.2"
"Medium Grown","“","52.6","52.6","49.2","51.0","44.5","45.7","47.1","47.2","46.7","51.0"
"High Grown","“","73.6","79.2","78.9","75.4","64.4","64.0","65.0","63.1","62.2","65.3"
"Total","“","328.4","340.0","338.0","328.8","292.6","307.1","303.9","300.1","278.9","299.5"
"2.  Rubber","","","","","","","","","","",""
"Sheet Rubber","kg mn","59.2","62.8","48.5","44.4","39.8","41.5","41.3","37.4","39.1","38.4"
"Crepe Rubber","“","39.7","20.2","15.3","11.1","15.0","11.5","14.5","14.4","13.0","13.9"
"other","“","53.1","47.4","34.8","33.1","24.3","30.1","26.8","22.9","26.1","24.5"
"Total","“","152.0","130.4","98.6","88.6","79.1","83.1","82.6","74.7","78.2","76.9"
"3.  Coconut","","","","","","","","","","",""
"Desiccated Coconut (d)","nuts mn","325","228","393","326","399","266","222","387","226","298"
"Coconut oil (d)","“","649","349","318","396","348","67","63","252","48","211"
"Copra (d)","“","3","0.4","25","3","6","3","3","22","6","5"
"fresh Nut","“","19","21","33","13","30","10","1","21","16","15"
"Coconut Cream, Milk Powder","“","112","121","248","270","246","274","366","420","462","544"
"and Milk (d)","","","","","","","","","","",""
"Domestic Nut Consumption","“","1,873","1,826","1,830","1,874","1,787","1,656","1,794","1,807","1,826","1,833"
"Total (e)","“","2,940","2,513","2,870","3,056","3,011","2,450","2,623","3,086","2,792","3,120"
"4.  Other Export Crops","","","","","","","","","","",""
"Coffee","mt","3,000","3,000","2,674","2,639","2,824","2,496","2,294","2,287","2,345","2,439"
"Cocoa","“","513","515","500","457","650","471","413","548","612","658"
"Cinnamon","“","17,165","17,500","17,600","17,707","18,945","22,341","20,398","20,352","20,866","22,872"
"Pepper","“","18,604","28,000","18,660","28,177","18,476","29,546","22,551","22,156","23,970","25,047"
"Clove","“","4,009","6,190","3,225","5,253","1,823","6,413","3,360","4,786","3,512","3,837"
"Cardamom","“","80","50","87","91","120","113","86","69","86","104"
"Nutmeg and Mace","“","2,002","2,545","2,960","2,750","2,723","3,545","4,180","5,119","2,751","2,818"
"Cashew Kernel","“","2,000","2,072","2,400","1,600","1,800","1,600","1,602","2,400","2,450","1,225"
"(a)  Revised","","","","","","","","Sources:  Sri Lanka Tea Board","","",""
