"","","","","","","Page"
"8.10   Distribution of Branches of LFCs and SLCs Sector by Province","","","…","…","…","244"
"8.11","Composition of  Assets and Liabilities of the LFCs and SLCs Sector","","…","…","...","245"
"8.12","Composition of Deposits of the LFCs Sector","…","…","…","...","245"
"8.13","Composition of Income and Expenses of the LFCs and SLCs Sector","","…","…","...","245"
"8.14","Performance of UT Sector","…","…","…","...","250"
"8.15","Performance of the Insurance Sector","…","…","…","...","251"
"8.16","Five Year Performance Summary of the EPF","…","…","…","...","253"
"8.17","Performance of the ETF","...","…","...","…","254"
"8.18","Summary of Money Market Transactions and OMOs","...","…","...","…","255"
"8.19","Yield Rates of Government Securities","...","…","...","…","257"
"8.20","Primary Market Weighted Average Yield Rates of Treasury Bills  …","","...","…","…","258"
"8.21","Transactions Through Payment Systems","...","…","...","…","265"
"8.22","Summary of Transactions on Foreign Currency Accounts","...","…","...","…","272"
"8.23","","Export Proceeds Repatriation into Sri Lanka and Sri Lanka Rupee (LKR) Conversions","","...","…","272"
"8.24","","Remittances on Capital Transaction Rupee Accounts (CTRAs) and Foreign Exchange Sales and","","","",""
"","Purchases against/into Sri Lanka Rupees","...","…","...","…","272"
"8.25","Performance of Restricted Dealers","...","…","...","…","273"
