"","","","","","US$ million"
"Sector","2017","2018","2019","2020","2021 (b)"
"Manufacturing","347.6","291.5","319.5","191.8","223.1"
"Food, Beverages and Tobacco Products","62.6","22.3","26.1","6.6","8.7"
"Textile, Wearing Apparel and Leather Products","78.2","90.6","104.9","78.1","101.6"
"Wood and Wood Products","2.3","4.9","7.2","9.0","9.5"
"Paper, Paper Products, Printing and Publishing","7.9","9.0","1.3","1.2","1.1"
"Chemicals, Petroleum, Coal and Rubber Products","105.0","97.3","108.4","61.2","68.4"
"Non-metallic Mineral Products","28.1","21.0","7.5","2.6","4.6"
"Fabricated Metal, Machinery and Transport Equipment","9.0","7.8","9.5","3.4","6.5"
"Manufactured Products (n.e.s.)","54.5","38.6","54.6","29.7","22.7"
"Agriculture","1.4","0.5","1.3","0.8","0.5"
"Services","317.8","301.3","224.2","111.0","123.2"
"Hotels and Restaurants","252.6","223.4","153.9","66.0","69.8"
"IT and BPO","25.0","58.7","40.0","26.4","43.9"
"Other Services","40.1","19.2","30.3","18.6","9.4"
"Infrastructure","1,043.5","1,773.7","643.7","383.4","433.5"
"Housing, Property Development and Shop Office","540.6","397.8","455.3","256.1","201.5"
"Telephone and Telecommunication Network","209.0","522.2","138.1","117.6","223.2"
"Power Generation, Fuel, Gas, Petroleum and Other","1.1","3.7","3.1","1.5","1.4"
"Port Container Terminals","292.8","850.0","47.2","8.2","7.4"
"Total","1,710.3","2,366.9","1,188.7","687.0","780.2"
