"","Voted Expenditure of the Government of Sri Lanka  -  2021","","","","",""
"","","","","","","Rs. million"
"","","Recurrent","","","Capital",""
"","","","% of Under","","","% of Under"
"Ministry (a)","Revised","Actual","","Revised","Actual",""
"","","","(-) / Over(+)","","","(-) / Over(+)"
"","Estimates (b)","Expenditure","","Estimates (b)","Expenditure",""
"","","","Expenditure","","","Expenditure"
"46 State Ministry of Rural Housing, Construction and Building Material","","","","","",""
"","1,251","1,020","-18.5","17,462","13,197","-24.4"
"Industries","","","","","",""
"47 State Ministry of Indigenous Medicine Promotion, Rural and Ayurvedic","","","","","",""
"","2,389","2,214","-7.3","782","436","-44.2"
"Hospitals Development and Community Health","","","","","",""
"48 State Ministry of Estate Housing and Community Infrastructure","451","450","-0.1","2,357","1,000","-57.6"
"49 State Ministry of Prison Reforms and Prisoners' Rehabilitation","8,745","7,218","-17.5","1,791","1,027","-42.6"
"50 State Ministry of Regional Co-operation","147","75","-48.8","13","1","-95.3"
"51 State Ministry of Provincial Councils and Local Government","285,415","285,062","-0.1","73,624","49,354","-33.0"
"52 State Ministry of Skills Development, Vocational Education, Research and","","","","","",""
"","9,438","7,524","-20.3","4,440","3,011","-32.2"
"Innovation","","","","","",""
"53 State Ministry of Dhamma Schools, Pirivenas and Bhikkhu Education","4,655","4,723","1.5","276","226","-18.0"
"54 State Ministry of Production, Supply and Regulation of","","","","","",""
"","119,069","74,378","-37.5","750","69,703","9,193.8"
"Pharmaceuticals","","","","","",""
"55 State Ministry of Wildlife Protection, Adoption of Safety Measures","","","","","",""
"Including the Construction of Electrical Fences and Trenches and","4,123","3,857","-6.5","5,295","2,552","-51.8"
"Reforestation and Forest Resource Development","","","","","",""
"56 State Ministry of Paddy and Grains, Organic Food, Vegetable, Fruits,","","","","","",""
"Chilies, Onion and Potato Cultivation Promotion, Seed Production","8,840","8,641","-2.3","9,894","5,773","-41.6"
"and Advanced Technology Agriculture","","","","","",""
"57 State Ministry of Production and Supply of Fertiliser and Regulation of","","","","","",""
"","35,443","21,587","-39.1","111","40","-64.0"
"Chemical Fertiliser and Insecticide Use","","","","","",""
"58 State Ministry of Livestock Farm Promotion and Dairy and Egg Related","","","","","",""
"","984","919","-6.6","1,855","1,170","-36.9"
"Industries","","","","","",""
"59 State Ministry of Canals and Common Infrastructure Development in","","","","","",""
"","2,798","2,772","-0.9","4,457","3,884","-12.9"
"Settlements in Mahaweli Zones","","","","","",""
"60 State Ministry of Tanks, Reservoirs and Irrigation Development Related","","","","","",""
"","98","76","-22.2","3,016","2,581","-14.4"
"to Rural Paddy Fields","","","","","",""
"61 State Ministry of Land Management, State Enterprises Land and","","","","","",""
"","1,053","948","-10.1","699","355","-49.1"
"Property Development","","","","","",""
"62 State Ministry of Coconut, Kithul and Palmyrah Cultivation","","","","","",""
"Promotion and Related Industrial Product Manufacturing and Export","1,235","1,140","-7.7","2,318","1,568","-32.3"
"Diversification","","","","","",""
"63 State Ministry of Development of Minor Crops Plantation Including","","","","","",""
"Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related","1,289","1,207","-6.3","4,359","4,006","-8.1"
"Industries and Export Promotion","","","","","",""
"64 State Ministry of Rural and Divisional Drinking Water Supply Projects","","","","","",""
"","310","300","-3.1","4,105","1,723","-58.0"
"Development","","","","","",""
"65 State Ministry of Warehouse Facilities, Container Yards, Ports Supply","","","","","",""
"","85","47","-44.5","1,173","158","-86.5"
"Facilities and Boats and Shipping Industry Development","","","","","",""
"66 State Ministry of Rural Roads and Other Infrastructure","76","73","-4.1","30,200","1,874","-93.8"
"67 State Ministry of Vehicle Regulation, Bus Transport Services and Train","","","","","",""
"","13,775","12,713","-7.7","3,920","2,155","-45.0"
"Compartments and Motor Car Industry","","","","","",""
"68 State Ministry of Aviation and Export Zones Development","170","103","-39.3","1,916","866","-54.8"
"69 State Ministry of Cooperative Services, Marketing Development and","","","","","",""
"","844","767","-9.2","143","95","-33.6"
"Consumer Protection","","","","","",""
"70 State Ministry of Batik, Handloom and Local Apparel Products","538","475","-11.7","803","532","-33.7"
"71 State Ministry of Gem and Jewellery Related Industries","207","124","-40.2","87","33","-62.4"
"72 State Ministry of Primary Health Care, Epidemics and COVID Disease","","","","","",""
"","12,211","12,172","-0.3","373","92","-75.4"
"Control","","","","","",""
"Total","2,841,672","2,757,343","-3.0","2,424,080","2,121,852","-12.5"
"(a) The list of Ministries is based on approved Budget Estimates for 2021","","","","","","Source:  Ministry of Finance"
