"","2017","2018","2019","2020","2021"
"Category","","","","",""
"","December","December","December","December (a)","December (b)"
"1. Capital Adequacy","","","","",""
"1.1 Core Capital to Risk Weighted Assets (CCR) (c)","33.1","23.6","27.2","33.3","29.4"
"1.2 Capital Base to Risk Weighted Assets (RWCAR) (d)","34.9","23.6","27.9","34.1","30.2"
"1.3 Capital Funds to Total Assets (Net)","22.0","30.4","36.5","45.7","40.2"
"1.4 Borrowings to Equity (times)","3.1","2.0","1.6","1.1","1.4"
"2. Asset Quality","","","","",""
"2.1 Gross Non Performing Advances to Total Advances","2.1","3.7","4.9","13.6","18.5"
"2.2 Net Non Performing Advances to Total Advances (e)","0.4","2.0","1.5","5.2","8.4"
"2.3 Provision made against Total Advances","1.7","1.7","3.4","8.1","9.8"
"2.4 Provision Coverage Ratio (Specific Provisions to NPA)","78.5","46.1","45.5","32.5","32.4"
"2.5 Provision Coverage Ratio (Total Provisions to NPA) (f)","80.8","46.1","69.2","61.3","54.6"
"3. Liquidity","","","","",""
"3.1 Regulatory Liquid Assets to Total Assets","8.8","7.6","6.4","4.7","12.0"
"3.2 Regulatory Liquid Assets to Borrowings","13.2","12.5","11.7","10.8","24.8"
"4. Earnings (g)","","","","",""
"4.1 Return on Assets (h)","6.1","6.0","6.3","5.5","8.6"
"4.2 Return on Equity (i)","17.2","12.0","10.0","6.1","11.4"
"4.3 Interest Income to Interest Expenses","256.0","287.7","295.3","404.2","598.1"
"4.4 Net Interest Margin (NIM) (j)","12.8","10.5","14.4","15.1","14.4"
"4.5 Efficiency Ratio (k)","56.1","46.8","52.9","55.0","42.7"
"4.6 Cost to Income Ratio","73.6","66.4","73.5","74.5","57.1"
"5. Assets/Funding Structure (as a % of Total Net Assets)","","","","",""
"5.1 Equity","22.0","30.4","36.5","45.7","40.2"
"5.2 Borrowings","68.0","62.2","56.9","48.4","54.4"
"5.3 Loans and Advances","74.1","86.2","86.3","87.9","83.6"
"5.4 Investments","0.9","1.2","1.2","1.1","0.9"
