"6. FISCAL POLICY AND GOVERNMENT FINANCE","","","","","",""
"6.1","Overview","…","…","…","…","177"
"6.2","Fiscal Policy Measures","…","…","…","…","178"
"6.3","Government Budgetary Operations","…","…","…","…","184"
"","Revenue and Grants","…","…","…","…","184"
"","Revenue","…","…","…","…","184"
"","Grants","…","…","…","…","187"
"","Expenditure and Net Lending","…","…","…","…","187"
"","Key Fiscal Balances and Financing the Budget Deficit","…","…","…","…","189"
"6.4","Government Debt and Debt Service Payments","…","…","…","…","190"
"","Central Government Debt","…","…","…","…","190"
"","Central Government Debt Service Payments","…","…","…","…","194"
"","Outstanding Public Debt","…","…","…","…","196"
"6.5","Budgetary Operations in Sub National Governments","...","…","…","…","202"
"","","Policy Directions and Measures taken by Sub National Governments","…","…","…","202"
"","Budgetary Operations in Provincial Councils","…","…","…","…","203"
