"","","","","","","","","","","","","","","","","","","","","","","","","Rs. million"
"","","","","","","","","Notes (b)","","","","","","","","","Coins","","","","","","",""
"","","Currency","","","","","","","","","","","","","","","","","","","","","",""
"","End of","","","","","","","","","","","Total","Rs.","","","","","","","","","","","Total"
"","","Issued","Rs.","Rs.","Rs.","Rs.","Rs.","Rs.","Rs.","Rs.","Rs.","","","Rs.","Rs.","Rs.","Re.","Cts.","Cts.","Cts.","Cts.","Cts.","Ct.",""
"","Period","","","","","","","","","","","Notes","20","","","","","","","","","","","Coins"
"","","(a)","5,000","2,000","1,000","500","200","100","50","20","10","","","10","5","2","1","50","25","10","5","2","1",""
"","","","","","","","","","","","","(c)","(d)","","","","","","","","","","","(e)"
"2017","","598,054","360,357","10,526","141,832","38,154","130","21,600","5,561","5,758","1,340","585,328","-","5,402","4,102","1,358","898","186","121","39","23","6","4","12,726"
"2018","","640,943","409,762","5,332","136,788","40,093","128","22,613","5,457","5,607","1,271","627,120","-","6,101","4,408","1,414","930","185","121","39","23","6","4","13,822"
"2019","","677,967","446,313","4,044","134,368","41,697","128","23,663","5,721","5,877","1,260","663,139","-","6,721","4,696","1,477","964","185","121","39","23","6","4","14,828"
"2020","","834,808","582,163","3,327","150,266","45,523","127","24,351","5,955","6,264","1,253","819,298","-","7,123","4,902","1,524","990","185","121","39","23","6","4","15,509"
"2021","","1,005,099","729,384","2,951","160,771","52,284","126","27,472","7,087","7,235","1,249","988,628","41","7,674","5,168","1,588","1,023","185","121","39","23","6","4","16,472"
"2020","January","668,042","438,982","3,787","132,286","41,063","128","23,896","5,771","5,904","1,259","653,146","-","6,764","4,715","1,481","966","185","121","39","23","6","4","14,896"
"","February","683,737","452,005","3,721","134,167","41,750","128","24,002","5,762","5,905","1,259","668,768","-","6,807","4,738","1,486","968","185","121","39","23","6","4","14,969"
"","March","805,190","540,461","3,695","159,052","47,947","128","25,478","6,023","6,038","1,258","790,149","-","6,851","4,760","1,490","970","185","121","39","23","6","4","15,041"
"","April","821,170","539,517","3,677","173,078","50,168","128","26,141","6,036","6,053","1,258","806,127","-","6,852","4,761","1,490","970","185","121","39","23","6","4","15,043"
"","May","801,184","528,645","3,661","164,609","49,485","128","26,106","6,054","6,097","1,258","786,113","-","6,867","4,770","1,493","971","185","121","39","23","6","4","15,071"
"","June","768,941","511,096","3,592","153,130","46,855","128","25,534","6,029","6,139","1,257","753,829","-","6,890","4,784","1,496","973","185","121","39","23","6","4","15,112"
"","July","768,385","519,274","3,525","147,045","44,937","127","24,816","5,974","6,169","1,256","753,190","-","6,941","4,807","1,501","977","185","121","39","23","6","4","15,195"
"","August","767,991","523,613","3,477","144,325","43,447","127","24,320","5,916","6,176","1,255","752,726","-","6,982","4,827","1,506","980","185","121","39","23","6","4","15,264"
"","September","775,334","532,295","3,391","143,236","43,337","127","24,184","5,901","6,190","1,254","759,985","-","7,031","4,854","1,512","983","185","121","39","23","6","4","15,349"
"","October","810,746","560,033","3,383","148,726","45,137","127","24,432","5,956","6,228","1,254","795,346","-","7,061","4,869","1,515","985","185","121","39","23","6","4","15,400"
"","November","814,897","564,074","3,379","148,946","45,209","127","24,212","5,969","6,220","1,254","799,459","-","7,082","4,879","1,519","987","185","121","39","23","6","4","15,438"
"","December","834,808","582,163","3,327","150,266","45,523","127","24,351","5,955","6,264","1,253","819,298","-","7,123","4,902","1,524","990","185","121","39","23","6","4","15,509"
"2021","January","844,768","588,708","3,293","151,812","46,715","127","24,793","6,088","6,346","1,253","829,204","-","7,156","4,919","1,528","992","185","121","39","23","6","4","15,564"
"","February","852,784","597,615","3,283","150,777","46,414","127","25,074","6,140","6,392","1,253","837,145","-","7,199","4,942","1,533","995","185","121","39","23","6","4","15,639"
"","March","900,618","635,561","3,241","156,128","49,173","127","26,078","6,527","6,632","1,252","884,787","27","7,302","4,988","1,543","1,000","185","121","39","23","6","4","15,831"
"","April","911,082","637,922","3,224","160,226","51,469","127","27,261","6,777","6,817","1,252","895,143","29","7,361","5,024","1,551","1,004","185","121","39","23","6","4","15,939"
"","May","920,335","648,494","3,224","159,088","51,067","127","27,389","6,817","6,846","1,252","904,373","29","7,374","5,030","1,553","1,005","185","121","39","23","6","4","15,962"
"","June","950,083","672,455","3,208","163,670","52,628","127","27,103","6,749","6,840","1,252","934,100","32","7,385","5,036","1,554","1,006","185","121","39","23","6","4","15,983"
"","July","942,804","668,049","3,119","161,555","51,789","127","27,123","6,814","6,861","1,251","926,757","33","7,418","5,057","1,559","1,008","185","121","39","23","6","4","16,047"
"","August","967,151","693,167","3,101","161,210","51,589","127","26,843","6,802","6,879","1,251","951,038","34","7,454","5,077","1,565","1,011","185","121","39","23","6","4","16,114"
"","September","996,380","714,909","3,073","167,217","52,998","127","26,861","6,820","6,895","1,251","980,219","35","7,482","5,091","1,568","1,012","185","121","39","23","6","4","16,161"
"","October","987,573","707,350","3,017","165,405","53,182","127","27,047","6,908","6,973","1,250","971,326","36","7,540","5,108","1,574","1,015","185","121","39","23","6","4","16,247"
"","November","969,394","696,168","2,982","158,466","52,611","126","27,252","6,992","7,109","1,250","953,027","39","7,608","5,143","1,581","1,019","185","121","39","23","6","4","16,367"
"","December","1,005,099","729,384","2,951","160,771","52,284","126","27,472","7,087","7,235","1,249","988,628","41","7,674","5,168","1,588","1,023","185","121","39","23","6","4","16,472"
"(a)  Pursuant to Section 51 of the Monetary Law Act, the Central Bank’s holdings of notes and coins are not considered as part of its currency issue.","","","","","","","","","","","","","","","","","","","","","Source: Central Bank of Sri Lanka","","",""
