"","","","Extent Cultivated (hectares)","","","","","Production (mt ’000)","","","","Estimated Average Yield (mt/hectare)","","",""
"Crop","","","","","","","","","","","","","","",""
"","2017","2018","2019","2020 (a)","2021 (b)","2017","2018","2019","2020 (a)","2021 (b)","2017","2018","2019","2020 (a)","2021(b)"
"Big onions","3,026","1,448","924","2,305","3,929","53.6","28.0","18.6","43.0","65.9","17.7","19.4","20.1","18.7","16.8"
"Black Gram","8,089","12,976","5,302","8,812","13,675","7.3","11.9","4.9","9.6","14.4","0.9","0.9","0.9","1.1","1.1"
"Dried Chillies (c)","10,937","13,553","10,981","13,580","12,301","13.0","19.8","15.1","19.8","17.1","1.2","1.5","1.4","1.5","1.4"
"Cowpea","6,807","9,499","7,196","11,518","10,431","8.6","11.2","8.1","13.2","11.9","1.3","1.2","1.1","1.1","1.1"
"Gingelly (Sesame)","9,065","11,873","6,035","11,654","17,228","7.8","8.6","6.1","8.2","12.0","0.9","0.7","1.0","0.7","0.7"
"Green Gram","7,371","8,615","6,156","10,889","17,841","9.4","9.9","7.4","13.5","18.9","1.3","1.1","1.2","1.2","1.1"
"Ground Nuts","12,639","15,752","14,527","19,508","18,537","22.5","27.6","26.9","38.5","36.9","1.8","1.8","1.9","2.0","2.0"
"finger Millet (Kurakkan)","4,205","6,770","4,192","4,570","6,138","5.6","8.1","5.5","6.2","8.1","1.3","1.2","1.3","1.4","1.3"
"Maize","52,544","70,895","63,450","78,249","106,757","195.7","270.0","245.6","313.5","472.4","3.7","3.8","3.9","4.0","4.4"
"Potatoes","4,457","5,174","5,610","3,565","4,623","73.4","88.9","101.6","65.1","75.9","16.5","17.2","18.1","18.3","16.4"
"Red onions","4,167","4,044","5,333","4,623","4,051","57.7","61.1","58.2","65.9","53.8","13.9","15.1","10.9","14.2","13.3"
"Soya Beans","8,316","1,511","914","3,538","1,915","14.4","2.5","2.2","7.9","3.8","1.7","1.7","2.4","2.2","2.0"
"(a)  Revised","","","","","","","","","","","","","Source: Department of Census and Statistics","",""
