"","KEY ECONOMIC INDICATORS (Contd.)","","","","","",""
"","2015","2016","2017","2018","2019","2020","2021 (a)"
"Current account balance (per cent of GDP) (h)(n)","-2.3","-2.1","-2.6","-3.2","-2.2","-1.5 (d)","-4.0"
"Total foreign assets (months of the same year imports) (o)","5.9","5.3","6.0","5.2","6.3","6.4","3.6"
"Gross official reserves (months of the same year imports)","4.6","3.8","4.6","3.7","4.6","4.2","1.8"
"Overall debt service ratio (p)","","","","","","",""
"As a percentage of export of goods and services","28.2","25.6","23.9","28.9","29.7","35.2 (d)","30.0"
"As a percentage of current receipts","19.8","18.0","17.3","21.3","21.8","22.6 (d)","21.8"
"Total external debt (per cent of GDP) (h)(n)","55.7","56.3","59.0","59.5","65.3","60.5 (d)","60.0"
"EXCHANGE RATES","","","","","","",""
"Annual average","","","","","","",""
"Rs/US$","135.94","145.60","152.46","162.54","178.78","185.52","198.88"
"Rs/SDR (q)","190.16","202.39","211.49","229.90","246.97","258.61","283.18"
"NEER (2017 = 100) (24 - currency basket) (r)","109.46","104.91","100.00","94.05","88.17","85.93","78.64"
"REER  (2017 = 100) (24 - currency basket) (r)(s)","103.01","100.55","100.00","95.45","90.42","91.52 (d)","86.13"
"Year end","","","","","","",""
"Rs/US$","144.06","149.80","152.85","182.75","181.63","186.41","200.43"
"Rs/SDR (q)","199.63","201.38","217.69","253.51","251.17","268.48","280.53"
"GOVERNMENT FINANCE (per cent of GDP) (h)(t)(u)","","","","","","",""
"Revenue and grants","13.3","14.1","13.8","13.5","12.7","9.1","8.7"
"Revenue","13.3","14.1","13.7","13.4","12.6","9.1","8.7"
"o/w Tax revenue","12.4","12.2","12.5","12.0","11.6","8.1","7.7"
"Grants","0.1","0.1","0.1","0.1","0.1","0.04","0.04"
"Expenditure and net lending","20.9","19.5","19.3","18.8","22.3","20.2","21.0"
"Recurrent expenditure","15.5","14.7","14.5","14.6","16.2","17.0","16.3"
"Capital expenditure and net lending","5.4","4.8","4.8","4.2","6.1","3.3","4.6"
"Current account balance","-2.3","-0.6","-0.7","-1.2","-3.6","-7.9","-7.7"
"Primary balance","-2.9","-0.2","0.02","0.6","-3.6","-4.6","-6.0"
"Overall fiscal balance","-7.6","-5.3","-5.5","-5.3","-9.6","-11.1","-12.2"
"Deficit financing","7.6","5.3","5.5","5.3","9.6","11.1","12.2"
"Foreign","2.2","3.3","3.3","2.3","3.6","-0.6","-0.1"
"Domestic","5.4","2.1","2.2","3.1","6.0","11.7","12.3"
"Central government debt (v)","78.5","79.0","77.9","84.2","86.9","100.6","104.6"
"Foreign","32.4","33.7","35.4","41.7","41.3","40.3","38.6"
"Domestic (w)","46.2","45.3","42.5","42.5","45.5","60.3","66.0"
