"","","","FDI inflows","","","","","Stock Position","",""
"Country","","","","","","","","","",""
"","2017","2018","2019","2020 (a)","2021 (b)","2017","2018","2019","2020 (a)","2021 (b)"
"Singapore","203","145","117","35","11","903","1,030","1,145","1,406","4,163"
"China","456","872","46","15","23","1,191","2,128","2,173","2,188","2,250"
"India","180","177","120","77","142","1,179","1,563","1,688","1,803","2,227"
"Netherlands","45","56","16","33","100","1,600","1,774","1,593","1,497","1,363"
"Hong Kong","125","19","78","24","39","544","951","1,031","1,067","1,208"
"Malaysia","-1","23","45","35","28","1,103","967","1,083","1,044","1,074"
"United Kingdom","76","64","48","33","61","662","662","686","746","905"
"British Virgin Islands","2","24","8","7","7","244","365","382","414","575"
"United Arab Emirates","34","50","20","12","2","615","368","397","418","482"
"Mauritius","20","109","-2","12","13","335","443","441","447","480"
"Switzerland","17","22","6","7","5","589","543","456","436","438"
"Canada","9","13","89","12","24","218","230","318","325","369"
"United States of America","23","18","20","13","18","298","287","258","274","316"
"Italy","20","-12","32","42","46","180","168","200","243","301"
"Japan","48","-64","-4","3","2","333","234","238","258","292"
"Australia","39","21","26","23","17","136","157","185","212","262"
"Sweden","25","32","15","8","8","80","112","127","141","195"
"Germany","6","6","5","2","3","79","79","90","99","150"
"Belgium","7","7","10","3","5","53","61","72","81","134"
"Korea","1","6","1","…","2","78","83","84","86","104"
"Taiwan","…","5","6","6","5","13","21","27","34","42"
"Norway","-2","…","1","…","…","26","26","27","28","33"
"France","…","1","…","…","1","21","21","22","23","30"
"Thailand","-1","-2","…","-","-","24","21","21","21","22"
"Other","40","23","39","32","38","249","281","323","365","477"
"Total","1,373","1,614","743","434","598","10,755","12,575","13,065","13,655","17,891"
"(a) Revised","","","","","","","","","Sources: Board of Investment of Sri Lanka",""
