"","","","","Central Bank Trade Indices - Unit Value (a)","","","","","","","",""
"","","","","","","","","","","","","2010=100"
"","","","","","","Exports","","","","","",""
"","","Industrial Exports","","","","","","Agricultural Exports","","","","Total"
"Period","","","","","","","","","","","Mineral",""
"","Textiles and","Petroleum","Rubber","","","","","Coconut","Minor","","","Exports"
"","","","","","","","","","","","Exports",""
"","","","","Total","Tea","","Rubber","","","Total","",""
"","Garments","Products","Products","","","","","Products","Agri. Products","","",""
"2017","155.9","97.4","185.0","121.0","164.0","","96.3","183.3","154.2","167.7","182.0","130.0"
"2018","172.5","135.8","202.9","137.8","166.5","","97.4","202.9","146.3","173.5","204.7","144.4"
"2019","184.3","127.0","224.8","143.3","166.4","","92.0","176.9","163.3","172.8","225.4","148.8"
"2020","193.4","97.0","231.3","134.2","175.2","","96.9","203.3","178.3","183.7","248.0","143.5"
"2021 (b)","202.8","120.0","294.8","153.0","185.5","","146.3","240.4","194.9","206.2","289.7","162.6"
"2019      1st    Quarter","178.8","139.1","224.3","142.6","170.8","","88.3","203.2","164.9","178.4","237.6","149.0"
"2nd   Quarter","176.7","141.4","221.4","141.7","168.4","","85.1","180.4","156.6","172.0","219.1","147.4"
"3rd    Quarter","192.2","124.6","232.6","155.0","161.7","","102.0","160.4","175.5","169.6","195.9","158.1"
"4th    Quarter","189.9","112.2","220.9","135.3","164.8","","101.8","166.8","158.9","171.2","250.7","141.6"
"2020      1st    Quarter","184.3","152.7","230.0","147.5","166.6","","99.0","200.1","196.1","177.0","218.1","152.5"
"2nd   Quarter","196.0","62.9","220.6","128.4","179.5","","98.3","205.0","201.8","185.1","256.5","141.9"
"3rd    Quarter","196.3","69.3","220.2","133.9","175.3","","84.9","203.5","197.9","187.0","251.0","143.6"
"4th    Quarter","198.8","86.1","254.0","126.1","178.7","","103.7","204.0","121.0","184.4","259.9","136.3"
"2021 (b)  1st    Quarter","191.9","149.3","279.4","153.4","188.3","","130.4","237.1","185.5","202.4","266.6","162.5"
"2nd   Quarter","182.7","100.5","308.5","135.4","187.3","","148.2","239.6","199.8","201.3","272.9","146.4"
"3rd    Quarter","206.4","98.8","295.3","152.6","183.2","","150.4","237.0","197.4","207.6","300.0","162.8"
"4th    Quarter","228.6","157.3","297.6","169.4","183.8","","162.9","247.7","196.3","212.1","335.7","177.4"
"2020      January","184.4","151.5","224.8","144.5","165.5","","101.1","196.5","171.7","174.6","218.7","149.5"
"February","188.8","172.7","229.8","164.1","167.4","","96.4","200.2","210.0","177.3","208.6","166.7"
"March","178.1","131.7","237.2","132.1","167.2","","101.2","204.6","217.6","180.2","235.9","139.2"
"April","189.1","77.2","214.9","99.0","171.7","","119.7","234.2","175.9","181.7","264.8","123.3"
"May","189.7","93.5","220.2","141.1","183.3","","93.9","201.5","193.1","185.1","263.8","152.7"
"June","200.8","45.7","223.1","131.0","181.7","","91.7","197.3","218.3","187.0","242.5","142.3"
"July","188.6","52.2","209.5","136.7","174.9","","75.8","196.5","214.4","182.3","277.8","145.8"
"August","205.2","109.6","225.5","134.4","174.4","","87.5","201.8","200.0","187.3","240.6","143.8"
"September","196.3","71.0","227.7","130.6","176.5","","99.6","213.8","174.1","192.7","222.9","141.0"
"October","186.2","105.1","244.4","125.6","180.7","","88.9","202.2","137.6","187.5","254.2","137.1"
"November","198.3","84.8","268.5","131.4","176.9","","96.2","199.7","110.3","178.5","280.6","140.3"
"December","210.4","76.3","252.2","122.7","178.1","","120.4","211.0","115.9","186.6","253.3","132.7"
"2021 (b) January","197.5","137.0","273.1","148.3","186.1","","121.9","217.0","143.2","199.9","262.0","157.3"
"February","189.4","150.3","274.3","167.2","189.7","","128.8","223.4","193.9","201.1","266.2","173.9"
"March","189.5","165.6","289.5","147.0","188.9","","137.9","262.7","213.7","205.3","270.4","158.0"
"April","198.6","166.2","301.2","117.9","193.9","","143.5","274.0","221.9","213.1","292.3","130.2"
"May","161.2","156.8","305.3","141.3","185.1","","152.2","232.9","187.3","195.4","263.6","151.1"
"June","192.3","61.6","316.7","148.2","185.2","","150.7","225.6","193.2","198.7","266.0","157.8"
"July","191.1","78.7","322.9","156.3","182.0","","154.8","233.1","172.5","205.8","305.2","166.7"
"August","200.8","82.2","275.9","148.4","184.6","","141.1","243.9","226.8","207.7","312.8","158.6"
"September","231.4","169.2","289.8","153.5","182.9","","154.9","234.2","199.5","209.8","284.0","163.3"
"October","229.9","198.3","300.3","185.2","182.7","","149.4","244.4","178.7","210.5","305.1","190.1"
"November","228.9","145.8","304.3","164.3","184.7","","165.3","257.3","216.8","212.8","263.3","173.6"
"December","227.0","142.8","288.0","160.5","183.9","","175.9","240.1","194.2","212.9","437.9","169.6"
"","(a) Paasche unit value index is derived by using the rupee value index and the volume index.","","","","","","","","","","","(Contd.)"
