"","","","Current Market Prices (Rs.mn)","","","Constant (2010) Prices (Rs.mn)",""
"","Item","","","","","",""
"","","2019 (b)","2020 (b)(c)","2021 (c)","2019 (b)","2020 (b)(c)","2021 (c)"
"A.  Domestic Demand","","","","","","",""
"Consumption","","11,971,144","12,214,284","13,425,152","7,786,374","7,601,213","7,870,841"
"(% Change)","","8.0","2.0","9.9","4.5","-2.4","3.5"
"Gross Domestic Capital Formation","","3,945,423","3,779,064","4,655,829","3,082,250","2,766,593","2,848,458"
"(% Change)","","-7.5","-4.2","23.2","-11.6","-10.2","3.0"
"Total Domestic Demand","","15,916,567","15,993,349   18,080,981","","10,868,624   10,367,806","","10,719,300"
"(% Change)","","3.7","0.5","13.1","-0.7","-4.6","3.4"
"B. External Demand","","","","","","",""
"Export of Goods and Services","","3,472,337","2,418,541","2,981,613","1,845,686","1,666,522","1,952,033"
"(% Change)","","5.5","-30.3","23.3","7.2","-9.7","17.1"
"Import of Goods and Services","","4,391,746","3,384,516","4,253,285","2,823,843","2,501,420","2,789,936"
"(% Change)","","0.9","-22.9","25.7","-5.8","-11.4","11.5"
"Net External Demand","","-919,410","-965,975","-1,271,672","-978,157","-834,898","-837,903"
"(% Change)","","13.4","-5.1","-31.6","23.3","14.6","-0.4"
"C. Total Demand","","14,997,157","15,027,374","16,809,309","9,890,468","9,532,909","9,881,397"
"(% Change)","","4.9","0.2","11.9","2.3","-3.6","3.7"
"(a) Based on the GDP estimates (base year 2010)","","","","","Sources: Department of Census and Statistics","",""
