"September","762,011","556,737","1,318,748","8,866,196","303,156","9,169,352","10,488,100","-158,710","-381,577","-181,848","-563,425","-722,135"
"October","754,233","618,438","1,372,671","8,910,123","298,936","9,209,058","10,581,730","-252,574","-358,154","-225,834","-583,988","-836,562"
"November","735,007","620,110","1,355,117","8,892,775","297,893","9,190,668","10,545,785","-329,911","-382,968","-193,468","-576,436","-906,347"
"December","784,450","675,446","1,459,895","8,918,875","268,538","9,187,413","10,647,309","-387,263","-381,514","-213,200","-594,713","-981,976"
"","(a)  M2b is based on the aggregated data pertaining to the Central Bank and both Domestic Banking Units (DBUs)","","","","","(ii)   All Resident Non National Foreign Currency (RNNFC) balances are treated as foreign liabilities","","","","","","(Contd.)"
"","and Offshore Banking Units (OBUs) of Licensed Commercial Banks (LCBs) operating in Sri Lanka.","","","","","","","","","","",""
"","","","","","","(iii)  All other domestic foreign currency accounts are treated as domestic deposit liabilities","","","","","",""
"Definitional changes have been adopted in aggregating DBUs and OBUs to avoid double counting","","","","","","","","","","","",""
"","","","","","","(b)  External assets (net) of the Central Bank and commercial banks (including outward bills)","","","","","",""
"","and misclassification of assets and liabilities. The major changes are:","","","","","","","","","","",""
"","(1) All DBU placements with OBUs are recorded as domestic assets, while all DBU borrowings","","","","","(c)   Currency and demand deposits held by the public","","","","","",""
"","from OBUs are recorded as domestic liabilities.","","","","","(d)  Time and savings deposits of the public held with commercial banks","","","","","",""
"","(2) Foreign currency deposits with DBUs are classified on the basis of ownership rather than on the","","","","","","","","","","",""
"","","","","","","(e)  This includes NFA of the Central Bank as well as the Government’s Crown Agent’s balance reported by","","","","","",""
"","basis of currency.  Hence, the following apply:","","","","","","","","","","",""
"","","","","","","the Department of State Accounts.","","","","","",""
"","(i) One half (50 per cent) of Non Resident Foreign Currency (NRFC) deposits are treated as","","","","","","","","","","",""
"domestic deposit liabilities","","","","","","","","","","","",""
