"","2015","2016","2017","2018","2019","2020","2021 (a)"
"DEMOGRAPHY","","","","","","",""
"Mid-year population (‘000 persons) (b)(c)","20,970","21,209 (d)","21,444 (a)","21,670 (a)","21,803 (a)","21,919 (a)","22,156"
"Growth of mid- year population (per cent) (b)","0.9","1.1","1.1 (a)","1.1 (a)","0.6 (a)","0.5 (a)","1.1"
"Population density (persons per sq.km.) (b)","334","338","342 (a)","346 (a)","348 (a)","350 (a)","353"
"Labour force (‘000 persons) (e)(f)","8,214","8,311","8,567","8,388","8,592","8,467","8,553 (g)"
"Labour force participation rate (per cent) (e)(f)","53.8","53.8","54.1","51.8","52.3","50.6","49.9 (g)"
"Unemployment rate (per cent of labour force) (e)(f)","4.7","4.4","4.2","4.4","4.8","5.5","5.1 (g)"
"OUTPUT (h)","","","","","","",""
"GDP at current market price (Rs. billion)","10,951","11,996","13,328","14,291","14,997 (d)","15,027 (a)(d)","16,809"
"GNI at current market price (Rs. billion)","10,676","11,676","12,975","13,901","14,556 (d)","14,604 (a)(d)","16,403"
"GDP at current market price (US$ billion)","80.6","82.4","87.4","87.9","83.9 (d)","81.0 (a)(d)","84.5"
"GNI at current market price (US$ billion)","78.5","80.2","85.1","85.5","81.4 (d)","78.7 (a)(d)","82.5"
"Per capita GDP at current market price (Rs.) (i)","522,304","565,613","621,531","659,479","687,848 (d)","685,587 (a)(d)","758,680"
"Per capita GNI at current market price (Rs.) (i)","509,200","550,541","605,076","641,500","667,604 (d)","666,285  (a)(d)","740,328"
"Per capita GDP at current market price (US$) (i)","3,842","3,885","4,077","4,057","3,848 (d)","3,695  (a)(d)","3,815"
"Per capita GNI at current market price (US$) (i)","3,746","3,781","3,969","3,947","3,734  (d)","3,591 (a)(d)","3,722"
"REAL OUTPUT (percentage change) (h)","","","","","","",""
"GDP","5.0","4.5","3.6","3.3","2.3 (d)","-3.6 (a)(d)","3.7"
"Major economic activities of GDP","","","","","","",""
"Agriculture","4.7","-3.7","-0.4","5.8","1.2 (d)","-2.2 (a)(d)","2.0"
"Industry","2.2","5.7","4.7","1.3","2.6 (d)","-6.9 (a)(d)","5.3"
"Services","6.0","4.8","3.6","4.6","2.3 (d)","-1.6 (a)(d)","3.0"
"GNI","4.8","4.3","3.6","3.2","2.2 (d)","-3.5 (a)(d)","4.0"
"AGGREGATE DEMAND AND SAVINGS (per cent of GDP) (h)","","","","","","",""
"Consumption","76.4","79.4","75.6","77.6","79.8 (d)","81.3 (a)(d)","79.9"
"Private","67.4","71.0","67.1","68.4","70.4 (d)","71.0 (a)(d)","70.3"
"Government","9.0","8.5","8.5","9.2","9.4 (d)","10.3 (a)(d)","9.6"
"Investment","31.2","27.9","31.6","29.9","26.3 (d)","25.1 (a)(d)","27.7"
"Net exports of goods and services","-7.5","-7.3","-7.2","-7.4","-6.1 (d)","-6.4 (a)(d)","-7.6"
"Exports of goods and services","21.0","21.2","21.8","23.0","23.2 (d)","16.1 (a)(d)","17.7"
"Imports of goods and services","28.5","28.5","29.1","30.5","29.3 (d)","22.5 (a)(d)","25.3"
"Domestic savings","23.6","20.6","24.4","22.4","20.2 (d)","18.7 (a)(d)","20.1"
"Net primary and secondary income from rest of the world","5.2","5.2","4.6","4.3","3.9 (d)","4.8 (a)(d)","3.7"
"National savings","28.8","25.7","29.0","26.7","24.1 (d)","23.6 (a)(d)","23.8"
"PRICES AND WAGES (percentage change)","","","","","","",""
"National Consumer Price Index (2013 = 100) - annual average","3.8","4.0","7.7","2.1","3.5","6.2","7.0"
"National Consumer Price Index (2013 = 100) - year-on-year (end period)","4.2","4.2","7.3","0.4","6.2","4.6","14.0"
"Colombo Consumer Price Index (2013 = 100) - annual average","2.2","4.0","6.6","4.3","4.3","4.6","6.0"
"Colombo Consumer Price Index (2013 = 100) - year-on-year (end period)","4.6","4.5","7.1","2.8","4.8","4.2","12.1"
"Colombo Consumer Price Index (2006/07 = 100) - annual average (j)","0.9","3.7","-","-","-","-","-"
"Colombo Consumer Price Index (2006/07 = 100) - year-on-year (end period) (j)","2.8","4.1","-","-","-","-","-"
"Producer's Price Index (2018 Q4 = 100) - annual average","-","-","-","-","-","5.8","10.9"
"Producer's Price Index (2013 Q4 = 100) - annual average (k)","3.6","1.7","17.0","6.3","2.9","5.7 (d)","-"
"GDP deflator (h)","0.6","4.8","7.3","3.8","2.6 (d)","4.0 (a)(d)","7.9"
"GNI deflator (h)","0.6","4.9","7.3","3.8","2.5 (d)","3.9 (a)(d)","8.0"
"Nominal wage rate index for workers in all wages boards (1978 Dec = 100) (l)","2.9","0.0","0.0","0.6","2.9","0.2","74.4"
"Nominal wage rate index for public sector employees (2016 = 100) (l)","-","-","-","0.2","4.7","9.2","0.0"
"Nominal wage rate index for public sector employees (2012 = 100) (l)(m)","31.7","3.9","0.0","0.1","3.2","-","-"
"Nominal wage rate index for informal private sector employees (2012 = 100) (l)","7.3","7.9","9.5","13.2","6.2","3.3","9.2"
"EXTERNAL TRADE","","","","","","",""
"Trade balance (US$ million)","-8,388","-8,873","-9,619","-10,343","-7,997","-6,008","-8,139"
"Exports","10,546","10,310","11,360","11,890","11,940","10,047","12,499"
"Imports","18,935","19,183","20,980","22,233","19,937","16,055","20,637"
"Terms of trade (percentage change)","2.7","4.0","1.2","0.02","-1.6","2.5","-8.6"
"Export unit value index (2010 = 100)  (percentage change)","-9.4","-1.5","2.4","4.2","-6.3","-6.8","5.4"
"Import unit value index (2010 = 100)  (percentage change)","-11.8","-5.3","1.2","4.1","-4.8","-9.1","15.2"
"Export volume index     (2010 = 100)  (percentage change)","4.6","-0.7","7.6","0.5","7.2","-9.7","18.0"
"Import volume index    (2010 = 100)  (percentage change)","10.6","7.0","8.1","1.8","-5.8","-11.4","11.5"
"EXTERNAL FINANCE (US$ million)","","","","","","",""
"Services and primary income account (net)","312","678","984","1,381","388","-1,386 (d)","-432"
"Current private transfers (net)","6,167","6,434","6,316","6,155","5,757","6,194","5,221"
"Current official transfers (net)","27","19","11","8","9","13","6"
"Current account balance","-1,883","-1,742","-2,309","-2,799","-1,843","-1,187 (d)","-3,343"
"Overall balance","-1,489","-500","2,068","-1,103","377","-2,328","-3,967"
"(a) Provisional","","","(g)  Average of four quarters of 2021","","","",""
