"","","","","","","Page"
"6. FISCAL POLICY AND GOVERNMENT FINANCE","","","","","",""
"6.1","Performance of the Fiscal Sector","…","…","…","…","179"
"6.2","Key Fiscal Balances (as a percentage of GDP)","…","…","…","…","180"
"6.3","Composition of Government Revenue - 2021","…","…","…","…","185"
"6.4","Composition of Government Recurrent Expenditure - 2021","…","…","…","…","187"
"6.5","Total Expenditure and Lending by Function - 2021","…","…","…","…","188"
"6.6","Outstanding Central Government Debt","…","…","…","…","190"
"6.7","","Composition of Outstanding Central Government Domestic Debt - as at end 2021","","…","…","191"
"6.8","","Composition of Outstanding Central Government Foreign Debt - as at end 2021","","…","…","193"
"6.9","","Currency Composition of Total Outstanding Central Government Debt - as at end 2021  …","","","…","193"
"6.10","Central Government Debt Service Payments (as a percentage of GDP)","","…","…","…","195"
"7. MONETARY POLICY, INTEREST RATES, MONEY AND CREDIT","","","","","",""
"7.1","Monetary Sector Developments","…","…","…","…","207"
"7.2","Movements in Key Policy Instruments and the Operating Target","","…","…","…","208"
"7.3","Contribution to Year-on-Year Headline Inflation (CCPI)","…","…","…","…","210"
"7.4","Contribution to Year-on-Year Headline Inflation (NCPI)","…","…","…","…","210"
"7.5","Movements in Year-on-Year Core Inflation","…","…","…","…","216"
"7.6","Rupee Liquidity in the Domestic Money Market and AWCMR  …","","…","…","…","217"
"7.7","Primary Market Treasury Bill Yields","","…","…","…","218"
"7.8","Secondary Market Yield Curve for Government Securities","","…","…","…","218"
"7.9","Movement of Selected Market Interest Rates","…","…","…","…","219"
"7.10","Average Weighted Lending Rates by Type of Securities (%)","…","…","…","…","219"
"","7.11   Composition of the Central Bank Balance Sheet","…","…","…","…","222"
"","","","","","",""
"","7.12   Contribution to Year-on-Year Change in Broad Money - M2b (Assets Side)   …","","","","",""
"7.13   Annual Increase in Domestic Credit","","…","…","…","…","225"
"","7.14   Credit to the Private Sector by Commercial Banks","…","…","…","…","226"
"7.15","Year-on-Year Growth of Private Sector Credit to Key Sectors  (%)","","…","…","…","227"
"7.16","Year-on-Year Growth of Monetary Aggregates","…","…","…","…","229"
"8. FINANCIAL SECTOR PERFORMANCE AND SYSTEM STABILITY","","","","","",""
"8.1","Performance of the Financial Sector","...","...","…","…","233"
"8.2","Off-Balance Sheet Exposure of the Banking Sector as at end 2021","","…","…","…","235"
"8.3","Non-Performing Loans of the Banking Sector","...","...","…","…","235"
"8.4","Provisioning of the Banking Sector","…","…","…","…","236"
"8.5","Liquidity Ratios of the Banking Sector","…","…","…","…","237"
"8.6","Cumulative Maturity Gap as a percentage of  Cumulative Liabilities","","","…","…","237"
"8.7","Profitability Ratios of the Banking Sector","…","…","…","…","238"
"8.8","Capital Adequacy of the Banking Sector","…","…","…","…","239"
"8.9","Total Loans and Advances (Gross) by productwise for 2020 and 2021","","","…","…","244"
"8.10","Profitability Indicators of the LFCs and SLCs Sector","…","…","…","…","246"
"8.11","Risk Weighted Assets and CAR of the LFCs and SLCs Sector","…","…","…","…","246"
"8.12","","Non Performing Loans and Provision Coverage of the LFCs and SLCs Sector","","…","…","247"
"8.13","Regulatory Liquidity Indicators of the LFCs and SLCs Sector","…","…","…","…","248"
"8.14","Categorisation of the UT Sector in terms of the Number of Funds","","…","…","…","250"
"8.15","Gross Written Premium of the Insurance Sector","…","…","…","…","251"
"8.16","Factors that Affected Daily Changes in Money Market Liquidity  …","","…","…","…","254"
"","8.17  Open Market Operation Auctions,  Standing Facility, Standing Rate Corridor and","","","","",""
"","","Average Weighted Call Money Market Rate (01 Jan 2021- End Dec 2021)  …","","…","…","255"
"8.18","","Primary Market Weighted Average Yield Rates of Treasury Bills and  Treasury Bonds (per cent per annum)  …","","","","257"
"8.19","Movements of Price Indices and Market Capitalisation","…","…","…","…","258"
"8.20","Foreign Participation at the CSE","…","…","…","…","259"
