"","Voted Expenditure of the Government of Sri Lanka  -  2021","","","","",""
"","","","","","","Rs. million"
"","","Recurrent","","","Capital",""
"","","","% of Under","","","% of Under"
"Ministry (a)","Revised","Actual","","Revised","Actual",""
"","","","(-) / Over(+)","","","(-) / Over(+)"
"","Estimates (b)","Expenditure","","Estimates (b)","Expenditure",""
"","","","Expenditure","","","Expenditure"
"1
HE the President, Prime Minister, Judges of the Supreme Court etc.","12,531","10,586","-15.5","2,273","1,463","-35.7"
"2
Ministry of Buddhasasana, Religious and Cultural Affairs","4,429","3,862","-12.8","2,713","1,683","-38.0"
"3
Ministry of Finance (c)","1,076,735","1,106,079","2.7","1,373,662","1,369,571","-0.3"
"4
Ministry of Defence","273,976","272,330","-0.6","61,405","26,663","-56.6"
"5
Ministry of Mass Media","19,191","18,347","-4.4","2,500","1,027","-58.9"
"6
Ministry of Justice","13,639","11,819","-13.3","10,790","3,997","-63.0"
"7
Ministry of Health","123,360","122,256","-0.9","43,229","33,221","-23.2"
"8
Foreign Ministry","12,350","11,323","-8.3","500","203","-59.4"
"9
Ministry of Transport","15,735","13,506","-14.2","25,808","30,900","19.7"
"10 Ministry of Energy","210","207","-1.4","64","21","-67.8"
"11 Ministry of Trade","1,172","1,079","-8.0","5,691","5,068","-10.9"
"12 Ministry of Highways","185","183","-1.2","358,161","211,333","-41.0"
"13 Ministry of Agriculture","10,033","9,561","-4.7","13,974","8,600","-38.5"
"14 Ministry of Power","311","218","-30.0","1,044","4,701","350.2"
"15 Ministry of Lands","4,971","4,546","-8.5","3,795","2,693","-29.0"
"16 Ministry of Urban Development and Housing","371","286","-22.7","22,992","15,959","-30.6"
"17 Ministry of Education","102,407","98,102","-4.2","28,532","26,558","-6.9"
"18 Ministry of Public Services, Provincial Councils and Local Government","324,987","323,406","-0.5","1,254","565","-55.0"
"19 Ministry of Plantation","1,034","1,015","-1.8","510","402","-21.3"
"20 Ministry of Industries","1,140","992","-13.0","3,085","2,235","-27.6"
"21 Ministry of Fisheries","935","1,180","26.2","3,679","2,718","-26.1"
"22 Ministry of Tourism","747","694","-7.1","1,110","349","-68.6"
"23 Ministry of Environment","1,215","1,170","-3.7","1,104","624","-43.5"
"24 Ministry of Wildlife and Forest Conservation","239","234","-2.0","1,024","1,457","42.3"
"25 Ministry of Water Supply","372","349","-6.1","100,919","51,844","-48.6"
"26 Ministry of Ports and Shipping","672","655","-2.5","953","752","-21.1"
"27 Ministry of Technology","2,354","2,188","-7.1","8,583","2,741","-68.1"
"28 Ministry of Public Security","137,172","116,117","-15.3","11,195","6,961","-37.8"
"29 Ministry of Labour","3,402","2,754","-19.1","2,226","912","-59.0"
"30 Ministry of Youth and Sports","5,542","3,974","-28.3","7,723","2,671","-65.4"
"31 Ministry of Irrigation","3,681","3,571","-3.0","44,109","39,605","-10.2"
"32 State Ministry of National Heritage, Performing Arts and Rural Arts","","","","","",""
"","1,586","1,274","-19.6","533","302","-43.4"
"Promotion","","","","","",""
"33 State Ministry of Rural and School Sports Infrastructure Improvement","825","533","-35.5","2,545","484","-81.0"
"34 State Ministry of Women and Child Development, Pre-schools and","","","","","",""
"","24,750","19,160","-22.6","5,993","4,489","-25.1"
"Primary Education, School Infrastructure and Education Services","","","","","",""
"35 State Ministry of Education Reforms, Open Universities and Distance","","","","","",""
"","668","602","-9.8","2,625","1,891","-28.0"
"Learning Promotion","","","","","",""
"36 State Ministry of Ornamental Fish, Inland Fish and Prawn Farming, Fishery","","","","","",""
"","1,513","1,465","-3.2","2,673","1,796","-32.8"
"Harbour Development, Multiday Fishing Activities and Fish Exports","","","","","",""
"37 State Ministry of Solar Power, Wind and Hydro Power Generation Projects","","","","","",""
"","389","309","-20.7","352","219","-37.9"
"Development","","","","","",""
"38 State Ministry of Backward Rural Areas Development and Promotion of","","","","","",""
"","220","191","-12.8","470","216","-54.0"
"Domestic Animal Husbandry and Minor Economic Crop Cultivation","","","","","",""
"39 State Ministry of Rattan, Brass, Pottery, Furniture and Rural Industrial","","","","","",""
"","1,051","899","-14.4","2,189","1,314","-40.0"
"Promotion","","","","","",""
"40 State Ministry of State Security, Home Affairs and Disaster Management","52,748","50,095","-5.0","14,274","8,673","-39.2"
"41 State Ministry of Company Estate Reforms, Tea and Rubber Estates","","","","","",""
"Related Crops Cultivation and Factories Modernisation and Tea and","1,477","1,349","-8.7","5,377","4,062","-24.4"
"Rubber Export Promotion","","","","","",""
"42 State Ministry of Urban Development, Coast Conservation, Waste","","","","","",""
"","1,126","1,074","-4.6","16,330","11,902","-27.1"
"Disposal and Community Cleanliness","","","","","",""
"43 State Ministry of Foreign Employment Promotion and Market","","","","","",""
"","675","637","-5.7","26","13","-48.2"
"Diversification","","","","","",""
"44 State Ministry of Money and Capital Market and State Enterprise","","","","","",""
"","906","319","-64.8","37,634","54,376","44.5"
"Reforms","","","","","",""
"45 State Ministry of Samurdhi, Household Economy, Micro Finance, Self","","","","","",""
"","82,907","86,261","4.0","12,072","7,210","-40.3"
"Employment and Business Development","","","","","",""
"","","","","","","(Contd.)"
