"","","Daily","Non-National","","","All","","","","","","","","","Sectoral Share Price Indices (1985=100) (b)","","","","","","","","","","",""
"","Total","","","","Market","","S&P","","","","","","","","","","","","","","","","","","",""
"","","Average","Transactions","","","Share","","","","","","","","","","","","","","","","","","","",""
"","Turnover","","","","Capitalisation","","Sri","","","","","","","","","","","","","","","","","","",""
"","","Turnover","","","","Price","","","","","","","","","","","","","","","","","","","",""
"End","","","","","","","Lanka","","","","","","","","","","","","","","","","","","",""
"","","","Purchases","Sales","(a)","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","Index","","","","","","","","","","","","","","","","","","","",""
"of","","","","","","","20 Index","","","","","","","","","","","","","","","","","","",""
"","","","","","","(ASPI)","","Automobiles & 
Components","Banks","Capital Goods","Commercial & 
Professional Services","Consumer Durables & 
Apparel","Consumer Services
Diversified Financials","Energy","Food & Staples 
Retailing","Food, Beverage & 
Tobacco","Healthcare 
Equipment & Services","Household & Personal 
Products","Insurance","Materials","Real Estate","Retailing","Software & Services","Telecommunication 
Services","Transportation","Utilities"
"Period","","","","","","","(2004=","","","","","","","","","","","","","","","","","","",""
"","","","","","","(1985","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","1,000)","","","","","","","","","","","","","","","","","","",""
"","Rs. mn","Rs. mn","Rs. mn","Rs. mn","Rs. bn","=100)","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(a)","","","","","","","","","","","","","","","","","","",""
"","","","","","","(a)","","","","","","","","","","","","","","","","","","","",""
"2017","220,591","915","112,285","94,630","2,899.3","6,369.3","3,671.7","","","","","","","","","","","","","","","","","","",""
"2018","200,069","834","77,077","100,316","2,839.5","6,052.4","3,135.2","","","","","","","","","","","","","","","","","","",""
"2019","171,408","711","56,538","68,272","2,851.3","6,129.2","2,937.0","","","","","","","","","","","","","","","","","","",""
"2020","396,882","1,899","52,889","104,245","2,960.7","6,774.2","2,638.1","1,159.5","587.3","1,023.0","832.2","1,127.4","277.0 
 891.6","745.4","1,244.2","967.5","1,303.5","1,320.2","1,416.1","1,351.5","798.0","1,009.9","-","943.3","4,870.2","1,002.6"
"2021","1,173,157","4,888","34,016","86,665","5,489.2","12,226.0","4,233.3","1,321.7","609.1","1,735.6","1,152.8","1,984.3","381.8   3,447.3","1,566.6","1,293.7","1,218.4","1,423.3","1,907.2","1,676.9","1,772.7","878.0","1,167.2","1,395.9","922.8","62,493.3","1,027.9"
"2020 January","37,803","1,890","27,224","30,201","2,761.1","5,929.8","2,835.0","591.2","673.3","857.9","729.1","959.7","251.9 
 901.9","541.2","1,223.8","856.6","828.5","1,042.0","1,363.4","653.5","794.2","714.9","-","916.4","831.7","720.9"
"February","8,397","466","1,722","2,930","2,599.2","5,592.9","2,632.0","505.4","636.0","781.3","661.4","839.4","227.0 
 797.7","483.4","1,174.1","832.7","792.7","971.9","1,371.3","587.3","735.1","659.4","-","870.5","647.1","688.9"
"March","6,325","632","1,473","2,630","2,128.3","4,571.6","1,947.4","443.7","470.1","610.1","594.3","591.3","187.7 
 639.2","421.7","1,099.3","697.7","667.1","799.5","1,170.9","436.6","638.8","531.0","-","636.4","346.0","545.0"
"April (c)","n.a","n.a","n.a","n.a","n.a","n.a","n.a","n.a","n.a","n.a","n.a","n.a","n.a 
 n.a","n.a","n.a","n.a","n.a","n.a","n.a","n.a","n.a","n.a","-","n.a","n.a","n.a"
"May","22,809","1,629","3,692","10,620","2,266.0","4,846.8","2,016.1","534.9","485.5","631.5","713.3","667.5","193.1 
 714.6","445.6","1,134.4","724.1","745.6","864.2","1,210.1","525.0","674.7","609.2","-","779.6","446.4","623.3"
"June","29,072","1,384","3,825","12,428","2,404.7","5,149.6","2,268.8","565.7","551.8","690.3","666.5","780.5","208.6 
 751.4","533.6","1,141.4","737.9","760.0","907.3","1,348.4","602.3","704.1","610.1","-","856.7","546.7","690.7"
"July","26,579","1,156","4,714","8,070","2,411.7","5,124.3","2,179.7","622.0","530.0","667.6","683.1","800.1","214.0 
 766.7","498.3","1,132.4","736.8","764.9","945.0","1,265.4","675.7","737.4","645.7","-","834.0","647.1","720.6"
"August","36,860","1,843","1,683","9,752","2,316.2","5,329.3","2,359.8","856.6","567.6","757.1","698.7","808.4","219.5 
 777.2","523.0","1,108.6","750.6","793.5","1,015.1","1,277.1","744.4","736.5","652.9","-","839.8","881.4","763.1"
"September","49,956","2,379","2,572","10,316","2,595.8","5,984.8","2,463.3","1,067.0","591.0","839.5","740.4","1,030.5","234.4 
 873.2","695.1","1,183.0","874.0","873.5","1,139.0","1,350.6","899.6","802.0","806.9","-","877.8","1,935.9","905.4"
"October","58,171","2,909","1,927","7,286","2,494.3","5,726.6","2,282.2","1,068.4","537.3","803.8","724.2","903.2","218.0 
 816.4","626.4","1,165.9","823.2","962.6","1,063.6","1,285.0","1,046.1","725.0","781.0","-","836.6","3,039.8","890.8"
"November","53,350","2,540","1,733","4,521","2,728.1","6,243.8","2,453.9","1,257.4","556.3","944.0","838.0","1,051.8","242.5 
 846.5","646.5","1,174.7","879.9","1,002.2","1,133.6","1,322.4","1,219.7","751.0","910.8","-","909.0","4,545.1","973.6"
"December","67,561","3,217","2,324","5,411","2,960.7","6,774.2","2,638.1","1,159.5","587.3","1,023.0","832.2","1,127.4","277.0 
 891.6","745.4","1,244.2","967.5","1,303.5","1,320.2","1,416.1","1,351.5","798.0","1,009.9","-","943.3","4,870.2","1,002.6"
"2021 January","185,770","10,321","3,447","11,958","3,789.2","8,668.1","3,514.2","1,262.7","742.1","1,436.0","856.0","1,311.0","275.9   1,700.1","830.1","1,434.4","1,092.2","1,155.6","1,336.4","1,468.2","1,868.6","922.0","1,086.4","-","1,015.5","8,468.9","1012.3"
"February","97,740","5,430","2,572","7,532","3,269.4","7,476.3","2,966.6","1,057.6","632.6","1,184.4","766.9","1,144.2","250.6   1,331.6","664.5","1,379.9","977.7","1,062.5","1,239.4","1,398.9","1,591.7","800.8","916.9","-","971.3","7,795.0","915.0"
"March","40,945","1,861","8,906","13,137","3,111.3","7,121.3","2,850.1","1,045.6","622.9","1,120.7","684.1","1,098.6","239.6   1,167.8","628.5","1,369.3","938.0","1,014.5","1,207.1","1,430.5","1,476.8","792.7","884.6","-","963.5","7,493.9","919.9"
"April","52,996","2,944","2,082","5,854","3,178.8","7,208.2","2,869.3","1,126.0","600.1","1,175.8","680.6","1,168.1","232.6   1,211.6","601.3","1,351.5","931.7","1,052.3","1,287.9","1,353.1","1,593.7","766.5","915.4","-","949.7","7,826.8","909.5"
"May","37,024","2,057","2,521","6,369","3,268.3","7,403.4","2,978.8","1,139.4","632.8","1,200.1","690.5","1,189.1","232.2   1,288.6","660.4","1,395.7","938.2","1,211.7","1,282.5","1,357.4","1,576.1","767.8","944.7","-","976.1","7,672.9","968.5"
"June","46,473","2,213","2,510","3,670","3,470.2","7,837.8","2,968.3","1,130.0","636.1","1,164.5","747.9","1,170.4","238.6   1,800.4","663.6","1,416.7","961.8","1,110.8","1,403.0","1,354.6","1,585.5","800.3","949.6","-","932.7","8,385.9","960.0"
"July","53,813","2,691","2,051","10,218","3,598.6","8,120.5","3,062.2","1,273.5","622.6","1,226.9","935.1","1,398.2","287.9   1,783.6","627.8","1,442.2","987.9","1,147.1","1,532.3","1,365.8","1,705.6","807.3","1,005.6","-","911.4","11,199.1","982.7"
