"","October","131.4","99.3","121.0","91.4","115.1"
"","November","131.4","96.3","121.0","88.6","115.1"
"","December","131.4","92.9","121.0","85.5","115.1"
"","(a)   Public sector wage rate index was rebased to 2016 (from 2012) in order to capture the changes introduced","","","","",""
"","to public sector salary structure by the Public Administration Circular No. 03/2016 issued by the Ministry","","","","",""
"","of Public  Administration and Management  on  25  February 2016.  The  data relating to the base period","","","","",""
"","employment structure was obtained from the Census of Public and Semi Government Sector Employment","","","","",""
"","conducted by the Department of Census and Statistics in November 2016.","","","","",""
"(b)  Based on National Consumer Price Index (2013=100)","","","","","",""
"(c) 
Provisional","","","","","",""
"Note : NWRI = Nominal Wage Rate Index   RWRI  =  Real Wage Rate Index","","","","","",""
