"","Gross Domestic Expenditure and Availability of Resources (a)","","","","","","","","",""
"","2017","","2018","","2019 (b)","","2020 (b)(c)","","2021 (c)",""
"Item","","% of","","% of","","% of","","% of","","% of"
"","Rs. mn","","Rs. mn","","Rs. mn","","Rs. mn","","Rs. mn",""
"","","GNI","","GNI","","GNI","","GNI","","GNI"
"1.  Consumption Expenditure","","","","","","","","","",""
"Private","8,942,501","68.9","9,776,077","70.3","10,558,212","72.5","10,661,955","73.0","11,814,865","72.0"
"2.  Consumption Expenditure","","","","","","","","","",""
"Government","1,137,406","8.8","1,310,655","9.4","1,412,932","9.7","1,552,329","10.6","1,610,287","9.8"
"3.  Gross Domestic Capital Formation","4,210,997","32.5","4,266,053","30.7","3,945,423","27.1","3,779,064","25.9","4,655,829","28.4"
"4. Gross Domestic Expenditure","14,290,904","110.1","15,352,785","110.4","15,916,567","109.3","15,993,349","109.5","18,080,981","110.2"
"5. Gross National Income","12,975,247","100.0","13,901,306","100.0","14,555,763","100.0","14,604,311","100.0","16,402,705","100.0"
"6. Excess, of (4) over (5) met by","1,315,657","10.1","1,451,479","10.4","1,360,804","9.3","1,389,037","9.5","1,678,276","10.2"
"(i) Net Disinvestment Abroad","351,341","2.7","451,975","3.3","330,114","2.3","238,249","1.6","647,955","4.0"
"(ii) Net Current Transfers from Rest of the World","964,316","7.4","999,504","7.2","1,030,690","7.1","1,150,789","7.9","1,030,321(d)","6.3"
"(a) Based on the GDP estimates (base year 2010)","","","","","","","","Sources: Department of Census and Statistics","",""
