"","EXTERNAL  SECTOR  DEVELOPMENTS  AND  POLICIES","","","","","","","","","","","","TABLE  63 (Contd.)",""
"","","","","","Central Bank Trade Indices - Volume (a)","","","","","","","","",""
"","","","","","","","","","","","","","","2010=100"
"","","","","","","","Imports","","","","","","",""
"","","Consumer Goods","","","","Intermediate Goods","","","","","Investment Goods","","",""
"","","","","","","","","","","","","","","Total"
"Period","","Non-Food","","","","","","","","Machinery","","","",""
"","Food and","","","","Textiles and","","","","","","","","","Imports"
"","","","","","","","Chemical","Wheat and","","","Transport","Building","",""
"","","Consumer","Total","Fuel","Textile","Fertiliser","","","Total","and","","","Total",""
"","Beverages","","","","","","Products","Maize","","","Equipment","Materials","",""
"","","Goods","","","Articles","","","","","Equipment","","","",""
"2017","146.7","191.0","167.4","150.7","137.6","53.7","161.6","134.0","158.6","244.2","112.8","220.1","208.7","171.3"
"2018","129.5","245.3","183.4","152.5","144.3","136.0","165.2","134.2","162.2","249.6","109.3","212.1","208.2","174.3"
"2019","120.5","174.0","145.4","151.8","153.9","119.5","155.7","127.5","156.0","261.5","93.7","215.1","211.5","164.2"
"2020","127.4","128.7","128.0","133.1","126.8","160.2","157.9","138.9","140.2","264.5","50.4","147.7","183.4","145.5"
"2021 (b)","125.5","130.4","127.8","134.2","153.9","74.5","177.3","134.2","152.0","359.0","46.7","154.5","230.6","162.2"
"2019  
   1st    Quarter","114.9","161.2","136.4","161.4","148.1","89.4","148.6","75.2","152.2","247.3","80.5","221.5","203.7","158.4"
"2nd   Quarter","122.4","154.7","137.4","145.4","148.3","88.3","150.9","120.9","147.1","226.9","114.4","197.2","193.8","153.5"
"3rd    Quarter","103.4","185.0","141.4","149.8","153.5","162.2","162.3","132.0","157.5","254.3","83.8","234.3","211.6","164.1"
"4th    Quarter","141.3","194.9","166.2","150.4","165.6","138.2","161.0","182.1","167.2","317.5","96.1","207.6","237.1","180.8"
"2020      1st    Quarter","141.4","147.4","144.2","164.8","132.3","58.7","154.8","117.0","149.7","273.9","71.0","157.2","195.3","156.6"
"2nd   Quarter","114.7","133.5","123.5","85.6","92.8","178.6","141.1","107.3","103.5","198.2","60.0","117.0","144.2","114.5"
"3rd    Quarter","121.2","114.2","118.0","150.0","133.1","76.1","166.9","194.9","154.8","273.3","28.6","161.9","187.2","153.2"
"4th    Quarter","132.2","119.6","126.3","132.1","148.9","327.6","169.0","136.3","152.7","312.6","42.2","154.5","207.1","157.5"
"2021 (b) 1st    Quarter","162.2","124.7","144.7","161.6","154.2","78.5","195.3","124.3","163.7","348.6","44.1","150.9","223.8","171.1"
"2nd   Quarter","123.3","131.6","127.2","124.2","156.8","127.6","189.0","122.5","150.3","312.2","50.7","161.6","210.9","157.0"
