"","Gross National Income by Industrial Origin at Constant (2010) Prices (a)(b)","","","","","","","","","",""
"","","","","As a percentage of GDP","","","Growth","","","Contribution to Growth",""
"","Rs. million","","","","","","","","","",""
"Economic Activity","","","","(%)","","","(%)","","","(%)",""
"","2020 (c)","2021","2020 (c)","","2021","2020 (c)","","2021","2020 (c)","","2021"
"Agriculture, Forestry & Fishing","672,930","686,478","7.1","","6.9","-2.2","","2.0","-0.2","","0.1"
"Agriculture and Forestry","578,407","590,632","6.1","","6.0","0.6","","2.1","0.0","","0.1"
"Fishing","94,522","95,845","1.0","","1.0","-16.6","","1.4","-0.2","","0.0"
"Industries","2,427,872","2,556,998","25.5","","25.9","-6.9","","5.3","-1.8","","1.4"
"Mining and Quarrying","202,873","208,505","2.1","","2.1","-12.5","","2.8","-0.3","","0.1"
"Manufacturing","1,481,325","1,587,489","15.5","","16.1","-3.9","","7.2","-0.6","","1.1"
"Electricity, Gas, Water and Waste Treatment","150,702","156,595","1.6","","1.6","-0.8","","3.9","0.0","","0.1"
"Construction","592,972","604,410","6.2","","6.1","-13.2","","1.9","-0.9","","0.1"
"Services","5,595,176","5,760,308","58.7","","58.3","-1.6","","3.0","-0.9","","1.7"
"Wholesale and Retail Trade, Transportation","","","","","","","","","","",""
"and Storage, and Accommodation","","","","","","","","","","",""
"and Food Service Activities","2,158,494","2,187,426","22.6","","22.1","-5.0","","1.3","-1.2","","0.3"
"Information and Communication","83,444","97,636","0.9","","1.0","13.7","","17.0","0.1","","0.1"
"Financial, Insurance and Real Estate Activities","","","","","","","","","","",""
"including Ownership of Dwellings","1,470,197","1,552,626","15.4","","15.7","4.7","","5.6","0.7","","0.9"
"Professional Services and Other Personal","","","","","","","","","","",""
"Service Activities","1,061,663","1,073,914","11.1","","10.9","-5.9","","1.2","-0.7","","0.1"
"Public Administration, Defence, Education,","","","","","","","","","","",""
"Human Health and Social Work Activities","821,378","848,706","8.6","","8.6","2.0","","3.3","0.2","","0.3"
"Gross Value Added at Basic Price","8,695,978","9,003,784","91.2","","91.1","-3.2","","3.5","-2.9","","3.2"
"Taxes less Subsidies on products","836,931","877,612","8.8","","8.9","-8.1","","4.9","-0.7","","0.4"
"Gross Domestic Product at Market Price","9,532,909","9,881,397","100.0","","100.0","-3.6","","3.7","-3.6","","3.7"
"Net Primary Income from Rest of the World","-263,075","-238,607","","","","8.3","","9.3","","",""
"Gross National Income at Market Price","9,269,834","9,642,790","","","","-3.5","","4.0","","",""
"","(a) Based on the GDP estimates (base year 2010) of the Department of Census and Statistics","","","","","","","Source: Department of Census and Statistics","","",""
