"","","","Major Rubber Export Destinations","","","","","","",""
"","","","Volume (kg  ‘000)","","","","","Value (US$ million)","",""
"Country","","","","","","","","","",""
"","2017","2018","2019","2020","2021 (a)","2017","2018","2019","2020","2021 (a)"
"European Union (b) (c )","3,986","3,542","2,439","2,282","3,207","9.1","8.1","4.3","4.7","10.0"
"O/W Germany","1,624","1,467","1,161","865","1,237","3.7","3.6","2.1","1.9","4.1"
"China","735","865","500","714","980","1.9","2.2","1.0","1.6","3.2"
"Japan","1,662","1,578","1,486","1,294","1,658","4.3","4.3","3.2","3.0","5.9"
"Malaysia","1,572","456","1,055","2,481","2,121","2.8","0.7","1.3","3.3","3.7"
"Pakistan","3,284","3,054","3,474","5,948","4,363","6.4","5.1","5.2","9.8","8.7"
"Other Countries (c)","5,991","4,487","4,049","3,047","3,161","14.5","11.2","9.2","7.6","10.6"
"Total","17,230","13,982","13,003","15,766","15,490","38.9","31.6","24.2","30.1","42.1"
"(a)  Provisional","","","","","","","","","Source: Sri Lanka Customs",""
