"","","","","","","","","","Liabilities","","","","","",""
"","","","Capital Account","","","Currency Issued","","","","","Deposits","","","",""
"","","","","","","","","","","","","International","","",""
"","","","","","","","","Securities","","Government","","Organisations,","","","Other"
"","End of Period","","","","","","","","","","","","","",""
"","","","","","Notes","Coins","","","","","","","","",""
"","","","","","","","","Outstanding","","Agencies","Commercial","Foreign","","","Liabilities"
"","","Capital","Surplus","Total","in","in","Total","","Government","","","","Others","Total",""
"","","","","","","","","(c)","","and","Banks","Governments and","","","and"
"","","","","","Circulation","Circulation","","","","","","","","",""
"","","","","","","","","","","Institutions","","Foreign Banking","","","Accounts"
"","","","","","","","","","","","","Institutions","","",""
"2017","","50,000","0","50,000","585,328","12,726","598,054","0","297","27","341,712","482,312","4","824,353","132,426"
"2018","","50,000","0","50,000","627,120","13,822","640,943","0","301","48","320,106","652,080","18","972,553","253,943"
"2019","","50,000","0","50,000","663,139","14,828","677,967","0","444","56","254,582","613,813","8","868,902","322,548"
"2020","","50,000","0","50,000","819,298","15,509","834,808","0","1,430","30","129,602","857,447","9","988,519","548,271"
"2021","","50,000","0","50,000","988,628","16,472","1,005,099","0","1,387","5","300,704","1,132,139","9","1,434,244","556,935"
"2020","January","50,000","0","50,000","653,146","14,896","668,042","0","455","107","267,409","601,669","6","869,645","320,261"
"","February","50,000","0","50,000","668,768","14,969","683,737","0","271","106","279,440","646,376","11","926,204","337,275"
"","March","50,000","0","50,000","790,149","15,041","805,190","0","773","107","208,499","600,623","6","810,009","396,966"
"","April","50,000","0","50,000","806,127","15,043","821,170","0","472","107","200,312","623,683","8","824,582","488,360"
"","May","50,000","0","50,000","786,113","15,071","801,184","0","529","107","195,249","608,137","12","804,034","423,451"
"","June","50,000","0","50,000","753,829","15,112","768,941","0","607","106","99,906","580,464","10","681,093","512,084"
"","July","50,000","0","50,000","753,190","15,195","768,385","0","712","113","110,334","732,105","6","843,269","481,776"
"","August","50,000","0","50,000","752,726","15,264","767,991","0","815","114","111,723","829,493","7","942,153","527,385"
"","September","50,000","0","50,000","759,985","15,349","775,334","0","604","31","116,024","1,136,842","73","1,253,575","520,396"
"","October","50,000","0","50,000","795,346","15,400","810,746","0","709","58","117,583","860,008","15","978,373","479,403"
"","November","50,000","0","50,000","799,459","15,438","814,897","0","923","36","121,324","867,807","11","990,101","511,835"
"","December","50,000","0","50,000","819,298","15,509","834,808","0","1,430","30","129,602","857,447","9","988,519","548,271"
"2021","January","50,000","0","50,000","829,204","15,564","844,768","0","1,386","30","131,099","892,972","13","1,025,501","483,978"
"","February","50,000","0","50,000","837,145","15,639","852,784","0","563","41","125,264","729,787","17","855,672","528,784"
"","March","50,000","0","50,000","884,787","15,831","900,618","0","1,044","41","127,940","621,865","11","750,901","515,596"
"","April","50,000","0","50,000","895,143","15,939","911,082","0","860","36","120,026","672,442","7","793,372","495,857"
"","May","50,000","0","50,000","904,373","15,962","920,335","0","845","32","115,643","704,404","7","820,930","485,527"
"","June","50,000","0","50,000","934,100","15,983","950,083","0","827","30","114,951","625,868","17","741,693","539,440"
"","July","50,000","0","50,000","926,757","16,047","942,804","0","1,027","29","121,033","742,308","238","864,635","466,905"
"","August","50,000","0","50,000","951,038","16,114","967,151","0","994","29","122,085","956,150","7","1,079,265","459,732"
"","September","50,000","0","50,000","980,219","16,161","996,380","0","1,126","32","299,544","798,080","6","1,098,787","472,644"
"","October","50,000","0","50,000","971,326","16,247","987,573","0","1,393","37","298,831","829,238","9","1,129,508","536,342"
"","November","50,000","0","50,000","953,027","16,367","969,394","0","1,307","31","318,378","805,744","8","1,125,467","552,198"
"","December","50,000","0","50,000","988,628","16,472","1,005,099","0","1,387","5","300,704","1,132,139","9","1,434,244","556,935"
"","(c) Central Bank’s own securities issued under Section 91(1)(b) of the Monetary Law Act","","","","","","","","","","","","","Source: Central Bank of Sri Lanka",""
