"","","2020","","2021 (a)","",""
"","","","","","","Major Export Products"
"","Preferential Agreement","Value","Value","","",""
"","","","","Growth","Share","(Ordered by size of export)"
"","","(US$","(US$","","",""
"","","","","(%)","(%)",""
"","","million)","million)","","",""
"","","","","","","Garments, Rubber products, Tea, Food beverages & tobacco, Seafood, Machinery and"
"","Generalised System of Preferences (GSP)","3,671.8","4,312.7","17.5","80.8",""
"","","","","","","mechanical appliances"
"","","","","","","Garments, Rubber products, Tea, Food beverages & tobacco, Seafood, Machinery and"
"","o/w EU (including GSP+) (b)","1,907.0","2,402.1","26.0","45.0",""
"5","","","","","","mechanical appliances"
"","","","","","","Garments, Rubber products,  Machinery and mechanical appliances, Food beverages &"
"","UK","690.9","680.7","-1.5","12.8",""
"","","","","","",""
"","","","","","","tobacco, Seafood, Transport equipment"
"","USA (c)","585.7","677.8","15.7","12.7","Garments, Rubber products, Food beverages & tobacco,  Chemical products, Spices"
"","Russian Federation (d)","142.2","132.9","-6.5","2.5","Tea, Rubber products, Coconut non-kernel products, Garments, Chemical products"
"","Australia","79.2","103.5","30.7","1.9","Garments, Rubber products, Food beverages & tobacco, Tea, Coconut kernel products"
"","Canada","61.0","87.9","44.0","1.6","Rubber products, Garments, Coconut kernel products, Food beverages & tobacco, Seafood"
"","Japan","71.0","87.6","23.4","1.6","Tea, Chemical products, Coconut non-kernel products, Food beverages & tobacco, Seafood"
"","Turkey","80.3","74.1","-7.7","1.4","Tea, Rubber products, Chemical products, Garments, Coconut non-kernel products"
"","Other GSP","54.6","66.1","21.1","1.2",""
"","Indo-Sri Lanka Free Trade Agreement (ISFTA)","","","","","Animal fodder, Food beverages & tobacco, Spices, Minor agricultural exports, Wood and"
"","","358.4","525.8","46.7","9.9",""
"","Implemented in 2000","","","","","paper products"
"","Asia-Pacific Trade Agreement (APTA)","","","","",""
"","","204.7","238.6","16.6","4.5","Garments, Tea, Coconut non-kernel products, Chemical products, Rubber products"
"","Implemented in 1975 (e)","","","","",""
"","Global System of Trade Preferences (GSTP)","","","","","Spices, Base metals and articles, Coconut kernel / non-kernel products, Animal fodder,"
"","","89.5","91.8","2.5","1.7",""
"","Implemented in 1989","","","","","Rubber products"
"","Pakistan-Sri Lanka Free Trade Agreement (PSFTA)","","","","","Minor agricultural exports, Coconut kernel / non-kernel products, Natural rubber,"
"","","53.0","62.3","17.6","1.2",""
"","Implemented in 2005","","","","","Machinery and mechanical appliances"
"","South Asian Free Trade Area (SAFTA)","","","","",""
"","","42.2","101.6","140.6","1.9","Spices, Coconut kernel / non-kernel products, Base metals and articles, Textiles, Tea"
"","Implemented in 2006","","","","",""
"","SAARC Preferential Trading Arrangement (SAPTA)","","","","",""
"","","0.8","1.4","83.6","0.03","Rubber products, Chemical products, Tea, Food beverages & tobacco, Textiles"
"","Implemented in 1995","","","","",""
"","Total Exports under Preferential Agreements","4,420.4","5,334.3","20.7","100.0",""
"","As a Share of Sri Lanka’s Total Exports","44.0","42.7","","",""
"","(a) Provisional","","","","","Sources: Department of Commerce"
