"","Category","2017","2018","2019","2020 (a) 2021 (b)",""
"1.  Capital Adequacy (%)","","","","","",""
"1.1","Capital Adequacy Ratio (CAR) (Regulatory Capital to Risk Weighted  Assets)","16.4","16.2","17.2","17.1","16.5"
"1.2","Core Capital Ratio (Tier 1)(Core Capital to Risk Weighted Assets)","13.4","13.1","13.7","13.6","13.2"
"1.3","Core Capital to Total Assets","7.4","7.6","7.8","7.1","6.4"
"1.4","Net Non-Performing Loans (net of Interest in Suspense and Specific Provisions) to","9.3","14.5","19.5","17.2","11.5"
"","Total Capital Funds","","","","",""
"1.5","Borrowings to Capital Funds","185.4","171.1","148.6","134.9","148.9"
"1.6","Capital to Assets Ratio","8.4","8.7","9.0","8.6","8.7"
"1.7","Leverage Ratio","","","6.8","6.4","6.1"
"2.  Assets Quality (%)","","","","","",""
"2.1","Gross Non-Performing Loans (NPL) to Total Gross Loans and Advances (excluding Interest in","2.5","3.4","4.7","4.9","4.5"
"","Suspense)","","","","",""
"2.2","Gross Non-Performing Loans (NPL) to Total Gross Loans and Advances","3.8","4.7","6.2","6.6","6.2"
"","(with Interest in Suspense)","","","","",""
"2.3","Net Non-Performing Loans to Total Net Loans and Advances (Net of IIS and Specific Provisions)","1.3","2.0","2.8","2.4","1.7"
"2.4","Total Provisions Made against Gross Loans and Advances","1.7","2.0","2.5","3.0","3.4"
"2.5","Total Provision Coverage Ratio","69.9","57.4","52.3","61.3","75.8"
"2.6","Specific Provision Coverage Ratio","49.6","43.1","42.4","51.7","64.0"
"2.7","Total Provisions Made against Total Assets","1.1","1.3","1.6","1.9","2.1"
"2.8","Total Loans and Advances (Gross) to Total Assets","62.5","65.2","64.9","62.0","61.9"
"2.9","Total Investments to Total Assets","24.8","22.7","23.9","28.6","28.9"
"2.10 Total Income to Total Assets","","10.6","10.7","10.7","8.9","8.1"
"2.11 Net Interest Income to Total Assets","","3.3","3.4","3.4","2.9","3.2"
"2.12 Non Interest Income to Total Assets","","1.2","1.3","1.1","1.0","1.0"
"3.  Earnings and Profitability (%)","","","","","",""
"3.1","Return on Equity (ROE) - After Tax","17.6","13.2","10.3","11.5","14.5"
"3.2","Return on Assets (ROA) - Before Tax","2.0","1.8","1.4","1.4","1.6"
"3.3","Return on Assets (ROA) - After Tax","1.4","1.1","0.9","1.0","1.2"
"3.4","Interest Income to Total Income","88.9","88.2","90.2","89.1","87.8"
"3.5","Net Interest Income to Total Income","31.2","31.6","32.0","32.8","40.2"
"3.6","Non Interest Income to Total Income","11.1","11.8","9.8","10.9","12.2"
"3.7","Non Interest Expenses (Operating Expenses) to Total Income","18.7","20.2","19.7","19.4","22.0"
"3.8","Personal Expenses to Non Interest Expenses","50.3","47.8","47.8","50.7","49.5"
"3.9","Personal Expenses to Total Income","9.4","9.7","9.4","9.8","10.9"
"3.10 Provisions to Total Income","","2.6","4.0","5.3","7.6","8.7"
"3.11 Efficiency Ratio","","45.7","50.0","52.7","51.8","48.1"
"","3.12 Interest Margin (Net interest income to Average Assets)","3.5","3.6","3.6","3.1","3.4"
"4.  Liquidity (%)","","","","","",""
"4.1","Total Liquid Assets to Total Assets","28.8","25.7","28.9","34.1","29.5"
"4.2","Statutory Liquid Assets Ratio - Domestic Banking Unit (DBU)","31.3","27.6","31.0","37.8","33.8"
"4.3","Statutory Liquid Assets Ratio - Off-shore Banking Unit (OBU)","35.5","45.4","47.1","43.2","34.0"
"4.4","Rupee Liquidity Coverage Ratio","187.5","176.5","212.8","255.9","217.8"
"4.5","All Currency Liquidity Coverage Ratio","155.7","152.1","178.2","202.1","171.8"
"4.6","Liquid Assets to Deposits","40.0","35.7","39.5","44.8","39.4"
"4.7","Current & Savings Deposits to Total Deposits","34.2","32.0","31.4","34.5","36.6"
"4.8","Liquid Assets to Short Term Liabilities","41.5","38.6","46.8","52.5","45.3"
"4.9","Deposit to Total Loans & Advances","115.1","110.4","112.8","122.5","120.9"
"4.10 Net Stable Funding Ratio","","","","130.1","136.3","135.1"
"5.  Assets / Funding Structure","","","","","",""
"5.1","Deposits (% of Total Assets)","71.9","72.0","73.2","76.0","74.9"
"5.2","Borrowings (% of Total Assets)","15.6","15.0","13.4","11.5","12.9"
"5.3","Capital Funds (% of Total Assets)","8.4","8.7","9.0","8.6","8.7"
"5.4","Other (% of Total Assets)","4.1","4.3","4.4","3.9","3.6"
"5.5","Credit to Deposits","86.9","90.6","88.7","81.6","82.7"
"5.6","Credit to Deposits and Borrowings","71.4","75.0","74.9","70.8","70.6"
"5.7","Credit to Deposits, Borrowings and Capital","65.1","68.2","67.8","64.5","64.2"
"6.  Financial Infrastructure","","","","","",""
"6.1","No. of Branches (excluding Student Savings Units)","3,549","3,576","3,607","3,619","3,624"
"6.2","No. of ATMs","4,219","5,204","5,794","6,176","6,342"
"(a) Revised","","","","Source: Central Bank of Sri Lanka","",""
