"","2017","2018","2019","2020","2021"
"Category","","","","",""
"","December","December","December","December (a)","December (b)"
"1. Capital Adequacy","","","","",""
"1.1  Core Capital to Risk Weighted Assets (CCR) (c)","10.9","9.3","10.5","13.9","15.0"
"1.2  Capital Base to Risk Weighted Assets (RWCAR) (d)","11.5","10.6","11.9","15.1","16.6"
"1.3  Capital Funds to Total Assets (Net)","11.3","12.1","13.5","17.0","18.7"
"1.4  Capital Funds to Deposits","20.2","23.3","24.9","31.1","34.7"
"1.5  Borrowings to Equity (times)","2.2","2.6","2.0","1.3","1.1"
"2. Asset Quality","","","","",""
"2.1  Gross Non Performing Advances to Total Advances","6.3","7.8","10.8","13.9","10.8"
"2.2  Net Non Performing Advances to Total Advances (e)","1.6","2.5","3.4","4.2","2.5"
"2.3  Provision made against Total Advances","4.0","4.5","6.1","8.2","7.3"
"2.4  Provision Coverage Ratio (Specific Provisions to NPA)","61.4","55.8","54.5","57.4","64.9"
"2.5  Provision Coverage Ratio (Total Provisions to NPA) (f)","63.5","57.2","56.4","58.9","67.3"
"3. Liquidity","","","","",""
"3.1  Regulatory Liquid Assets to Total Assets","8.9","7.5","8.7","9.3","9.6"
"3.2  Regulatory Liquid Assets to Deposits and Borrowings","11.6","9.5","11.3","13.0","13.9"
"4. Earnings (g)","","","","",""
"4.1  Return on Assets (h)","3.0","2.4","2.0","1.6","5.3"
"4.2  Return on Equity (i)","15.9","12.0","7.3","6.1","20.7"
"4.3  Interest Income to Interest Expenses","173.5","179.2","179.7","191.1","249.1"
"4.4  Net Interest Margin (NIM) (j)","7.2","6.9","7.5","7.1","8.4"
"4.5  Efficiency Ratio (k)","66.3","68.4","75.2","75.6","51.6"
"4.6  Cost to Income Ratio","84.9","86.6","89.6","90.3","69.3"
"5. Assets/Funding Structure (as a % of Total Net Assets)","","","","",""
"5.1  Equity","11.5","12.2","13.5","17.0","19.9"
"5.2  Total Deposits and borrowings","81.1","83.2","81.9","77.5","75.1"
"5.3  Loans and Advances","78.4","79.2","76.7","73.8","76.6"
"5.4  Investments","10.4","8.2","9.7","11.8","11.7"
