"Public Corporations and Institutions","2012","2013","2014","2015","2016","2017","2018","2019 (a)","2020 (a)","2021 (b)"
"AGRICULTURE AND IRRIGATION","1,748.4","2,610.7","3,893.3","2,618.3","3,033.9","3,004.2","3,136.1","2,794.0","3,091.2","5,281.4"
"Coconut Development  Authority","100.5","71.8","102.6","84.9","89.0","82.0","117.9","33.5","49.3","7.0"
"Coconut Cultivation Board","259.0","400.8","499.4","456.6","561.3","640.0","699.0","568.0","800.0","734.3"
"Coconut Research Institute","50.7","62.7","66.8","76.0","53.6","50.0","53.5","43.7","65.0","70.0"
"Mahaweli Authority of Sri Lanka","823.0","1,300.7","1,089.0","825.0","1,053.0","1,253.7","1,108.0","950.0","720.0","2,421.6"
"National Institute of Plantation Management","7.0","23.1","21.5","18.2","32.7","19.9","31.0","21.0","25.8","34.0"
"Rubber Research Institute","46.0","53.4","68.0","63.6","84.8","51.0","87.0","80.5","111.7","111.7"
"Sri Lanka Cashew Corporation","28.0","48.7","39.5","35.0","40.0","54.0","66.5","70.0","84.7","64.0"
"Sri Lanka Council for Agricultural Research Policy","20.0","16.3","20.4","1.0","8.8","16.1","14.4","15.0","1.0","13.5"
"Tea Research Institute","50.1","87.3","86.0","79.7","71.0","61.5","61.5","52.8","77.5","78.6"
"Tea Small Holdings Development Authority","199.0","294.8","476.3","650.0","674.3","455.0","617.0","685.0","1,088.0","1,369.0"
"Other","165.1","251.1","1,423.8","328.5","365.5","321.0","280.3","274.5","68.3","377.7"
"ENERGY AND WATER SUPPLY","27,321.1","22,840.2","23,193.5","5,239.9","13,925.8","3,677.2","1,377.8","32,390.8","117,465.5","49,049.1"
"Sri Lanka Atomic Energy Board","82.8","202.5","371.9","350.9","35.2","22.4","43.4","61.6","163.0","96.6"
"National Water Supply and Drainage Board","27,162.4","22,579.1","22,729.7","4,822.1","1,690.7","1,939.9","1,251.8","546.9","58,829.8","45,119.0"
"Sri Lanka Sustainable Energy Authority","61.0","43.6","54.1","38.2","60.0","64.9","59.6","65.6","75.9","106.9"
"Water Resources Board","14.9","15.1","37.8","28.6","34.0","27.9","18.8","21.1","6.5","8.2"
"Other","-","-","-","-","12,105.9","1,622.1","4.2","31,695.6","58,390.3","3,718.5"
"FISHERIES","237.8","277.8","295.0","350.0","903.0","525.4","544.9","410.8","520.0","310.3"
"Ceylon Fishery Harbours Corporation","96.1","76.0","100.0","110.0","145.0","181.0","197.9","136.9","234.0","194.6"
"National Aquatic Resources, Research","","","","","","","","","",""
"","59.3","118.3","100.0","140.0","185.0","172.0","97.0","102.0","82.0","65.5"
