"","","MAJOR ECONOMIC POLICY MEASURES : 2021"
"March 2021","-","Digital platforms were facilitated to broad base and widen the investor base of the"
"","","stock market."
"","-","Approval in principle was granted for the introduction of Paper Gold (PG) through"
"","","the Over the Counter (OTC) platform at the CSE."
"April 2021","-","Approval in principle was granted for the proposal to facilitate listing of Special Purpose"
"","","Acquisition Companies (SPACs)."
"June 2021","-","The Central Depository System (CDS) rules were amended to facilitate repurchase"
"","","agreement (REPO) transactions on Corporate Debt securities on the OTC Platform of"
"","","the CSE."
"","-","The implementation of the enhanced margining system and Delivery vs Payment (DvP)"
"","","mechanism at the CSE was facilitated by issuing rules and revising marginal model."
"","-","Approval in principle was granted for the introduction of Islamic Capital Market Products."
"","-","Approval in principle was granted for the introduction of Structured Warrants."
"","-","Approval in principle was granted for the introduction of Green Bonds."
"","-","Approval in principle was granted to facilitate fund raising through online platforms,"
"","","such as crowdfunding."
"","","-  Gazette  notification  on  the  enactment  of  new  bill  of  the  Securities  and  Exchange"
"","","Commission (SEC) was published."
"July 2021","-","Phase 2 of the digitisation of stock market operations was launched."
"","-","Approval in principle was granted for introduction of regulated short selling through"
"","","securities borrowing and lending."
"November 2021","-","Approval was obtained to facilitate the listing of foreign currency denominated shares"
"","","issued by local companies on the CSE."
"","Payments and Settlements",""
"09 June 2021","-","The period of maintaining the maximum Merchant Discount Rate (MDR) of 0.5 per"
"","","cent for LANKAQR transactions was extended for a further six months period, ending"
"","","on 31 December 2021, considering the need of encouraging more merchants to join"
"","","the LANKAQR initiative."
"27 December 2021","-","The period of maintaining the MDR of 0.5 per cent for LANKAQR transactions was"
"","","extended until further notice."
"","Anti-Money Laundering (AML) and Countering the Financing of Terrorism (CFT)",""
"27 April 2021","-","Circular No. 01 of 2021 was issued on the implementation of AML/CFT measures"
"","","on parties involved with online payment platforms."
"28 April 2021","-","Considering the increasing trend of suspicious transactions related to foreign currency"
"","","outflows via Automated Teller Machines (ATMs) in cash withdrawals overseas, Circular"
"","","No. 02 of 2021 was issued, advising to perform Customer Due Diligence measures"
"","","as required by the Financial Institutions (Customer Due Diligence) Rules, No. 1 of"
"","","2016 at the time of onboarding the customer and when conducting transactions."
