"","","","","(14)+(15)","","","","Corporations","","","","+(23)","DBUs","","",""
"","Sri Lanka","","","","(13)+(16)","","","","","","","","","","(25)+(26)",""
"","","","","","","","","","","","(21)+(22)","","","","",""
"","","","","","","","","(18)+(19)","","","","","","","",""
"","(13)","(14)","(15)","(16)","(17)","(18)","(19)","(20)","(21)","(22)","(23)","(24)","(25)","(26)","(27)","(28)"
"2017","225,080","1,576,627","366,811","1,943,438","2,168,517","342,354","194,628","536,982","4,471,965","327,250","4,799,215","7,504,715","-1,079,540","-238,651","-1,318,191","6,186,524"
"2018","472,817","1,643,185","400,709","2,043,894","2,516,711","432,854","322,526","755,380","5,135,547","425,805","5,561,351","8,833,442","-1,191,264","-446,874","-1,638,139","7,195,304"
"2019","363,032","1,979,687","453,209","2,432,895","2,795,927","481,222","336,731","817,953","5,375,077","421,782","5,796,859","9,410,739","-1,341,995","-545,325","-1,887,320","7,523,419"
"2020","868,892","3,203,694","475,476","3,679,170","4,548,061","584,274","417,901","1,002,174","5,748,117","422,820","6,170,937","11,721,173","-1,416,291","-689,679","-2,105,970","9,615,202"
"2021","2,094,095","3,361,340","376,985","3,738,325","5,832,420","972,821","215,282","1,188,103","6,498,862","482,566","6,981,428","14,001,951","-1,779,571","-593,095","-2,372,666","11,629,285"
"2020   January","335,116","2,070,461","510,818","2,581,278","2,916,395","487,912","332,070","819,983","5,374,771","421,947","5,796,718","9,533,095","-1,357,423","-561,368","-1,918,792","7,614,304"
"February","308,405","2,125,740","525,897","2,651,637","2,960,042","491,252","341,352","832,603","5,398,198","423,760","5,821,958","9,614,603","-1,338,119","-580,865","-1,918,985","7,695,618"
"March","473,257","2,198,805","563,413","2,762,217","3,235,475","498,890","369,399","868,289","5,485,855","456,242","5,942,097","10,045,861","-1,353,411","-622,319","-1,975,730","8,070,130"
"April","565,842","2,221,907","513,584","2,735,491","3,301,332","521,014","412,940","933,953","5,489,959","465,554","5,955,513","10,190,799","-1,372,872","-642,423","-2,015,295","8,175,504"
"May","605,637","2,374,742","483,983","2,858,725","3,464,361","525,583","427,011","952,594","5,435,818","450,125","5,885,943","10,302,898","-1,348,697","-612,241","-1,960,938","8,341,960"
"June","556,676","2,563,572","479,138","3,042,710","3,599,386","534,059","417,215","951,274","5,386,322","445,768","5,832,090","10,382,750","-1,388,739","-617,558","-2,006,297","8,376,453"
"July","550,016","2,755,579","477,978","3,233,557","3,783,573","556,995","425,588","982,583","5,383,850","444,128","5,827,978","10,594,134","-1,396,736","-641,106","-2,037,842","8,556,292"
"August","534,564","2,806,157","494,133","3,300,290","3,834,854","581,135","441,793","1,022,929","5,462,837","443,447","5,906,284","10,764,066","-1,372,053","-680,420","-2,052,472","8,711,593"
"September","577,747","2,908,632","495,602","3,404,235","3,981,981","584,928","433,343","1,018,271","5,560,804","433,617","5,994,422","10,994,674","-1,404,889","-653,470","-2,058,358","8,936,316"
"October","735,187","3,042,409","485,399","3,527,808","4,262,995","572,400","430,591","1,002,991","5,626,080","427,538","6,053,618","11,319,604","-1,420,187","-635,359","-2,055,546","9,264,058"
"November","799,500","3,068,482","494,807","3,563,289","4,362,789","587,484","423,062","1,010,546","5,675,209","419,011","6,094,221","11,467,555","-1,409,584","-641,133","-2,050,718","9,416,838"
"December","868,892","3,203,694","475,476","3,679,170","4,548,061","584,274","417,901","1,002,174","5,748,117","422,820","6,170,937","11,721,173","-1,416,291","-689,679","-2,105,970","9,615,202"
"2021   January","924,317","3,395,036","438,606","3,833,642","4,757,960","611,189","446,938","1,058,127","5,756,203","440,410","6,196,613","12,012,700","-1,418,397","-740,524","-2,158,921","9,853,779"
"February","996,460","3,359,173","437,488","3,796,661","4,793,121","619,593","460,420","1,080,014","5,828,486","447,532","6,276,018","12,149,152","-1,373,215","-739,335","-2,112,550","10,036,602"
"March","1,092,195","3,411,001","438,651","3,849,653","4,941,848","631,763","466,682","1,098,446","5,926,001","462,174","6,388,175","12,428,468","-1,389,686","-770,196","-2,159,882","10,268,587"
"April","1,070,547","3,454,527","439,981","3,894,508","4,965,055","648,935","444,444","1,093,379","5,981,867","464,048","6,445,915","12,504,349","-1,381,225","-745,101","-2,126,326","10,378,024"
"May","1,054,612","3,520,193","439,478","3,959,671","5,014,283","650,602","462,127","1,112,730","6,029,091","472,406","6,501,497","12,628,509","-1,422,272","-744,370","-2,166,642","10,461,867"
"June","1,178,858","3,503,298","441,723","3,945,021","5,123,879","656,041","476,061","1,132,102","6,100,336","484,570","6,584,906","12,840,887","-1,426,093","-768,685","-2,194,778","10,646,109"
"July","1,418,004","3,565,592","427,626","3,993,217","5,411,221","653,682","487,201","1,140,883","6,163,141","498,321","6,661,462","13,213,566","-1,390,439","-820,164","-2,210,603","11,002,963"
"August","1,534,409","3,584,702","412,323","3,997,025","5,531,434","656,302","480,565","1,136,867","6,267,097","528,430","6,795,527","13,463,827","-1,432,114","-817,115","-2,249,228","11,214,599"
"September","1,830,865","3,373,834","389,900","3,763,735","5,594,599","650,746","472,345","1,123,091","6,333,794","490,791","6,824,586","13,542,276","-1,464,008","-868,032","-2,332,040","11,210,236"
"October","1,880,145","3,417,755","367,131","3,784,886","5,665,031","832,708","361,059","1,193,768","6,358,454","501,188","6,859,643","13,718,441","-1,595,540","-704,609","-2,300,149","11,418,292"
"November","1,993,699","3,331,541","388,552","3,720,093","5,713,792","897,440","287,292","1,184,732","6,420,118","500,012","6,920,130","13,818,654","-1,682,026","-684,496","-2,366,522","11,452,132"
"December","2,094,095","3,361,340","376,985","3,738,325","5,832,420","972,821","215,282","1,188,103","6,498,862","482,566","6,981,428","14,001,951","-1,779,571","-593,095","-2,372,666","11,629,285"
"","(f) Credit extended by the banking system to the government, net of government deposits with banks and government cash deposits","","","","","","","","","","","","","","Source: Central Bank of Sri Lanka",""
