"","","","Western Province","","Central Province","","North Central Province","","North Western Province","","Sabaragamuwa Province"
"","Sector","","","","","","","","","",""
"","","2020","2021 (b)","2020","2021 (b)","2020","2021 (b)","2020","2021 (b)","2020","2021 (b)"
"1. Agriculture Sector","","","","","","","","","","",""
"Tea","","","","","","","","","","",""
"","Male","1,491","1,597","1,177","1,273","-","-","-","-","1,253","1,276"
"","Female","1,190","1,214","825","866","-","-","-","-","985","1,004"
"Rubber","","","","","","","","","","",""
"","Male","1,211","1,329","1,145","1,315","-","-","-","-","1,185","1,172"
"","Female","1,245","1,329","809","959","-","-","-","-","1,122","1,076"
"Coconut (c)","","","","","","","","","","",""
"","Male","1,469","1,624","1,450","1,636","1,537","1,718","1,614","1,705","1,402","1,625"
"Paddy","","","","","","","","","","",""
"","Male","1,619","1,739","1,480","1,550","1,667","1,792","1,422","1,453","1,318","1,375"
"","Female","1,331","1,452","898","938","1,225","1,287","1,208","1,083","1,067","1,052"
"2. Construction Sector (c)","","","","","","","","","","",""
"Carpentry","","","","","","","","","","",""
"","Master Carpenter - Male","2,474","2,802","2,143","2,500","2,292","2,550","2,253","2,519","2,143","2,326"
"","Skilled and Unskilled Helper - Male","1,604","1,881","1,465","1,563","1,476","1,555","1,406","1,641","1,302","1,468"
"Masonry","","","","","","","","","","",""
"","Master Mason - Male","2,493","2,839","2,161","2,501","2,333","2,523","2,241","2,540","2,134","2,308"
"","Skilled and Unskilled Helper - Male","1,631","1,883","1,450","1,574","1,478","1,651","1,431","1,658","1,410","1,508"
